"","0","0 | 1","0 | 2","0 | 3","300","300 | 1","300 | 2","300 | 3","900","900 | 1","900 | 2","900 | 3","1800","1800 | 1","1800 | 2","1800 | 3","3600","3600 | 1","3600 | 2","3600 | 3"
"ycjO",372.701,390.46,378.746,324.579,333.203,366.136,367.799,321.711,257.551,282.274,261.322,239.9,222.229,221.39,268.969,219.082,308.873,228.363,251.267,217.851
"ycjP",542.99,563.344,538.808,443.443,473.283,560.986,488.191,498.044,470.018,485.596,448.887,413.569,314.656,343.627,407.839,389.728,408.383,355.722,371.571,450.987
"ycjQ",488.865,525.982,544.966,413.247,476.307,466.754,477.833,425.957,447.245,475.852,406.07,319.002,345.264,375.003,371.011,349.301,389.515,354.85,353.738,436.722
"ycjR",499.625,485.113,453.299,344.562,401.723,463.267,430.843,444.405,394.412,376.686,438.89,354.903,241.02,313.42,291.798,379.927,374.108,335.343,320.887,397.872
"ycjS",572.627,606.879,596.596,610.793,539.923,617.991,548.694,578.959,532.55,605.794,472.861,446.438,407.423,488.65,374.553,445.254,488.032,415.758,403.583,553.87
"ycjT",348.913,438.039,415.682,335.189,361.438,434.735,362.787,417.481,317.239,349.754,317.163,318.937,268.101,306.033,256.998,259.583,317.418,332.134,208.037,324.492
"ycjU",3.72637,1.95912,24.2082,1.75842,7.24598,20.2008,1.18076,0.805928,13.0308,1.52747,3.39105,3.74659,24.6963,2.24622,3.03116,2.61197,1.80666,1.36287,4.50275,0.927342
"ycjV",500.116,378.745,399.459,350.395,396.002,398.535,338.288,343.809,296.623,352.928,339.789,302.695,244.817,334.405,264.133,275.807,320.421,347.771,237.268,302.858
"ycjW",507.426,495.762,527.808,385.216,406.568,450.719,419.734,441.702,440.224,458.145,401.269,367.101,297.384,399.757,388.342,435.393,371.143,327.245,378.552,454.217
"ycjX",487.099,422.049,605.972,610.459,415.159,451.387,681.83,645.512,424.09,416.565,661.564,606.584,401.409,445.707,864.012,706.884,499.379,547.88,1751.39,1450.2
"ycjF",387.299,420.651,458.161,415.057,347.485,349.416,522.022,552.803,364.868,342.483,480.793,457.639,268.434,270.847,595.064,521.919,346.029,316.282,1349.71,1033.6
"tyrR",11.7925,1.58479,2.53815,0.804306,11.2426,10.1118,7.62986,0.918965,2.89331,5.42819,7.10201,3.27032,2.94759,1.91947,5.08227,4.78576,23.136,3.87818,0.844679,7.57823
"tpx",922.309,913.966,959.875,1113.23,577.358,568.231,991.54,901.117,628.807,693.424,1114.64,1232.26,942.115,901.8,973.699,1041.55,1422.75,1639.51,965.599,1114.44
"mpaA",611.552,630.383,592.064,578.618,579.144,634.517,608.386,622.578,639.366,719.329,584.222,584.973,508.907,516.778,474.812,570.547,503.067,433.041,558.518,637.014
"ycjY",502.94,574.13,583.988,542.362,433.638,542.669,560.49,524.79,415.969,437.812,471.929,498.079,385.604,406.158,412.108,449.128,433.825,491.9,443.619,473.946
"pgrR",538.934,426.11,429.404,440.061,520.747,326.256,457.767,388.175,446.459,470.553,418.135,351.441,376.36,432.424,444,459.69,390.944,337.22,411.835,428.472
"mppA",920.844,943.199,779.12,850.414,1106.66,1139.23,766.102,692.502,946.656,970.318,748.597,788.842,898.16,1037.43,783.359,748.648,816.167,699.896,681.787,656.968
"ynaI",451.121,459.685,521.766,422.378,454.595,446.679,465.234,524.191,417.387,401.176,493.034,469.224,336.288,389.695,735.761,667.491,314.372,318.403,587.997,572.769
"ynaJ",1284.5,1228.34,1551.05,1408.62,831.428,757.325,1301.07,1308.9,760.233,705.357,1379.33,1626.33,772.248,764.07,1297.43,1374.96,964.246,943.156,932.014,1079.72
"uspE",666.56,596.02,1056.79,1274.01,693.249,780.17,1078.99,1169.09,876.452,759.288,1096.56,1038.53,1507.26,1249.46,1217.97,1180.56,2357.71,2856.77,1296.72,1072.38
"fnr",2137.91,2390.57,2521.12,3465.99,2880.56,2757.57,2745.27,2584.84,1929.46,1932.59,3083.57,3757.53,2160.62,2067.82,3552.84,3233.42,1251.34,1320.96,3641.89,3117.68
"ogt",751.605,771.534,808.289,784.554,592.52,507.591,942.335,858.812,621.681,696.635,898.055,734.26,678.732,500.512,709.209,685.288,435.24,428.591,658.671,639.903
"abgT",421.281,398.935,398.091,345.498,380.37,489.001,350.258,397.766,333.664,353.797,302.491,288.723,324.407,361.523,308.219,287.282,337.319,352.633,358.903,362.349
"abgB",432.638,424.386,393.624,325.645,344.236,321.9,329.088,345.575,426.258,459.076,338.728,309.727,376.111,413.341,297.36,344.889,453.841,395.129,348.353,316.661
"abgA",569.824,638.771,574.301,520.472,465.839,542.608,506.433,486.209,566.123,573.322,461.913,405.451,476.652,518.059,344.712,377.804,491.127,519.616,374.595,480.294
"abgR",419.868,430.989,485.105,420.727,399.472,362.843,395.01,389.755,394.372,425.145,380.896,331.718,337.912,402.401,324.797,324.627,358.412,398.247,313.881,392.925
"smrA",469.323,484.236,490.452,443.878,480.89,553.306,410.045,493.837,387.834,394.709,495.231,544.742,284.256,363.587,408.56,483.532,294.341,315.183,426.229,404.205
"dgcM",501.282,507.16,496.627,382.029,427.376,369.435,407.56,431.872,367.376,373.336,380.941,418.824,335.717,444.026,360.438,356.097,363.534,310.509,349.689,365.012
"zntB",451.244,508.267,530.051,463.746,374.716,449.893,437.222,442.232,431.6,403.244,518.925,517.538,399.956,473.263,482.067,421,395.397,529.495,441.446,424.553
"dbpA",553.998,601.004,371.568,282.843,783.358,764.685,347.384,358.002,535.784,613.903,334.917,310.197,326.692,409.079,289.826,336.898,261.752,303.883,255.465,320.111
"ttcA",712.629,770.321,422.601,455.723,977.392,927.787,479.854,427.423,668.835,770.471,451.945,451.731,374.131,546.702,410.804,460.368,311.473,336.734,365.716,492.665
"intR",1.42989,1.10619,0.739426,1.46115,1.99358,1.70697,0.504947,0.960903,5.11747,3.53952,0.643772,0.703247,4.33892,1.3029,1.0957,4.56844,2.0714,21.2983,1.49019,1.85095
"xisR",321.105,354.898,348.204,263.078,286.169,205.501,315.728,229.236,233.035,280.985,265.982,253.274,177.622,275.716,273.501,270.193,245.816,162.451,224.397,265.799
"rcbA",381.487,401.545,392.882,336.212,329.66,291.231,333.591,317.079,269.747,237.579,307.377,271.988,210.138,284.166,312.55,274.536,282.987,198.662,250.277,306.051
"ralR",339.089,274.12,282.462,305.406,330.761,296.586,294.599,283.854,230.879,239.307,262.508,215.036,180.222,188.245,243.975,218.812,222.294,237.571,232.788,260.973
"recT",448.976,475.596,469.59,422.747,425.629,407.876,410.326,398.354,350.049,401.41,397.295,382.568,261.235,327.236,350.575,392.93,341.159,327.573,355.249,399.003
"recE",511.608,677.209,513.247,443.29,445.623,440.242,447.794,491.093,464.605,445.86,400.237,380.059,316.41,361.845,381.414,394.107,369.274,354.161,373.953,507.041
"racC",479.54,440.014,460.425,418.522,379.75,328.856,391.828,370.641,322.892,360.805,331.507,332.307,236.601,286.496,314.383,290.656,263.507,275.61,268.44,351.427
