"","0","0 | 1","0 | 2","162000","162000 | 1","162000 | 2","0 | 3","0 | 4","162000 | 3","162000 | 4"
"menI",2709.931605,3479.321588,2314.519646,1870.921572,1554.694034,1318.126862,2367.314605,800.9494621,1693.623861,1667.55246
"ftsK",6550.570575,7360.863402,7079.427134,4240.123894,5326.177526,4914.455407,7107.320316,6800.997908,4152.664408,4113.513565
"ftp",902.7524479,870.2212614,727.0560374,700.8735774,794.9215718,510.3290775,818.7741018,535.595827,598.3215718,457.5031666
"thrA",419.7416029,409.1305473,497.5226251,399.2668526,427.7184777,576.4160723,466.7611888,471.1449318,434.104606,470.6212799
"yghA",188.2930418,184.990418,164.575609,129.5328517,175.7472959,340.4903652,199.34616,213.7604872,164.2051997,256.6127366
"yggN",2871.540382,2201.42131,3123.197748,3749.953613,3190.156499,3770.623199,2675.61459,2884.987986,3494.979782,3738.588735
"ydhL",231.0215718,194.1591775,100.7026881,110.0549125,168.9957789,250.6180099,143.9530015,179.4210133,113.9945838,149.4805351
"sokB",768.2121937,986.9997338,1389.99084,1170.624681,2525.165761,1776.725925,1429.749907,3232.095964,1655.618228,1544.311407
"ycjW",274.6613145,338.3532049,105.8345536,272.9469845,317.2805772,202.0562952,191.9309439,155.3031386,247.9820416,170.2096999
"mdtJ",694.3940329,482.5901625,313.64722,1965.069404,1017.148545,867.2402035,613.5620196,269.1002879,1625.260195,1092.842709
"higB",937.8103059,811.3215718,1022.535036,2692.122656,1922.738335,2459.170136,1125.300156,1072.244168,1686.423988,1794.077744
"kdgR",652.2217929,757.0233492,298.5101064,1297.360053,1240.471572,521.1984244,648.9925684,268.5778292,1139.721207,751.2553005
"fau",1433.952721,1221.38287,1556.682858,1226.721572,1240.01074,1191.599168,1747.450636,2287.621572,933.8217711,827.0491966
"yqeA",343.7384951,295.4793895,300.1215718,267.4215718,282.5662359,408.8995911,268.0697653,293.1076551,313.0215718,395.1215718
"cbeA",196.1206263,123.9215718,172.9021598,106.7234577,68.19150531,231.0215718,143.2440293,382.1334986,72.49350616,195.9455683
"hycB",76.3804966,60.21795264,59.63472676,57.42451947,55.52157805,95.17488971,48.18705855,91.05896477,49.5832258,87.25471178
"grpE",5280.232992,4900.757355,4372.221572,4504.972302,3602.243243,3328.777177,3697.491447,4238.493719,3437.571779,3167.528533
"arfB",2234.219267,2021.107864,2232.133144,2192.036942,2409.111772,2236.01426,2255.58641,2065.097513,2445.645642,2169.070422
"pepA",3613.861836,3731.179684,2568.587654,3857.49318,3662.621572,4032.465908,4060.362329,2888.87484,4797.433093,4880.810273
"plsY",555.1854773,908.9367931,806.7817496,631.3403965,1105.721572,1055.567519,705.1222135,754.3937547,1094.925632,1030.637354
"ypdE",238.9605185,196.4568497,149.4384498,134.827121,166.6058875,303.7851731,194.956607,189.2599904,179.1727695,196.1204644
"tdcE",250.8798296,261.1793488,193.1642138,215.557372,175.7671746,335.9121308,237.1526195,288.1198175,214.7114581,333.0510679
"fruB",676.6759361,544.9671638,3259.615072,585.9743344,566.8903502,930.2214904,944.5048346,6718.803884,405.0965658,758.7215718
"osmB",5782.021186,5061.480094,5234.771572,4072.163411,4026.533542,3101.552907,5544.168811,3846.989313,2382.222105,1935.552452
"yoaF",368.4456778,529.0680265,400.8080721,383.8690249,552.8473096,305.6215718,432.0385021,319.0783914,520.5716508,340.9821256
"yhcN",2087.513536,4019.789346,10047.14321,4119.259722,6240.712615,8208.256009,1304.728986,1359.578306,2567.174049,2799.962002
"ybbA",874.5323677,1006.821572,895.0105283,735.8739779,1116.738763,785.7695615,1170.661768,1045.732116,1251.235347,939.0975343
"ryeA",272.4215718,480.2382439,399.5477481,262.2215718,485.6602254,292.728796,339.6942228,192.4228594,309.5446,202.9485944
"ygcW",82.29251287,44.57722267,30.57480123,30.69793877,26.9330634,159.1515316,32.04227443,87.46812209,30.87608579,121.6975808
"ftsP",2638.974264,2539.809605,2047.792582,2551.570815,2479.487525,2862.021572,2718.269645,2258.148547,2540.912416,2733.466711
"kefG",1939.066461,1540.517065,1420.560675,1560.597034,1598.758846,1574.921572,1851.559548,460.5953358,1899.901126,1684.371572
