"","0","0 | 1","36000","36000 | 1","126000","126000 | 1"
"betA",139.09075,163.15415,1047.0995,1069.0869,1315.75765,1228.34835
"betB",909.41505,1171.1481,6015.4984,6248.4929,4148.65755,4789.83755
"betI",268.2874,434.6129,2786.08,2665.5268,1434.9566,1796.69765
"betT",929.70575,1340.9863,19743.02115,19065.49895,3893.08825,6005.8796
"pdeL",693.2885,910.4032,4796.84675,4785.6677,857.06605,1071.23625
"yahB",213.79085,234.65075,282.05255,386.8634,279.57875,240.74735
"yahC",1279.8647,1024.11625,689.0257,1541.07435,192.2037,294.1915
"yahD",93.10495,94.2603,99.69705,127.2794,82.4843,79.83565
"yahE",113.18945,126.28935,117.79325,159.73465,67.6162,76.2878
"yahF",77.98305,78.965,92.65665,80.9109,89.88605,81.927
"yahG",56.1292,54.1489,60.29155,52.89355,71.1035,61.65235
"yahI",60.54455,59.1785,57.729,54.75955,61.46485,54.75615
"yahJ",79.5739,83.11825,65.2191,62.1296,80.68485,79.02915
"yahK",234.6153,284.3256,118.99555,201.7968,2304.79635,1990.9442
"yahL",58.9937,68.55515,58.3006,71.5624,47.60385,47.37105
"yahM",293.94275,413.57095,131.3251,290.57985,106.4424,104.1597
"yahN",478.9931,663.27635,267.765,538.86045,176.03585,203.5196
"yahO",271.36305,261.0374,93.0102,188.91355,825.42725,708.86545
"prpR",109.8893,99.389,73.5153,86.95805,111.64805,82.88725
"prpB",93.2276,87.3254,62.7795,77.41275,58.8246,61.94985
"prpC",65.5432,67.4721,55.71855,59.3499,54.0078,56.30245
"prpD",204.05465,127.24925,106.2868,115.9302,100.52445,88.7733
"prpE",76.0969,72.6763,60.35175,62.85485,68.19335,62.508
"codB",463.0288,409.7256,97.01595,204.04225,130.3952,123.43175
"codA",123.31015,119.70175,93.8066,73.9523,157.35185,130.70965
"cynR",106.74585,125.63715,105.7121,99.9483,137.2131,126.4042
"cynT",70.66195,65.7791,55.39955,58.45895,65.88765,60.75255
"cynS",71.98345,63.11645,50.5972,56.9552,61.2994,63.4692
"cynX",66.6515,64.52435,63.68105,58.2784,64.1354,59.13075
"lacA",112.03595,111.77905,83.4749,115.28005,129.8489,134.20455
"lacY",458.83685,465.41855,426.41315,634.322,366.02295,368.68525
"lacZ",76.2817,84.315,68.43855,68.6307,136.0563,116.6815
"lacI",105.21805,127.3778,81.0268,93.0735,180.83755,182.11915
"mhpR",115.55945,140.64935,333.79355,221.38455,610.43595,659.65385
"mhpA",67.7578,66.34675,58.85945,60.96845,64.7526,61.1158
"mhpB",65.6448,69.37485,59.72655,61.3649,60.6564,57.50795
"mhpC",79.9517,82.34915,64.1248,72.03745,79.8969,70.81015
"mhpD",67.19345,67.354,58.44155,59.9984,69.4842,62.53535
"mhpF",55.33445,52.69095,49.72155,49.49285,60.8755,55.27025
"mhpE",62.99885,71.66975,59.2894,58.65495,73.10115,60.57365
"mhpT",74.1755,77.124,61.4752,66.73585,75.5711,62.53385
"yaiL",317.9053,296.90225,147.6216,150.28825,329.19785,275.6883
"frmB",233.7762,308.38725,330.03555,346.7941,163.0705,181.40035
"frmA",3616.9219,5788.5979,6321.42625,9549.1131,2538.4549,4065.34815
"frmR",3324.9681,4664.58405,6816.8965,8988.33995,2499.66005,3824.3359
"yaiO",83.0907,98.9247,80.62325,92.7489,57.99195,62.0325
