"","0","0 | 1","32400","32400 | 1","32400 | 2","32400 | 3"
"oxyS",1971.47,2517.05,1846.95,45.8829,52.3218,130.817
"oxyR",679.085,639.911,287.98,32.4259,783.841,220.098
"sthA",1500.84,2819.78,429.267,461.053,381.775,481.003
"fabR",1794.38,1813.07,1023.77,1152.49,1093.08,737.829
"yijD",1265.71,1216.31,983.028,298.49,674.177,655.262
"trmA",1852.27,2233.51,51.6696,251.682,286.463,754.563
"btuB",1306.93,1099.16,438.205,408.955,452.599,346.031
"murI",1314.96,1427.19,593.238,16.472,182.96,999.223
"murB",1118.78,1079.83,318.568,13.2893,809.657,813.353
"birA",752.268,760.762,241.243,10.4106,636.959,160.447
"coaA",1311.8,1243.31,95.436,217.445,807.974,849.007
"secE",2270.16,2555.1,662.152,19.2045,792.859,781.847
"nusG",2083.49,2625.52,488.24,349.067,963.055,603.807
"rplK",4484.67,5796.11,695.613,237.675,1136.36,526.651
"rplA",5665.62,7155.88,325.515,143.583,1210.84,201.633
"rplJ",5779.9,7254.87,746.27,22.1169,950.187,358.377
"rplL",4159.77,5363.32,378.579,15.7049,263.614,407.455
"rpoB",5772.29,6767.78,766.626,19.2038,1070.18,874.009
"rpoC",3573.01,4256.56,565.109,316.663,360.005,474.7
"yjaZ",541.747,508.87,194.404,517.898,576.131,308.109
"thiH",473.617,460.446,213.123,821.022,690.012,1419.45
"thiG",542.614,600.05,723.208,160.605,461.142,68.4333
"thiS",378.896,377.332,215.094,151.783,937.051,587.92
"thiF",533.438,567.387,1209.21,555.476,407.771,716.032
"thiE",363.884,407.576,1071.67,119.843,58.3335,126.757
"thiC",565.698,543.018,1511.16,589.459,863.87,1462.61
"rsd",741.307,828.845,570.691,30.7808,107.374,108.746
"nudC",978.497,1166.1,750.014,883.632,61.2748,126.054
"hemE",1021.67,1081.83,831.142,631.186,373.065,112.222
"nfi",938.914,799.458,135.979,118.428,995.513,156.77
"yjaG",1150.37,1253.13,1081.49,357.801,171.465,1291.23
"hupA",5156.48,4996.31,664.641,709.094,29.5481,211.019
"yjaH",761.519,896.824,432.934,23.5428,1068.68,312.149
"zraP",490.893,571.598,402.806,28.0816,295.734,599.693
"zraS",726.027,612.08,515.238,527.014,172.055,735.943
"zraR",602.832,606.929,1065.77,44.5744,673.383,88.9293
"purD",866.81,811.145,328.775,482.435,377.155,231.359
"purH",1134.19,1110.55,136.651,303.773,574.271,922.817
"yjaA",740.194,879.219,343.46,496.418,410.651,424.144
"yjaB",607.585,560.988,221.607,452.151,187.231,721.086
"metA",453.546,451.11,278.533,17.5548,334.643,355.365
"aceB",2168.43,2759.57,234.804,737.225,88.2267,131.266
"aceA",1957.08,2093.16,274.348,167.092,39.99,458.103
"aceK",595.689,696.983,1695.43,725.196,1211.95,1235.43
"arpA",525.626,494.376,349.403,549.819,622.81,718.179
"iclR",1291.42,1569.32,65.0943,368.613,665.601,832.848
"metH",689.148,648.063,329.599,241.374,750.86,213.578
"yjbB",576.588,628.872,638.538,598.412,301.506,785.26
"pepE",1121.6,904.85,353.117,495.379,59.8093,743.407
"rluF",945.327,1014.43,690.959,590.584,289.331,570.86
"yjbD",601.34,563.972,87.1989,575.628,701.223,569.408
"lysC",689.285,783.734,594.032,491.911,585.78,587.434
"pgi",2137.04,1636.86,693.424,803.592,914.49,838.635
"yjbE",347.594,326.407,293.116,606.167,1049.9,1066.56
"yjbG",154.762,157.422,62.2862,220.345,434.632,351.396
"yjbH",412.61,458.113,572.472,813.623,203.412,746.046
"psiE",474.082,456.627,308.697,957.081,1630.88,200.766
"xylE",816.402,891.808,951.867,593.836,1159.28,213.538
"malG",1142.42,597.788,93.5071,538.869,564.856,273.624
"malF",1968.8,945.275,90.7904,756.467,62.7779,115.87
"malE",3377.55,1175.23,130.519,220.804,454.303,490.105
"malK",1906.75,592.149,17.4251,126.592,241.891,186.971
"lamB",3893.75,827.424,458.836,708.532,884.77,162.757
"malM",1972.25,639.826,88.187,366.56,273.745,421.046
"yjbI",586.388,583.734,93.6259,600.868,47.4026,160.572
"ubiA",858.894,1006.76,831.429,82.9052,313.466,153.221
"plsB",1422.9,1281.97,260.674,735.686,1803.18,1098.96
"dgkA",1268.26,1460.13,563.926,490.742,590.683,597.34
"lexA",1551.68,1934.77,944.872,844.721,579.524,277.9
"dinF",544.306,550.117,501.069,646.557,53.8471,600.203
"yjbJ",1401.97,1569.04,1317.39,727.842,322.227,706.675
"yjbL",213.155,189.603,586.142,418.158,928.811,168.821
"yjbM",546.991,533.424,1150.45,314.025,587.635,112.494
"pspG",525.104,547.671,79.1144,602.761,556.495,800.583
"qorA",499.508,462.418,74.3711,21.2803,283.536,758.335
"dnaB",1878.31,2320.46,134.863,572.252,400.528,248.675
"alr",840.169,1043.96,148.048,13.8198,98.4791,234.982
"tyrB",1159.83,1155.79,1345.7,314.258,572.169,473.738
"aphA",1480.44,1264.63,503.703,887.556,1021.08,532.596
"yjbQ",1026.55,1113.93,252.548,254.742,143.88,382.159
"yjbR",598.324,679.722,251.669,571.277,593.792,840.585
"uvrA",520.161,486.437,429.141,385.837,131.914,89.0795
"ssb",1386.59,1449,696.583,399.927,775.331,122.327
"yjcB",391.192,531.507,1099.66,447.052,308.717,366.808
"soxS",816.985,1033.18,813.359,181.191,66.4623,92.4842
"soxR",644.171,849.843,390.772,928.115,655.236,52.3477
"ryjA",542.126,679.971,759.208,872.858,481.387,106.019
"yjcE",814.979,828.988,351.396,416.4,339.654,58.2395
"yjcF",561.182,619.681,451.539,335.875,47.6742,533.645
"actP",338.27,411.601,138.388,285.049,292.975,492.059
"yjcH",329.19,402.561,154.688,16.7853,1521.54,246.535
"acs",503.397,714.243,124.026,468.675,566.013,547.259
"nrfA",869.81,964.865,112.56,1100.93,837.493,1514.48
"nrfB",745.789,907.28,56.6458,631.048,232.164,94.9419
"nrfC",435.216,466.707,1108.81,491.237,1093.14,759.891
"nrfD",763.704,767.886,1315.87,674.095,355.844,1173.45
"nrfE",245.036,252.47,636.229,473.495,184.533,630.659
"nrfF",482.867,531.013,207.95,206.993,808.101,1015.1
"nrfG",367.899,392.865,584.818,588.909,569.812,900.865
"gltP",832.804,894.342,105.224,587.424,745.159,154.945
"yjcO",707.799,881.962,30.1612,864.266,85.317,497.748
"fdhF",641.571,651.934,331.689,346.536,88.4509,89.0742
"mdtP",457.825,515.611,181.926,765.099,43.4902,194.812
"mdtO",978.695,916.278,654.249,244.698,140.94,307.837
"mdtN",652.404,684.667,80.5854,118.971,898.643,670.979
"yjcS",913.407,835.751,770.653,627.462,525.191,148.214
"alsK",1102.32,749.895,187.115,343.873,532.144,392.957
"alsE",882.934,660.025,887.37,571.432,175.734,97.3917
"alsC",991.624,625.27,684.042,613.616,172.603,656.876
"alsA",1183.77,686.574,1653.91,938.106,1456.64,476.825
"alsB",1132.78,722.746,146.143,463.037,366.501,346.653
"alsR",1144.84,736.385,151.676,436.709,571.294,102.65
"rpiB",1424.62,971.117,396.845,24.3633,1338.32,203.379
"phnN",601.087,343.053,67.0293,470.447,46.0325,551.146
"phnM",532.357,333.545,430.594,248.77,598.082,70.45
"phnL",639.332,385.896,139.853,423.22,787.624,60.052
"phnK",355.523,262.276,1445.83,594.699,357.479,1074.04
