"","0","35400"
"ybjL",1458.59,1693.39
"ybjM",511.395,282.13
"grxA",1949.17,1495.44
"ybjC",1404.08,1752.21
"nfsA",833.137,1212.75
"rimK",651.616,626.293
"ybjN",1143.61,1378.21
"potF",242.454,60.1618
"potG",157.97,39.4057
"potH",237.027,100.328
"potI",271.16,159.832
"ybjO",625.251,568.243
"rlmC",1974.47,1338.37
"artJ",256.829,158.902
"artM",394.73,513.753
"artQ",543.911,865.695
"artI",459.077,907.229
"artP",670.153,1061.62
"ybjP",871.623,1026.16
"ybjQ",841.637,926.77
"amiD",870.051,801.864
"ybjT",1102.03,866.358
"ltaE",1202.88,1225.39
"poxB",312.238,148.473
"hcr",357.179,186.43
"hcp",377.611,173.816
"lysO",347.634,326.429
"aqpZ",444.749,433.989
"ybjD",391.38,295.159
"ybjX",3140.22,4138.04
"macA",1059.75,624.378
"cspD",484.134,855.331
"clpS",2332.23,1888.04
"clpA",1140.23,1145.37
"infA",10105.6,10340.6
"aat",695.607,695.501
"cydC",523.552,688.701
"cydD",715.31,704.063
"trxB",2046.88,2862.44
"lrp",2278.53,2183.97
"ftsK",2342.33,1531.64
"lolA",2715.91,3324.76
"rarA",1242.93,1361.41
"serS",1693.29,2100.34
"dmsB",335.004,255.687
"dmsC",240.974,122.305
"ycaC",436.691,145.679
"ycaD",1702.99,2149.3
"ycaM",352.107,214.908
"ycaN",389.516,223.642
"ycaK",476.713,543.677
"pflA",1164.61,2059.19
"focA",1455.02,2240.47
"ycaO",872.084,1123.94
"ycaP",484.282,237.164
"serC",517.563,990.334
"aroA",329.223,444.237
"ycaL",327.738,235.889
"cmk",4777.99,5503.24
"rpsA",11617.6,10508.8
"ihfB",5207.01,4992.08
"ycaI",785.465,339.154
"msbA",2975.57,2839.2
"lpxK",1460.56,1227.13
"ycaQ",997.662,593.672
"ycaR",3052.4,3679.75
"kdsB",1745.3,2391.47
"ycbJ",462.01,304.928
"elyC",282.981,224.45
"cmoM",2360.9,2226.29
"mukF",1655.76,1544.51
"mukE",2937.93,3039.89
"mukB",1756.73,1820.25
"ldtD",1279.2,950.388
"mepK",2055.41,1895.8
"gloC",1760.94,1785.83
"aspC",1304.01,1843.46
"ompF",6463.78,11269.1
"pncB",2839.51,4026.81
"pepN",1225.47,1455.74
"ssuB",427.056,239.316
"ssuC",310.971,114.863
"ssuA",249.487,69.3001
"ssuE",224.938,83.1214
"elfA",286.617,214.669
"elfD",183.243,106.358
"elfC",348.008,173.779
"elfG",283.317,295.919
"ycbV",278.861,230.22
"ycbF",333.506,165.921
"pyrD",695.336,1020.46
"zapC",1000.24,1128.72
"ycbX",775.421,742.573
"rlmL",3844.07,4312.71
"pqiA",1216.22,1199.03
"pqiB",1471.36,1641.21
"pqiC",903.556,1236.48
"rmf",593.485,490.598
"fabA",5539.18,5703.04
"ycbZ",1034.22,1174.08
"matP",942.906,741.738
"ompA",12369.8,12942
"sulA",3553.26,1407.23
"sxy",640.763,367.785
"yccS",1452.19,1562.7
"yccF",2020.95,2601.92
"helD",1001.93,914.313
"mgsA",999.924,1295.01
"yccT",362.401,189.802
"hspQ",3297.06,3730.65
"rlmI",2511.81,2561.18
"yccX",504.186,444.017
"tusE",1314.88,1274.75
"yccA",1995.77,2269.35
"hyaA",261.324,99.4451
"hyaB",274.119,104.278
"hyaC",212.928,118.097
"hyaD",222.037,153.178
"hyaE",178.462,104.843
"hyaF",249.242,124.104
"appC",293.603,153.398
