"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","0 | 7","0 | 8","2400","2400 | 1","2400 | 2","2400 | 3","2400 | 4","2400 | 5","2400 | 6","2400 | 7","2400 | 8"
"pbpG",200.55,196.22,192.19,170.61,141.48,148.69,137.32,146.51,167.75,145.26,156.2,193.11,176.53,141.26,142.42,156.51,142.65,176.14
"ymcE",28.2,28.51,30.53,24.86,28.2,32.94,28.21,28.18,27.77,28.18,42.8,28.22,28.22,28.2,32.35,28.19,30.09,32.14
"galK",1107.2,882.24,952.53,662.79,610.57,603.88,1167.26,1176.01,1202.62,984.12,1085.62,1234.75,2002.42,1664.32,1606.97,1330.73,1427.45,1562.18
"gfcB",93.2,81.18,94.26,111.53,112.62,111.01,94.25,94.21,91.37,88.72,94.12,74.25,102.9,79.34,99.36,104.88,133.91,108.03
"yhhS",1565.89,1608.3,1412.3,1762.22,1903.48,1676.35,1670.43,1673.35,1645.67,2087.81,1911.38,2236.58,1925.23,1850.66,1673.61,2120.02,1891.46,1893.97
"pgaB",267.56,339.38,308.43,308.51,303.49,327.72,306.76,290.79,307.72,406.77,401.81,474.49,328.24,278.86,265.75,345.55,303,314.99
"fepA",11914.88,12253.68,10943.94,7084.76,6657.13,6709.54,4592,3974.24,3739.57,3383.3,3418.09,3846.03,2287.8,4035.08,2765.52,2471.18,2411.98,3075.51
"nac",11.98,15.8,11.83,17.62,14.78,19,16.55,13.62,11.19,21.47,21.88,33.81,20.46,12.04,11.99,14.21,14.32,12
"yqiB",1298.23,1369.49,1617.66,1112.38,1114.6,966.99,1208.04,1262.09,1345.74,1305.06,1126.66,1180.25,1375.24,1516.35,1255.28,979.26,1038.36,1072.51
"entD",1132.92,1177.66,979.74,613.65,656.22,755.05,533.01,431.7,422.42,507.66,526.51,456.88,384.18,192.31,204.29,400.86,348.33,420.63
"kdpB",383.75,366.88,480.22,1086.16,1332.96,1054.35,722.96,763.07,906.2,698.8,633.81,409.39,333.21,494.21,445.77,493.29,340.24,385.79
"yjgN",84.11,90.84,90.67,104.64,112.48,100.16,100.42,90.11,85.98,90.87,86.69,91.66,93.79,90.46,90.7,90.79,90.25,90.79
"agaV",104.19,107.14,98.97,139.79,117.75,139.48,128.55,106.41,91.98,83.33,88.01,64.91,132.91,107.82,130.03,94.35,93.9,98.09
"envR",285.11,453,325.91,492.52,492.18,535.1,400.64,441.96,335.22,471.54,406.7,512.6,361.43,308.68,380.38,325.23,357.66,357.66
"wecE",941.48,998.31,912.23,738.98,699.74,692.44,927.07,950.04,1041.57,1177.91,1113.67,1198.24,806.63,794.59,802.32,1051.16,943.73,961.85
"bcsZ",495.2,469.78,457.89,573.23,572.21,685.5,541.79,521.42,473.21,490.68,482.28,474.63,581.1,491.04,443.29,544.37,498.64,525.08
"punC",33.91,44.36,43.96,32.44,31.89,32,53.85,57.27,56.63,49.85,54.12,227.3,85.68,82.85,68.98,67.94,84.21,117.98
"secF",5153.17,5922.71,4807.93,4284.08,4171.82,4237.51,4164.1,4012.12,4154.2,4470.3,4758.81,6184.45,3157.78,3156.43,2661.18,4013.92,3777.73,3902.9
"ybfO",47.11,43.55,41.02,61.08,68.28,54.08,50.42,50.16,43.72,50.4,52.57,44.63,52.26,47.14,50.47,56.2,53.47,50.46
"insJ",185.15,199.11,215.49,118.79,128.67,143.84,171.97,145.22,137.77,173.68,177.02,201.13,100.24,73.36,94.64,145.53,136.03,145.67
"ykgE",1272.31,1157.01,1154.59,1084.14,1230.15,1188.75,1109.64,1018.81,1096.28,2721.63,2610.46,2053.81,7182.82,5789.01,6357.83,3758.86,3890.13,3134.4
"epmC",993.67,1076.77,1213.64,952.71,841.54,847.93,1057.92,1169.19,1194.7,873.87,1088.88,1335.32,655.44,703.11,747.42,1061.41,1102.88,1087.45
"maoP",2030.99,2598.33,2184.38,1161.79,1273.13,1478.9,1569.18,1541.72,1414.94,1516.07,2116.76,1158.9,1325.55,1224.38,1273.88,1260.89,1425.42,1364.4
"rlmH",3376.25,3624.99,3670.31,2055.53,2467.36,2369.74,2938.62,2971.56,3052.17,2583.62,1999.67,3545.09,1774.83,2047.4,1554.68,1998.22,2492.28,2505.14
"cstA",1964.12,1919.64,1857.32,1372.91,1373.83,1288.86,1091.4,1255.08,1260.92,1267.49,1340.8,1365.59,1983.16,1868.9,1467.94,1372.48,1098.38,1479.01
"yicI",44.34,71.31,68.39,44.33,56.97,114.73,70.35,66.83,28.94,82.82,66.66,332.9,120.86,29.84,35.71,36.72,40.25,34.87
"rna",1334.42,1194.25,1219.19,948.19,922.49,838.79,939.78,1043.52,1123.63,1371.84,1187.47,1540.56,1196.07,1220.6,1172.32,1117.1,1184.64,1129.14
"sbp",868.89,968.37,973.76,1160.57,1093.77,1212.27,1032.9,1044.74,941.36,2467.08,2933.03,5040.07,1935.49,1354.51,1462.27,1430.47,1340.23,1435.66
"rsxB",2972.21,2973.08,3387.94,1941.65,1960.3,1918.81,2641.33,2637.66,2940.59,1760.8,1951.34,2528.64,1362.35,1425.49,1362.77,1918.26,2071.95,2595.75
"nuoE",5250.34,5055.23,4779.51,2862.92,2620.8,3001.77,2459.02,2410.03,2544.11,4793.02,5459.99,8232.71,4927.44,4466.31,4337.67,4938.04,5135.12,4714.19
"rfbD",5096.68,5035.13,4861.12,2367.34,2196.13,2134.05,2601.47,2721.13,2736.51,2909.28,3340.43,5300.53,1506.29,1708.29,1481.7,2746.79,2652.28,2636.68
"yiaN",842.66,707.94,770.73,841.29,972.19,868.08,725.61,686.15,592.88,618.79,636.06,662.78,783.13,605.99,628.55,762.73,713.27,710.26
"grxC",3290.06,3347.34,3115.85,2068.75,1384.24,1846.48,1925.58,1987.17,2149.57,2860.24,2924.99,3891.94,2905.67,2289.45,2116.02,2151.37,2142.46,2062.95
"prlF",328.81,345.65,329.22,429.05,349.04,419.93,355.31,368.49,343.51,347.43,374.01,261.96,580.36,470.24,474.63,325.71,318.86,376.48
"hyfE",44.66,45.77,48.61,72.48,59.31,60.38,50.19,49.61,46.51,53.89,42.95,48.38,48.39,48.1,48.41,53.14,47.78,46.26
"yafQ",2233.17,2648.58,2458.29,1746.7,1884.03,1905.68,1901.27,2034.42,2267.68,2655.43,3770.97,3120.55,2836.95,2570.9,2459.19,2503.36,3130.86,3072.56
"opgC",370.49,336.82,369.8,217.78,194.92,204.47,302.48,266.11,433.48,136.95,123.06,137.48,97.82,122.41,122.55,160.22,138.29,211.64
"ygiV",1562.23,1652.91,1508.38,1985.69,1987.54,2258.22,2134.36,1902.18,1740.73,1694.5,1730.59,1999.08,2141.61,1714.19,1736.17,1763.76,1587.94,1734.14
"yqcE",56.17,56.98,40.33,56.65,52.03,72.15,64.33,57.05,47.05,58.4,58.62,134.09,75.46,49.5,56.94,47.13,60.63,52.69
"glnP",277.42,279.53,278.98,221.81,225.15,196.68,225.54,246.49,255.8,338.38,383.26,459.58,519.78,384.06,346.02,276.59,279.18,449.17
"dinF",123.03,141.08,126.77,104.51,114.82,113.76,121.79,114.63,108.43,137.77,138.34,143.42,122.61,91.88,90.38,114.83,114.83,118.77
"cspE",8418.78,9823.3,8223.38,4864.78,3870.16,2537.88,4812.33,5609.57,4349.36,6285.17,8469.68,841.15,1675.31,3170.42,3544.81,3342.61,5396.24,3104.42
"yafW",270.1,213.36,238.98,352.19,340.05,403.25,336.26,386.01,277.86,245.41,134.25,108.88,300.77,270.66,278.66,310.5,295.88,279.06
"argT",40.82,45.67,48.56,38.67,38.95,39.16,43.82,42.4,50.42,33.48,33.46,38,38.06,26.81,30.67,29.73,33.46,33.66
"diaA",3430.01,3914.25,3454.46,3880.88,3845.22,3446.92,4484.69,3996.28,4963.44,2416.8,3143.25,3403.35,4956.29,4607.03,4974.66,3001.61,3428.43,3629.89
"aer",483.5,439.79,487.75,635.49,514.27,533.52,501.32,495.31,424.11,363.8,318.95,340.41,439.99,440.35,363.45,370.38,388.49,358.66
"fryA",4.86,4.87,4.85,4.86,4.86,4.86,4.85,4.85,4.85,4.86,4.86,4.85,4.85,4.88,4.87,4.86,4.86,4.86
"fliQ",26.53,21.33,25.02,29.99,35.38,30.94,27.19,25.65,26.49,22.76,23.31,26.49,26.49,27.65,22.52,29.29,28.01,26.71
"yehE",127.21,146.95,128.31,120.57,130.29,147.18,127.31,118.96,117.14,127.09,253.14,200.55,130.31,107.34,132.04,130.24,213.55,130.38
"yccM",170.15,217.33,169.83,212.48,217.26,218.27,201.95,199.42,202.09,216.97,260.72,216.49,257.55,218.88,249.05,280.56,241.28,222.06
"nrdG",834.8,969.86,1107.45,877.84,777.88,813.09,697.17,681.8,605.89,2238.87,1925.64,2650.39,1184.09,1224.9,1183.67,1184.7,1148.77,1266.92
"gfcE",152.3,186.11,166.02,206.06,164.14,171.68,163.89,163.46,163.46,157.9,179.96,152.67,159.23,159.08,164.3,163.49,206.28,164.45
"metE",457.18,441.03,441.41,581.81,484.67,505.39,576.83,449.03,414.78,483.74,376.97,396.91,660.91,723.86,606.08,646.23,608.93,561.07
"recD",873.49,824.08,855.74,1140.7,1221.7,1195.08,911.72,909.17,908.52,876.15,895.25,801.13,992.11,938.27,1053.63,899.2,936.37,903.59
"ydcY",960.91,761.63,798.73,597.18,430.7,378.37,648.38,694.33,851.74,697.54,587.17,280.87,386.54,568.23,548.15,468.39,618,530.4
"yhjJ",1796.6,1900.42,1708.72,1609.13,1686.91,1644,1582.75,1582.1,1448.38,966.18,889.33,783.64,1756.12,1586.44,1651.84,945.55,1036.62,1276.3
"hisI",345.92,370.08,318.65,412.88,353.14,363.23,364.83,399.35,396.67,352.21,409.86,361.91,381.03,417.12,400.78,300.24,370.76,327.82
"renD",126.87,102.26,126.06,117.84,144.27,250.85,83.1,78.45,58.72,82.89,143.92,71.27,62.08,77.46,126.85,134.05,193.98,156.8
"yagN",329.31,325.74,297.81,311.5,355.81,327.67,395.22,371.9,399.2,399.03,433.58,376.64,374.19,418.16,504.05,303.15,399.74,343.47
"yohJ",445.43,446.06,455.57,448.8,459.62,442.55,448.28,442.66,443.35,2715.71,2833.91,3219.83,499.94,480.34,496.37,1779.67,1615.38,1832.74
"folM",458.39,479.92,423.08,326.62,294.32,217.07,360.61,345.27,350.15,528.79,471.21,413.98,222.39,187.82,276.66,333.54,370.55,329.32
"tldE",883.03,940.69,680.22,602.07,629.61,612.86,718.53,698.79,677.82,619.42,729.6,817.53,1027.69,1022.54,959.1,529.63,707.77,715.78
"livK",2019.26,1963.28,1906.38,2205.85,2431.4,2079.93,2331.47,1891.49,1803.56,1637.94,1726.04,646.91,1191.37,1048.26,1620.68,2214.59,1789.24,1826.5
"ychH",826.81,1130.45,1081.58,1008.02,889.64,768.21,423.67,684.01,486.08,458.17,1452.69,125.87,2448.21,1411.18,1710.19,710.38,479.18,438.08
"csdE",778.23,801.34,698.98,499.47,610.48,680.86,643.35,670.14,621.88,656.38,736.84,580.87,812.39,656.73,702.27,564.44,769.63,812.73
"ecnB",1169.54,1403.65,1412.01,996.69,979.46,1043.76,1103.52,1223.05,1288.27,1047.95,1046.91,1044.18,817.17,890.53,848.66,946.28,1047.11,1043.08
"ydhI",370.5,374.95,337.75,189.54,224.22,265.38,285.24,249,263.68,293.14,409.29,409.12,401.82,320.48,352.04,234.51,299.88,327.48
"potC",6190.88,6511.53,6099.71,2888.05,3365.32,3556.03,3944.9,3873.15,4229.03,2624.87,3384.64,4215.97,1268.45,1458.51,1307.5,2450.47,2461.74,2229.71
"cheA",227.92,275.92,286.35,320.62,380.84,320.61,260.98,269.09,257.59,249.43,285.64,271.21,350.56,341.64,273.23,280.23,301.37,279.1
"ydaV",9.44,11.64,11.39,11.62,11.63,12.45,11.62,11.61,11.62,11.64,11.63,15.56,11.51,10.89,11.63,11.63,13.74,11.72
"norW",14.21,10.65,13.4,18.12,18.07,17.48,14.21,14.17,14.17,14.17,11.48,12.22,14.19,14.21,13.43,14.55,14.18,14.18
"lptE",2936.59,2399.14,2749.23,1228.73,1367.38,1673.89,1708.42,1616.04,1718.59,1591.43,2167.11,2310.66,1002.61,1148.81,1320.53,1677.01,2137.55,1730.73
"yacH",128.92,121.31,120.7,249.67,227.12,229.4,177.34,199.84,164.12,141.64,99.84,96.35,219.91,216.61,202.08,174.8,176.99,177.8
"epd",2356.27,2127.31,2285.47,1936.15,1623.42,1786.94,2184,2246.95,2532.29,6607.29,5764.73,8325.93,5264.38,4762.25,4135.95,4903.37,4416.64,4493.61
"xylE",987.45,895.2,941.12,1131.38,1079.33,1228.94,985.69,1012.33,840.57,955.12,813.62,940.25,1114.34,986.9,865.53,949.44,953.52,853.08
"yacL",1062.49,1129.43,1115.11,905.3,827.08,633.44,783.6,785.8,834.65,671.13,988.51,372.84,849.07,1131.95,1119.94,588.46,614.21,596.39
"nikB",8.74,8.75,7.18,8.76,7.11,10.85,7.35,6.65,6.66,51.16,49.75,340.39,125.05,41.53,37,29.76,53.2,40.83
"slyD",13908.05,15828.45,13085.34,11724.85,12447.97,12199.76,10792.84,12070.66,11100.3,10425.11,12328.23,9627.89,10755.62,11446.64,11512.21,10567.81,8413,10117.91
"thrL",5.23,4.39,4.38,4.39,4.39,4.39,4.39,4.38,4.39,4.38,4.39,4.39,4.38,4.39,4.39,4.38,4.39,4.39
"blc",1931.17,1919.32,2009.42,1475.18,1343,1533.59,1910.82,1857.21,1908.59,2774.72,2829.76,2873.36,2372.47,2196.75,2019.92,2110.46,1801.1,2267.29
"kilR",112.29,121.21,125.02,125.1,125.64,142.89,125.06,108.58,124.95,125.13,125.17,138.17,125.24,116.87,125.13,125.23,130.18,125.48
"yeeZ",1474.17,1433.5,1632.65,1218.93,1292.22,1235.48,1176.3,1251.53,1344.05,2203.6,2642.53,3040.28,2946.8,2179.6,2520.82,2197.72,1829.6,1803.37
"yhgN",788.84,791.4,787.57,787.65,804.2,950.95,787.19,786.64,747.72,686.37,731.91,577.15,870.32,779.26,643.29,842.55,792.52,856.23
"opgH",1391.95,1422.48,1420.35,1014.21,1085.33,996.82,1470.65,1569.46,1843.9,907.17,968.04,1236.05,723.32,892.99,844.05,835.41,899.76,1171.61
"tatB",9007.23,9005.82,9066.15,6407.32,6694.2,6930.55,7884.86,7646.13,7708.88,11128.82,11352.86,10903.41,11651.95,10773.74,11771.83,9784.49,11100.3,10245.3
"phnM",334.86,360.48,223.2,551.16,603.77,632.45,372.19,282.97,285.29,352.85,278.74,69.46,458.48,402.91,427.46,491.46,503.85,415.7
"ppc",2932.39,2914.46,2882.92,3856.88,3966.56,4247.08,4244.65,4679.02,4549.94,6639.54,5431.45,4791.1,8414.66,8115.6,8154.56,7333.01,7235.21,6882.15
"menF",727.93,701.03,716.29,431.35,414.41,516.92,576.54,555.49,616.15,815.48,833.04,1509.58,738.61,674.15,689.31,707.83,809.79,805.75
"yfjJ",103.73,120.03,118.15,122.26,144.61,156.41,118.69,119.79,119.79,125.49,138.45,167,118.6,117.26,118.77,101.35,119.92,118.31
"glpK",5772.65,5668.57,5005.56,2946.71,2800.23,2433.32,2460.26,2485.33,2490.57,1509.55,2609.88,3356.22,6891.46,6320.16,7748.79,3543.46,4046.3,4296.99
"ascB",50.73,46.98,34.9,54.15,48.14,47.86,57.6,57.41,52.44,45.84,35.71,31.05,52.47,45.91,47.28,48.78,45.86,49.45
"gntT",227.79,229.48,200.97,234.41,255.34,297.75,228.9,230.08,230.57,269.2,223.95,230.83,249,246.03,242.2,237.59,230.7,230.17
"sfmC",181.48,180.66,165.74,235.01,228.11,234.39,193.76,180.07,179.27,195.44,175.87,237.66,180.26,147.37,168.55,180.37,166.57,163.73
"ugpC",1130.41,1168.96,1015.23,1593.21,1421.06,1342.19,1267.38,1281.43,1117.53,1058.84,1013.02,679.1,1085.15,1150.35,1146.53,1316.67,1110.71,1152.24
"gntR",2688.29,2555.97,2634.04,2345.32,2180.73,1909.48,2052.94,1991.41,2095.47,2525.18,2314.12,1944.61,2453.06,2828.54,2749.13,2717.45,2585.44,2393.92
"ccmA",41.71,53.5,44.7,65.11,64.69,52.57,46.7,39.43,60.21,122.78,119.75,131.36,148.36,131.38,127.65,108.14,81.37,84.1
"mhpC",205.93,221.91,161.45,321.99,305.17,335.45,223.79,259.85,215.55,274.47,207.04,189.65,260.56,184.94,216.11,249.35,250.39,224.3
"fhuB",151.5,197.23,151.11,136.21,137.53,144.99,153.69,144.9,140.16,145.76,179.73,158.28,141.93,135.38,106.42,151.7,145.96,136.62
"yhcD",339.73,340.14,325.08,388.82,407.01,368.85,367.3,361.97,328.34,339.61,339.74,339.63,339.66,340.09,339.79,339.59,309.04,339.96
"ygjQ",215.89,289.71,207.42,243.9,284.24,385.33,293.12,245.25,212.95,214.43,172.48,239.03,240.47,156.42,170.56,139.78,204.43,184.44
"fdrA",88.63,88.71,88.54,109.07,109.99,123.77,114.79,108.22,84.5,88.57,76.91,75.97,88.68,85.34,88.65,88.58,88.64,88.68
"cutA",829.12,811.2,937.03,792.12,749.25,839.33,773.92,884.87,917.84,900.71,961.5,760.3,1187.58,1079.58,1159.34,944.73,1057.75,977.19
"spoT",4459.13,5403.17,4699.14,3422.6,3670.07,4166.05,4791.3,4258.33,3770.51,4323.16,4534.73,4784.37,2820.96,2556.11,2712.9,3684.31,4039.28,4069.74
"aspS",3772.47,4135.04,4164.42,2360.15,2255.86,2398.93,2203.95,2256.15,2658.35,2232.44,2383.68,4399.44,2094.47,2215.49,2107.42,2527.6,2309.95,2633.37
"hemD",2370.45,2330.58,2451.31,2201.93,1777.05,2135.27,2456.13,2467.07,2532.27,3424.82,3443.33,3555.54,4315.75,3909.63,3705.83,3326.79,3773.07,3161.78
"yraQ",650.12,740.73,643.58,675.39,665.94,639.64,594.12,644.88,615.14,615.41,558.81,614.18,486.98,582.14,548.7,554.84,557.14,554.43
"rpe",4071.43,4372.58,4077.43,3243.83,3702.87,3386,3640.78,3552.17,3722.89,3658.16,3459.94,3419.26,3659.52,4253.58,3908.15,2899.8,3103.26,3409.79
"phnC",153.08,179.88,123.86,217.82,249.06,258.63,185.95,169.36,160.88,107.16,131.55,30.78,207.4,161.52,146.35,160.46,220.58,169.2
"yfjQ",603.91,439.67,513.81,845.97,781.22,970.65,732.05,654.32,628.39,484.77,453.74,397.52,668.37,525.83,614.63,612.55,636.17,617.49
"icd",12813.78,13106.99,12813.75,11701.34,10777.84,11981.69,10995.21,11768.32,11753.64,6708.42,7778.45,9401.45,9768.67,8836.47,7230.06,6149.69,4850.56,6903.77
"uidR",494.76,446,500.07,427.56,487.08,357.99,425.73,439.66,466.23,467.08,540.9,369.68,927.41,1027.57,931.54,517.31,466.7,558.2
"nudB",2239.58,2486.56,2390.07,1230.87,1074.97,1248.5,1276.08,1330.62,1467.87,1392.01,1611.31,2372.22,1167.86,1137.61,901.76,1166.61,1320.17,1170.39
"caiB",90.98,93.1,89.93,112.62,109.14,139.54,96.23,89.89,71.95,78.63,89.97,59.6,90.61,82.4,96.72,88.46,100.94,81.46
"tcyL",218.46,206.56,196.65,222.76,189.05,171.05,220.52,245.89,294.65,187.11,292.52,322.22,233.06,247.16,215.89,196.79,171.16,174.66
"rspR",561.01,545.67,549.49,362.09,361.15,355.05,471.96,438.19,544.7,719.07,666.08,811.81,545.83,548.16,544.91,575.57,582.12,648.26
"sucA",5551.28,5767.2,5471.93,2937.81,2609.58,2721.57,2313.1,2454.71,2443.59,3304,4581.31,7142.69,2654.82,2140.82,2124.86,2679.38,3124.34,2873.67
"yfbU",1831.45,1880.03,1805.34,1582.69,1664.29,1513.91,1715.19,1835.59,2049.42,2465.81,2706.8,4095.97,4552.51,4060.3,3858.03,2155.22,2018.81,2187.95
"sbcB",831.61,921.07,767.26,530.37,477.01,519.38,573.99,562.83,627.67,904.34,1043.51,939.05,1060.75,808.08,910.74,715.48,907.78,828.33
"mdh",4993.96,5828.39,4985.48,4989.42,4366.7,4834.53,4173.25,4806.58,5112.59,5074.36,5539.93,8593.78,7460.33,7653.05,7096.46,4812.15,4227.96,5270.91
"yejG",1835.92,2055.84,2221.55,1971.5,2007.21,2006.82,2265.17,2067.48,2044.69,807.59,1140.04,682.55,1709.99,1410.19,1471.49,969.21,734.71,892.46
"exoX",510.15,598.07,576.45,544.39,469.11,516.28,661.86,611.5,615.46,670.35,626.2,612.05,755.8,708.46,778.15,681.27,612.19,639.94
"ycgM",727.11,733.01,732.01,690.82,548.67,600.06,641.65,730.98,778.36,846.22,836.63,1013.17,1168.7,1109.33,1032.04,726.32,621.73,731.38
"tapT",454.12,447.53,505.94,361.25,368.47,345.85,365.69,424.86,313.97,329.1,338.2,682.63,378.06,322.55,327.99,301.46,364.29,359.5
"rutB",915.72,737.22,899.08,1148.15,1045.51,1014.33,912.55,917.55,833.7,800.52,737.95,379.23,916.18,918.71,916.17,973.29,1108.63,917.47
"rimK",1548.34,1675.14,1601.39,2059.72,1908.39,1679.5,2203.04,2165.36,2592.76,1474.96,1409.4,1268.27,2170.81,2718.37,2359.46,1246.01,1207.5,1304.68
"rcsA",272.09,288.97,254.47,483.83,495.31,460.57,2098.38,2291.11,2927.43,283.22,333.65,391.84,496.7,510.29,564.12,859.93,718.15,976.03
"yebW",528.9,412.66,488.31,531.63,539.52,614.91,496.89,491.55,538.64,544.29,621.4,467.67,591.12,561.74,679.3,603.7,695.24,659.04
"creC",690.47,794.74,759.83,910.16,799.22,799.4,843.34,900.95,807.97,976.22,766.52,843.42,672.27,848.06,805.61,804,746.91,807.55
"minE",388.93,426.49,429.66,231.14,317.72,240.52,355.52,354.55,371.13,407.58,486.99,403.05,495.29,470.69,552.91,344.6,336.07,443.74
"rpsU",9759.35,9594.35,8567.81,3025.64,2710.64,2609.01,5563.58,4754.85,4498.72,3393.02,3691.03,2968.13,1154.23,1463.7,1198.7,1845.35,2277.47,2196.63
"fhuE",182.29,164.11,154.83,141.67,153.95,147.97,273.33,233.03,300.86,122,130.89,133.09,75.04,123.52,101.86,118.43,121.01,126.15
"gcvR",1017.05,869.4,919.51,970.86,859.86,847.85,1194.98,1150.58,1483.62,1517.91,1382.1,1466.79,1983.29,1916.77,1918.21,1277.84,1415.01,1315.31
"yfbK",24.83,29.75,24.81,28.44,26,28.97,25.78,26.68,22.67,28.79,25.98,49.97,25.79,23.78,24.72,24.86,25.22,24.65
"nlpC",23.5,23.53,23.52,23.29,23.33,20.3,22.76,22.98,23.52,29.59,28.6,27.03,25.45,24.86,27.45,23.5,23.51,24.16
"pykF",5148.75,6069.1,5606.33,2925.27,3296.16,3201.69,3159.59,3279.48,3225.57,5610.53,5609.31,8190.32,5480.9,4990.91,4648.72,4805.81,5012.51,4575.01
"mscL",1996.9,2014.89,2084.09,1297.83,1486.92,1545.75,1578.97,1549.78,1656.33,1533.21,1759.15,1148.23,1779.08,1779.78,1793.45,1223.52,1267.15,1395.53
"shiA",590.53,585.97,563.37,533,585.86,516.62,471.33,480.3,596.86,742.12,699.69,915.94,630.54,699.49,652.07,598.78,537.54,570.07
"atoS",235.93,237.99,214.64,269.34,257.22,265.06,230.72,213.04,203.82,266.1,265.13,271.23,479.67,444.23,451.61,265.12,284.65,284.39
"yniB",1344.04,1214.59,1276.58,971.8,969.82,797.72,1096.2,937.92,1067.19,1209.39,1540.88,1006.08,1234.34,1300.06,1514.79,1279.86,1303.28,1393.94
"glpX",3007.5,3014.59,2846.04,1956.95,1927.04,1954.84,1791.33,2061,1875.02,2580,2947.85,4024.02,4157.66,3198.28,3305.43,2379.43,2583.23,3145.41
"wcaF",17.68,13.11,16.57,25.2,25.24,21.95,278.79,324.48,1076.89,17.65,17.66,17.66,43.8,35.3,48.92,150.64,172.97,156.03
"insE1",1336.2,1349.26,1186.03,1418.64,1354.19,1837.76,1384.65,1343.46,1104.42,1347.77,1435.03,2473.55,1821.12,1256.49,1328.58,1306.91,1615.2,1390.84
"yeiH",401.07,402.83,400.33,507.07,459.75,409.72,436.81,411.03,400.22,383.64,374.22,304.33,404.21,401.44,400.74,453.42,430.17,437.15
"hcp",228.27,228.43,248.06,248.06,271.95,292.87,282.38,236.46,185.27,214.76,216.04,248.12,300.62,254.45,205.91,311.39,285.32,243.1
"ydcC",4774.08,4433.17,4474.06,6803.25,7331.34,8932.74,6057,5618.28,4439.08,4334.25,4712.82,3875.48,5930.36,5004.38,6301.6,6932.52,8370.25,6725.98
"yjiJ",1313.15,1134.98,1202.35,1673.42,1708.25,1884.22,1411.32,1268.87,1190.95,1067.4,1039.53,862.49,1270.8,1107.64,1259.61,1298.78,1239.18,1136.58
"dmsB",742.84,937.32,814.28,1149.08,1100.67,815.14,954.48,966.47,881.67,4037.14,4092.42,2630.12,8436.26,7451.86,7805.94,4040.32,3696.56,5031.6
"recG",1549.25,1552.2,1525.06,1772.15,1873.06,1623.95,1629.93,1595.52,1257.83,1706.78,1568.19,1112.55,1223.06,1298.1,1488.6,1862.43,1694.95,1571.24
"basR",178.7,162.72,153.47,180.85,159.06,190.39,172.69,151.1,162.44,172.08,169.14,150.72,274.53,233.28,231.7,185.9,210.9,171.64
"lhgD",362.88,344.52,289.74,674.69,666.06,772.72,578.33,459.7,421.43,353.03,336.09,197.7,603.54,454.38,494.64,536.29,564.74,497.84
"hslV",2690.65,2747.3,2557.43,2011.35,1852.87,2209.13,5726.06,5066.79,4474.39,1061.58,1198.12,1862.21,985.32,804.64,776.71,988.53,1793.41,1305.17
"yagK",598.86,679.79,555.37,678.8,929.68,883.58,677.3,597.93,626.07,723.09,678.16,678.75,681.97,679.01,701.39,680.32,682.15,678.75
"argE",1031.2,1113.88,1084.51,1558.57,1757.31,1595.14,1583.43,1550.51,1423.49,2594.23,2834.47,2239.52,1772.27,2090.27,1913.6,1748.62,1870.7,1656.46
"ydaW",89.56,78.2,87.78,114.72,111.17,87.84,87.81,86.15,87.73,88.32,78.12,87.85,83.66,87.83,87.87,87.82,87.87,99.28
"thiH",153.82,152.92,141.55,174.49,161.36,169.94,180.84,158.06,151.45,111.63,109.94,92.72,153.97,153.52,153.84,164.21,159.22,172.26
"ybjD",173.89,182.68,121.4,231.27,225.98,228.7,138.62,179.96,174.56,288.7,244.49,288.93,520.11,487.8,438.23,295.34,305.84,271.27
"pntA",2779.53,2485.08,2847.23,2093.52,2152.82,1884.21,2577.61,2697.44,3014.63,2660.42,2429.51,4008.03,4000.56,3925.58,3192.43,2246.78,2557.82,2557.63
"smrA",12.64,13.85,12.66,12.16,12.81,11.52,12.63,12.61,12.64,12.88,11.57,11.05,12.16,12.14,12.69,12.67,13.76,16.67
"ymgD",1429.05,1667.34,1749.1,1203.58,1323.2,1233.73,5284.41,5184.09,5759.8,2172.43,1930.45,2568.22,1424.54,1759.72,1666.86,3127.45,3268.03,3428.87
"yihO",467.87,538.72,398.38,599.43,577.73,673.88,557.8,460.04,375.56,537.37,514.03,510.59,523.34,382.41,463.29,591.05,560.96,546.81
"rihA",870.3,858.37,849.02,382.22,388.4,375.39,406.35,387.52,390.69,444.2,589.53,1157.12,2008.38,1639.84,1505.28,641.32,767.28,774.6
"ycgJ",260.19,260.6,260,256.51,260.24,260.14,247.83,243.45,259.94,289.91,282.61,280.07,260.38,260.18,260.2,260.92,276.71,272.14
"ychF",5228.11,5965.87,4741.63,2911.44,3043.4,2911.13,3433.95,3155.8,3287.91,2615.89,2713.77,3697.7,1811.82,2461.63,2124.35,2769.27,2863.93,2913.41
"yhjR",155.08,154.21,144.61,116.87,117.64,118.46,144.65,131.02,121.88,148.19,187.85,144.72,144.74,148.25,158.98,144.67,144.74,142.65
"pheM",368.88,391.27,353.75,203.31,317.76,261.77,237.04,216.56,236.65,181.18,306.32,138.5,190.62,215.96,191.93,252.31,283.78,254.97
