"","3000","3000 | 1","0","0 | 1"
"lipB",1046.7,825.8,1137.1,1094.3
"ybeD",2047.6,1580.2,1973.1,2305.7
"dacA",1970.7,1929.5,2260.4,2057.2
"rlpA",2392,2155.4,2527.7,2711.9
"mrdB",768.4,653.9,1557.5,931.1
"mrdA",708.2,525.4,1262.5,1015.7
"rlmH",2169.9,1783.4,2923.6,2581.5
"rsfS",3206.6,2547.8,3874.5,3289.8
"cobC",711.9,504.5,882,765.4
"nadD",2272,1779.2,2461.4,2229.5
"holA",1350.6,1094.1,1452.8,1471
"lptE",3805.8,3320.8,3566.2,3805
"leuS",4737.3,4290,4317.1,4322.6
"ybeL",1096.6,1064.3,433.8,943.3
"ybeQ",65.8,66.7,42,61.8
"ybeR",26.4,32.9,9.9,32.7
"djlB",35.6,26.4,26,10.9
"ybeT",17,15.4,12.6,3.9
"ybeU",92.3,66.1,44.6,77.1
"djlC",172.8,130.2,132.6,174.3
"hscC",117.9,77.4,67.4,92.1
"rihA",327,251.6,481.3,300.4
"gltL",1447.4,1249.5,1987.7,1622.2
"gltK",1284.4,1075.4,1992.7,1430.7
"gltJ",1236.2,978.1,1629.9,1229.2
"gltI",5561.4,5172.1,5225.6,4626
"lnt",876.2,618.2,1333.8,971.6
"ybeX",3874.7,3193.1,3305.2,2813
"ybeY",3254.6,2605.4,2269.3,2207.2
"ybeZ",3266.2,2837.4,1941.8,2288.7
"miaB",1809.6,1471.7,1717.6,1725
"ubiF",997.3,810.4,722.5,634.3
"asnB",2234.9,2019.6,2105.7,1548.1
"umpH",2306.2,2210.7,2144.6,1926.2
"nagC",2870.2,2470.5,2362.4,1933.9
"nagA",1265.4,1090.9,820,937.6
"nagB",1146.2,1032.3,797.7,959.1
"nagE",139.3,115.8,265.7,188
"glnS",3369.2,2821.6,3138.3,2944.8
"chiP",34.3,28.2,23.7,37
"chiQ",106.6,83.9,87.9,118.9
"fur",6056,5433,4849.5,5240.8
"fldA",4425.8,4066.2,3573,3261.8
"ybfE",1454.3,1119.8,1805.3,1461.5
"ybfF",696,660.9,548.3,532.4
"seqA",3671.5,3472,3302.4,2918.5
"pgm",3341.7,2875.1,2816.5,2588.1
"ybfP",163.4,91.6,364.3,280
"ybfG",59.7,48.4,38.1,139.5
"potE",381.2,243.7,176.5,177.9
"speF",38.7,29.1,2,2.2
"kdpE",1126.6,857.9,602.5,747.3
"kdpD",877.1,622,529.1,513.7
"kdpC",318.1,268.6,187.4,304.2
"kdpB",115.3,80.1,85.1,59.2
"kdpA",51.6,51.4,19.6,25.1
"ybfA",443.5,526.6,1043.3,997.2
"rhsC",105.3,84.1,169.8,87.7
"ybfB",54.7,37.7,71.3,51.5
"ybfO",47.9,33.5,57.1,48.7
"ybfC",97.6,72.5,78.8,111.2
"ydcC",385.6,295.8,268.5,304.3
