"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"tfaD",32.2156,27.81595,70.18681,54.73036,68.52644,92.12054,120.0916,108.4692,127.0662,74.22208,64.28951,74.2803
"atpA",6621.005,5407.728,5618.271,8721.573,19658.04,11234.28,1219.962,1086.118,1686.058,8281.989,12398.44,14576.07
"yhhZ",2.626561,1.435486,1.870691,4.170087,10.1246,3.925345,2.680606,1.40648,5.045212,1.298168,6.676405,6.217111
"yjfK",23.67152,45.00286,35.15037,39.25214,24.73329,6.987276,108.4353,192.6809,110.8652,51.52117,34.21949,6.098853
"rfaH",468.9492,679.2979,800.5135,225.0435,168.5319,202.907,1822.905,2472.566,2085.898,1056.996,813.1754,617.1091
"yjgH",140.8888,188.1548,159.1604,11123.86,5522.757,7020.847,552.5704,243.9456,526.1093,1735.357,3713.319,2653.843
"mltG",389.1915,539.3345,558.3462,93.74407,107.6143,31.79014,486.9693,538.4282,886.4898,388.8228,305.4394,322.5001
"cyaY",1467.997,1358.438,1161.343,463.8206,248.5828,447.311,1772.657,1332.277,1121.175,226.7967,441.4154,160.1036
"nikD",16.95415,3.210104,2.361035,5.336217,7.962871,5.513457,3.128892,3.047789,5.604083,2.825487,3.592024,4.54509
"insD7",833.0277,949.5151,1288.695,2252.914,1314.684,1577.091,1453.423,1471.032,2093.511,1188.004,1133.591,1190.227
"secM",2487.145,2513.357,1993.64,1647.834,597.731,1095.451,2638.095,2269.594,2202.865,2313.656,1089.374,1795.751
"ybcL",111.8304,97.0429,140.4863,202.4347,103.0664,220.4542,209.408,275.6519,349.9304,92.11826,101.5538,72.22824
"yrdA",4604.509,4639.942,3510.324,6329.396,3335.16,7845.323,8909.913,2816.081,2853.213,5914.885,7237.603,6565.821
"araF",230.9386,201.4218,205.342,358.2727,468.4327,455.5949,576.2753,644.8037,387.0488,211.2882,543.3697,366.0083
"rplJ",13813.28,11669.98,12866.45,13878.21,11671.56,10698.54,22062.77,20115.42,31276.82,14600.18,13801.14,16249.73
"yncE",15600.53,11126.07,14423.06,3156.322,3144.308,2940.513,1720.642,2688.861,1811.88,801.3216,1150.769,1465.389
