"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"ldrB",7.52817413716294,11.0954786464221,4.98744177863957,6.09319959709009,7.19452779323292,13.0719276632928,7.53757263785386,7.1651653607268,8.06570141800994,8.00277306923076
"trhP",5.92411645051347,4.74990941425099,11.0333577204322,6.83433042207072,7.68262853938461,5.72628708078923,6.79889363631117,6.10207537200696,6.03352030674632,6.40101194129322
"rng",20.3365070288907,26.9553549109374,28.5595234232122,24.8883727138649,22.6180084763749,28.7183309493489,18.7082148871303,24.7953897906935,19.4810562986078,20.6848128579397
"fepG",1.69231719320058,2.12211082287119,1.91613605089423,1.99667565940873,1.64638301068704,2.15412205957466,1.52742336721156,1.91706599149185,1.59493762056299,1.73579912277114
"guaB",1.33311385545858,1.43206800115075,1.44833968174273,1.46084184882596,1.41382151346774,1.46185477824875,1.30794329942358,1.36424239367904,1.31139290989522,1.34667339466716
"ccmE",6.9948833571646,9.68800762154971,11.7305601457375,13.4478161397583,10.8739183855868,15.177896954137,9.29400228792439,14.8954520260307,11.2917720107578,9.88951657455675
"znuB",60.3549419222951,73.9459895511546,58.4163373397424,50.8367536471428,61.3461117277392,79.4568667971188,54.4213183117121,70.8305578670725,54.2255170798567,57.9605749131407
"allA",2.34534474210707,1.96033470602205,1.62124261185059,2.03354934658391,2.06250840707673,1.78422802005363,2.443586203347,1.95938377640557,2.26106113424918,2.29628227654266
"proS",1.57636322682699,1.79265765239222,1.70467888446556,1.63898198837638,1.54060819007075,1.98701119378213,1.48267253761423,1.65886904376957,1.49133048475671,1.53751448263705
"ygfB",31.4720663688399,31.1206437808404,29.2547705947472,30.7326443082875,28.9983719409161,26.9908779510526,28.4429657973302,30.248674088717,28.0455505674246,27.496955781577
"pdeN",1.41117802461169,1.49174402669147,1.46988165131072,1.49174402669147,1.52140051656092,1.49422768756866,1.48092645907074,1.55724938212332,1.41882828847429,1.38184902350875
"yqcC",5.83689048571294,5.8030043083577,8.35940350042649,6.89571428756752,6.55274776900165,7.42298781177026,5.09506305192551,7.47513689411484,4.8393054401895,5.29745710229284
"ybcY",2.43411950494718,2.24171053575113,3.40109664025678,1.89671116635902,1.79938013387656,2.41328783944153,2.11784939542314,1.80888413307054,1.65129742953289,2.58023058614772
"idnR",5.16976965125689,4.26338694427177,4.65958025608512,5.67098759310178,5.27291229356396,5.23322395433912,5.6439296294294,5.84741911299499,6.01681500555475,5.69225384493838
