"","0","0 | 1","900","900 | 1","900 | 2","2100","2100 | 1","2100 | 2","2100 | 3","0 | 2","0 | 3","900 | 3","900 | 4","2100 | 4","2100 | 5","2100 | 6","0 | 4","0 | 5","900 | 5","900 | 6","2100 | 7","2100 | 8","2100 | 9","0 | 6","0 | 7","0 | 8","900 | 7","900 | 8","900 | 9","2100 | 10","2100 | 11","2100 | 12","2100 | 13"
"chpS",275.015152744223,235.441559955047,369.558571336772,218.161116265416,297.308611690797,296.153956526099,260.70466641104,302.264537761613,342.271081286774,250.061813207117,236.009747873692,324.674225601881,276.78331574859,236.397387055437,252.879004196155,295.928664159836,245.076534509259,246.128625823363,341.034813341659,222.012440923873,280.056206717893,281.121671057661,360.753551395218,231.57959265793,267.949171312135,259.437836710213,357.334203020232,237.536401930704,302.782791160457,205.794080977951,278.764845316953,267.399595904453,324.067555247484
"cirA",287.663300004182,295.03902948607,338.602071698076,253.484196179051,291.940858354199,315.939303881466,349.127180798089,351.050473572115,357.903373736975,302.619453899728,304.805136130869,408.31773693431,280.315968080798,306.865207816824,365.779678307574,314.745742758276,309.2031863203,295.956305656259,348.616605710857,297.08482058946,286.644203098026,343.915625096607,321.709189859859,293.462051755829,292.966275767847,315.104257042822,312.6436833237,294.543702393286,352.348148043289,336.015095871923,376.66559058332,334.963403966122,400.1456218512
"dpiB",119.587273035502,122.085717777601,116.057153769369,114.286184460921,109.645113702422,117.826993981094,123.43040006781,133.044200102674,131.349326884489,126.807454765334,124.70694070574,105.596913613654,109.780161455739,120.889757263166,122.67492167033,117.595863398937,129.569529915877,110.635209799651,94.825341034809,103.010334524368,113.441107874245,117.845506105686,129.793112750645,106.070488830343,113.452319769643,132.182507425954,108.356385086521,123.229951171439,107.978049479523,98.862800612206,122.136086602324,114.880034714291,99.6587838080011
"dpiA",252.709930609302,260.265044495223,239.873896444824,209.966662987934,280.197390757268,252.524547238969,274.93535723219,238.603558149417,332.823004776515,248.534769373813,250.332050034545,232.979188055991,223.512527178988,252.023448245693,268.289491451151,240.040294373924,266.124154704809,250.8822938235,222.335050667302,200.659033045832,254.568866016089,237.221029933132,254.604285735586,209.970924377975,281.621802667326,258.894679367221,206.232017338608,255.271277653425,231.223731131943,223.393876639614,278.569631946685,248.309877966638,311.730357334509
"citC",81.0760622651597,79.0781413885447,84.6342392154435,67.8292819399874,79.4050767133979,91.9358239357549,85.821773770196,107.916362233428,85.3714785243289,80.93923644315,92.0472626834874,88.2622543340201,77.032199443684,99.5325771558217,81.9480237074915,99.4594612990952,81.5393345050618,83.6820502720789,83.8522652916156,79.7986481396578,81.6073993330513,79.1080095843327,90.5493567879802,67.3546918245686,88.508236850673,79.7998972097138,83.6291013368437,87.5606588498196,85.9352665339333,83.8522652916156,71.9229771351345,89.986659312933,69.692172968723
"citD",156.840942030803,189.735783975521,185.825823086778,156.739935041294,181.789967747031,185.201576096233,191.332426073314,229.877892719577,217.52920215755,201.278574130151,191.332426073314,188.28312056003,221.694673532228,219.069804219647,198.213669366961,180.533868170315,199.192820070616,193.214853071383,187.213748184776,187.08812831711,188.511438787884,196.702908007756,201.259957879769,154.6581940902,186.321174282706,180.133127476419,204.086831544624,181.730747708858,197.752179357897,176.168078176534,170.386947635703,191.77600851964,187.680615293045
"citE",153.004480880922,143.221514010697,155.91216229276,118.966305614839,151.350289237431,174.144812533338,139.597018625184,205.395513832356,156.060163677114,160.579116648145,167.942206916965,147.594406574359,142.318470806034,158.915476957448,156.595842884158,195.921582664477,169.919591655259,154.366664944502,147.80276719945,142.2042841431,156.692967089081,161.102889850801,188.751099221925,134.102874447082,140.896363665672,174.062047773462,125.968886748185,152.236641132313,170.862069090312,140.852813182614,143.526025048079,163.069349785066,150.98076487431
"citF",259.912353902642,231.223475177578,271.187012621283,240.991108636666,247.318003117937,284.564594731959,280.438239113614,342.10215811568,260.988356336195,281.603055183115,308.54063895076,285.091509138549,264.813569688299,312.26099020877,281.347508636185,297.963987065451,273.827967883743,263.040962514693,276.084518590396,275.456558304554,273.29458354696,268.564032460746,291.694605995319,257.298932980878,291.104424511489,285.472173695436,250.042401560814,269.328459517478,275.34891072482,251.469171407552,251.685888036741,276.491556522649,236.807049514059
"citG",163.331991947042,134.177467961544,151.963183137002,107.641816862292,152.107363159564,147.179454258508,144.737448880155,185.301829107556,185.208160282228,146.404824243793,142.651309074726,144.277295927341,150.760652399384,133.870829598907,157.487898961806,164.914797760868,157.388504995757,141.930832238462,139.9724158258,139.432076430642,145.780783388079,142.698094313955,166.986789977907,128.083898337024,141.786109957658,152.54489363549,124.412303269727,144.798695908537,149.660293677707,120.725717535917,146.233882366477,152.674224829386,169.938686163632
"clpA",746.203988897367,772.238112727941,722.692493454836,2031.81391125665,736.033438416648,830.95231978089,796.788488401252,744.183276527852,901.080486326477,712.875607594151,711.393946583909,760.007026207929,3229.59293369576,845.322533103498,788.307876885808,883.925051710163,726.025937177597,722.473400365051,875.16834238915,2534.10228078072,780.405554460716,701.326567655761,798.200046682768,818.630791917561,761.946545231924,765.98004610902,1473.79903622612,1885.14192873634,721.244022566562,1209.43113560907,826.696205113522,1110.44393544595,1033.59868905984
