"","0","0 | 1","0 | 2","0 | 3","600","600 | 1","600 | 2","600 | 3","0 | 4","0 | 5","0 | 6","0 | 7","600 | 4","600 | 5","600 | 6","600 | 7"
"actP",424,2679.9,2124,1864.9,1191.7,1088.2,0,0,0,542.7,780.3,5436.9,309.2,3252.6,0,216.5
"setA",0,0,0,0,0,0,0,0,0,0,532.2,436.8,0,0,0,0
"ftsI",0,0,0,0,0,0,0,0,0,0,701.2,316.6,0,0,0,0
"phoR",0,0,0,0,0,0,0,0,0,0,709.1,433.5,0,0,0,0
"ybiV",1163.9,1429.5,0,0,567.4,600.8,433.3,327.5,498.5,1288.5,1249.5,1359.9,0,0,586.7,488.4
"ychJ",672.7,1284.8,0,0,0,0,0,0,579.8,1380.3,879.1,745.3,0,0,376.2,323
"anmK",7328.7,5947.6,0,0,1090.3,2033.4,634.8,625.7,3831.5,2840.4,6252.3,9135.7,14386.2,537.9,3106.2,3037.8
"yodD",980.9,1263.2,0,0,585.1,583.3,570.7,310.6,1231.2,826.2,1323,1045.4,0,0,800.8,1115.2
"emrY",0,0,567.7,1246.4,0,0,0,0,359.5,1337.1,632.8,1006.3,0,0,414,330.4
"yqcA",417.8,3727.8,978.5,3008.7,570.1,816.8,425,702.4,410.1,16909.5,0,0,0,0,432.9,1901.5
"fucU",1673.7,993.3,0,0,0,0,0,0,352.8,0,734.2,720.6,0,0,0,0
"tdcR",0,0,1415.8,3153.3,478.1,471.3,0,0,851.9,752.4,684.8,1453.8,0,0,462.8,530.8
"yhjR",667.7,334.5,8206.6,3206.2,1356.3,2387.2,568.1,872.7,0,0,1148.5,2292.2,0,0,489.2,643.4
"argH",0,0,1953.3,2023.4,1006.2,640.2,0,0,145.5,2839.4,440.1,402.5,0,0,0,0
"lplA",583.9,596.6,1008.3,1612,673.7,433,0,0,0,0,726.4,819.4,0,0,299.4,390.6
"yaeQ",0,0,0,0,0,0,0,0,0,0,0,298.5,0,0,0,0
"gcl",0,0,0,0,0,0,0,0,0,0,482,304.5,0,0,0,0
"ybcF",0,0,0,0,0,0,0,0,0,0,556.7,399,0,0,0,0
"ycbV",2850.4,2381.6,0,0,918.7,667.6,538.4,817.8,1030,616.4,2324.8,5554.2,1663.1,0,1020.3,1541
"sieB",0,0,0,0,0,188.3,0,0,0,0,894.8,1122.6,0,0,0,0
"ribC",0,0,0,0,0,0,0,0,0,0,699.1,360.1,0,0,0,0
"baeR",0,198.1,4790.1,2545,5411.9,2633.8,0,196.3,0,0,820,702.1,0,0,811.1,958.2
"yfgO",3770,2694.1,6410.3,2743.3,3316.6,4669.1,546.1,260.8,350.3,485.5,610.9,1044.2,1644,394,624.3,755.5
"yqfE",2326.8,2276.6,2088.8,1676.7,859,723.6,346.6,266.6,447.1,367,859.1,912.9,851.5,0,931.8,802.8
"sspB",0,0,2294.1,2330.1,654.1,545.2,0,0,0,0,464.8,595.6,0,0,530.6,580.6
"aaeX",0,0,1943.4,2568.1,0,0,0,0,753.8,710.1,754.9,849.1,814.2,0,782.9,822.7
"yicI",0,0,1962,3393.6,797.4,656.8,0,0,0,0,500.5,594.8,0,0,864.2,772.9
"phnP",0,0,1468,1807.7,1009.6,2509.9,0,0,0,0,508.1,648.3,0,0,432.2,480.8
"ftsZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tsx",0,0,0,0,0,0,0,0,0,0,430.8,309.6,0,0,0,0
"panE",0,370.1,0,0,0,0,0,0,0,0,447.4,340,0,0,0,0
"ybjL",2848.7,4031.3,0,0,715.4,292.1,0,0,0,0,556.9,578.4,0,0,0,0
"yciF",2557.7,1913.3,443.5,340.4,498,442.9,0,0,1634.2,455.7,1387,1281.8,952.8,0,787.1,907.6
"flxA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"shiA",0,0,1811.3,1698,4103.5,2206.9,0,0,0,0,592.5,694.8,0,0,382.3,251
"mntH",3450.8,2652.3,0,0,615.1,1108.5,356.5,573.2,2153.3,999.7,1294.4,2794.1,1728.7,0,1010.3,1301.5
"argA",0,0,1186.8,1952.6,0,0,0,0,0,0,898.5,727.5,0,0,0,0
"agaR",14784.8,33456.2,3231.9,5155.9,0,0,946.4,3068.5,1714.2,739.9,3627.4,3209.5,5575.3,364.1,791.4,352.2
"yraK",0,0,931,2543.8,855.5,415.1,598.8,228.2,490.7,1052.4,808,1119.3,0,0,398.8,382.3
"wecH",0,0,2616.7,1901.9,860.8,752,0,0,0,0,603,489.3,0,0,0,0
"thiE",1824.5,2505.2,1737.2,1544.9,512,663.3,0,2.5,0,0,701.9,923.7,0,0,0,0
"nanM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rof",0,0,0,0,0,0,0,0,0,0,571.3,306.2,0,0,0,0
"allR",0,0,0,0,0,0,0,0,0,0,0,134.3,0,0,0,0
"ylbF",0,0,0,0,0,0,0,0,0,0,595.5,507.3,0,0,0,0
"ycbU",0,0,0,0,0,0,0,0,1892.5,528.5,1292.5,829,2254.3,0,878.2,610
"kilR",2446.4,2087.1,0,0,0,152.3,655.4,499,977.8,1201.4,1552.7,1667,0,0,0,0
"cfa",1744.5,729.9,0,0,499.3,439,0,0,1193.6,717.8,1148,1969.1,0,0,744.8,781.2
