"ampD",2173.32,2148.94,2541.2,2298.75,2289.92,2094.88,1947.08,1806.3,1723.01,1830.08
"ampE",1711.33,1772.21,1853.11,1979.16,1863.64,1902.39,1972.43,1985.92,2244.99,3080.26
"aroP",3396.17,2903.66,1700.62,1202.12,1217.62,1019.2,1053.79,1003.71,880.81,1037.92
"pdhR",7146.75,8169.23,5243.01,5010.66,5105.23,4899.97,5940.69,6737.1,7953.5,11572.41
"aceE",14957.23,14628.45,13430.07,12934.23,13140.67,13312.03,14043.62,14882.15,15404.87,16129.06
"lpd",16476.36,15563.49,15294.95,14417.22,14480.9,14240.59,14284.05,14751.55,15372.9,15157.38
"yacH",1123.02,1041.71,1038.73,1074.51,1042.37,1098.62,1155.47,1168.41,1373.37,1531.51
"acnB",13145.22,11668.87,13853.27,13995.6,13854.98,13433.16,12858.63,12545.73,11709.96,9188.7
"yacL",2623.8,2702.23,1992.45,1873.32,1941.35,1988.05,1946.51,1835.88,1834.97,1217.99
"speD",9676.78,9720.06,8137.54,7304.57,7190.44,6901.94,7218.53,7133.11,6759.23,3374.33
"speE",13912.23,12325.19,10553.68,10416.63,10373.45,10328.28,11303.45,11379.49,10348.82,6342.34
"cueO",3389.77,2302.78,2433.7,1943.17,1921.36,1487.88,1479.5,1350.23,1147.98,758.03
"gcd",3621.57,3114.36,4068.94,4210.74,4123.36,3884.17,3808.52,3056.92,2665.95,1904.48
"hpt",4990.02,5626.19,3602.13,3520.6,3635.77,3377.83,3529.25,3136.44,3290.25,1710.53
"can",14420.23,14192.27,13111.37,13020.89,13277.55,13498.46,14108.94,14285.46,14800.64,12676.75
"yadH",2094.35,1870.7,1952.24,2031.51,2115.37,2327.24,2494.23,2500.56,2636.51,2296.76
"yadI",2858.55,2742.92,3012.88,3328.76,3374.6,3787.17,4035.21,4034.11,4573.23,4408.56
"panD",9343.17,9424.99,7239.08,7363.8,7759.92,7824.43,7980.14,7568.41,6986.97,3319.26
"rpnC",737.25,756.57,652.22,914.7,869.65,972.51,1086.77,1546.52,1312.29,2871.02
"panC",8594.51,7233.38,8918.57,8887.86,8884.88,8428.45,8366.74,8015.2,7541.29,4775.35
"panB",4509.15,3605.29,4420.71,4231.93,4544.75,4371.45,4245.83,3982.69,3594.03,2021.78
"yadC",1318.02,1033.47,2161.04,2030.3,1734.49,1671.95,1714.62,1623.58,1771.44,2391.12
"yadK",451.22,262.35,716.4,755.41,744.06,514.32,587.43,562.99,584.24,1065.67
"yadL",1236.25,1090.56,1647.38,1691.66,1347.07,1319.38,1610.32,2109.5,2293.29,5623.2
"yadM",1127.55,861.11,1217.44,1379.09,1142.83,1010.73,994.97,931.65,1172.93,2041.55
"htrE",435.41,423.81,436.66,457.31,447.34,485.49,592.99,748.73,937.82,1496.3
"yadV",329.08,494.59,608.36,703.73,661.6,671.49,694.33,709.49,830.1,1808.33
"yadN",835.76,921.1,1014.33,997.23,860.84,942.76,1036.43,1183.41,1339.84,2808.89
"folK",3396.44,2921.45,2766.32,3052.13,3076.18,2744.48,2634.33,2835.84,2718.48,2085.58
"pcnB",8439.13,7041.13,5897.03,6022.03,5933.07,5464.58,5518.99,5195.26,4499.61,1518.62
"gluQ",4034.46,2853.42,2730.5,3024.74,3189.71,3337.34,3160.45,3505.15,2835.03,2240.35
"dksA",8098.58,7836.08,6708.15,6970.26,7308.22,7791.62,8008.74,8440.58,8670.29,4361.03
"sfsA",4649.1,4197.64,4023.05,3794.26,3570.18,3434.87,3278.33,2909.67,2406.87,1454.5
"thpR",4875.53,4681.1,4423.64,4072.99,4294.55,4181.95,4050.84,3868.32,3698.22,1900.93
"hrpB",1045.36,1171.74,889.99,836.24,968.48,802.52,735.07,688.8,719.67,868.14
"mrcB",1517.2,1340.49,1060.94,1018.98,1072.45,966.21,949.57,925.43,996.57,1185.01
"fhuA",4919.46,894.74,729.12,857.99,929.45,866.35,927.53,833.13,864.25,1029.32
"fhuC",1985.13,675.49,717.24,673.62,816.49,764.42,714.58,779.83,765.4,1175.83
"fhuD",799.18,317.28,276.06,272,282.34,391.51,398.38,372.86,497.12,692.06
"fhuB",642.23,336.2,332.03,327.63,313.93,400.52,366.3,382.09,430.98,522.23
"hemL",2502.93,1875.96,2422.43,2120.42,2197.21,1965.63,1858.03,1655.21,1409.48,1020.6
"clcA",2126.85,2313.85,2340.86,2118.22,2015.96,2017.31,2095.68,1759.13,2008.86,1937.11
"erpA",7165.75,8554.42,6449.17,7026.83,7146.74,7779.24,8081.45,8217.88,8373.41,7498.13
"yadS",2489.93,2825.63,1718.85,1731.07,1616.08,1733.73,1830.03,1827.33,1966.4,2533.5
"btuF",4207.36,3243.62,3413.8,3448.99,3574.27,3247.83,2997.04,2975.43,2404.45,1645.57
"mtn",6714.28,6109.17,6696.83,6787.66,6703.82,6423.45,6413.21,6031.62,5660.14,3604.23
"dgt",3609.3,2975.65,4365.36,3824.75,3612.61,3215.81,3123.86,2951.44,2539.83,1942.46
"degP",4271.13,4285.56,7213.23,6738.27,7078.28,8490.11,10278.42,11252.7,11358.53,9200.12
"cdaR",1020.82,1102.93,805.21,874.56,815.23,1281.61,1026.53,1175.41,1348.19,1415.44
"yaeH",3146.42,3139.33,3729.33,3480.23,3867.05,3539.83,3424.73,3272.57,2711.03,1671.24
"yaeI",1938.03,1580.31,1660.53,1518.68,1364.45,1330.84,1287.53,1199.09,1243.25,1725.74
"dapD",6240.92,7300.17,5242.43,4889.43,5148.8,5289.35,5255.9,4926.66,4527.52,2069.72
"glnD",6297.97,5268.32,5943.97,5953.21,5757.41,6253.49,6335.13,6230.47,6156.97,5072.45
"map",6904.33,6600.42,3791.23,3905.63,4220.44,4699.53,5441.97,5479,6229.22,4649.23
"tff",8990.23,9224.04,6242.33,6533.86,6969.66,7264.11,7326.64,7133.59,7506.46,4229.94
"rpsB",11298.11,11038.47,7386.37,7653.6,7908.03,8260.82,8530.82,8403.5,8784,4819.62
"tsf",12191.82,11144.04,7895.02,7925.71,8264.14,8405.91,8783.4,8699.83,8424.42,4513.23
"pyrH",12835.24,10237.7,10691.58,10407.39,10345.37,10117.41,10269.96,10068.05,9121.6,7957.56
"frr",7134.42,7039.06,6265.36,6225.94,6500.5,6126.95,6307.5,5879.29,5149.42,2338.02
"dxr",2822.73,2280.75,1819.18,1953.24,2045.41,1907.42,1761.82,1522.85,1405.61,1059.42
"ispU",6021.69,6100.44,4829.17,5099.83,4848.72,4928.72,4959.12,4542.83,3971.67,2889.57
"cdsA",3847.78,3509.81,2386.43,2309.47,2417.95,2269.13,2136.29,2057.92,2258.21,1351.1
"rseP",4021.5,3967.06,3178.53,3021.69,3105.09,2660.6,2680.03,2314.66,2074.73,1412.51
"bamA",8025.03,7110.53,7150.29,6706.19,6389.96,5962.75,5651.89,5009.77,4439.08,2970.93
"skp",12139.98,11854.82,12629.19,12089.46,12054.16,10817.97,9935.54,8730.63,7715.1,3497.32
"lpxD",10640.42,9584.29,9661.13,9075.54,8684.27,8060,7443.93,6336.95,5847.12,3903.32
"fabZ",8836.78,9371.29,7696.56,7495.91,7572.59,7077.61,6817.3,6354.62,5720.93,3565.1
"lpxA",3955.75,3942.12,3333.77,3341.33,3627.75,3311.01,3289.31,3045.12,2819.17,1413.59
"lpxB",3621.01,2955.16,2987.69,2903.5,3000.37,2697.42,2471.83,2038.52,1697.22,1069.1
"rnhB",3642.4,3264.88,2832.24,2778.86,2724.49,2293.71,1991.33,1699.67,1097.22,733.33
"dnaE",4063.52,3996.03,3217.68,3081.89,2888.12,2814.54,2381.22,2118.01,2110.37,1614.64
"accA",7635.46,7135.17,6761.18,6359.19,6077.05,5731.54,5363.86,5108.35,5080.91,3142.83
"ldcC",3298.22,2848.6,4971.02,5174.15,5098.24,5170.86,5040.83,5505.52,6214.03,9173.62
"yaeR",5286.26,5095.73,5955.79,5584.94,5800.85,5690.22,5693.63,5593.85,5323.76,4752.63
"tilS",2393.23,2326.88,1999.44,2047.66,1977.54,2111.93,2024.48,1807.84,1666.95,790.24
"rof",3469.03,3684.42,4269.33,4085.93,4413.26,4510.75,4651.63,4810.83,4847.73,4565.24
"yaeP",3130.79,3818.66,3972.59,3497.69,3536.73,3879.31,3653.17,4138.73,4449.54,4338.43
"arfB",3888.63,3825.36,3769.29,3095.43,3125.69,3065.54,2753.43,2616.27,2485.52,2074.05
"nlpE",2873.25,2461.44,2532.21,2281.47,2377.48,2073.19,1885.22,1491.01,1338.62,942.88
"yaeF",2265.69,2802.82,1935.19,1917.17,2105.82,2113.8,1919.79,1759.52,1544.45,1351.56
"proS",10742.49,9388.54,8578.23,8385.74,8459.06,8258.68,8424.46,8377.66,7559.5,5511.59
"trmO",3607.64,3107.63,3495.23,3380.5,3403.99,2980.6,2678.58,2586.74,2018.94,851.15
"rcsF",6844.08,6986.57,7819.95,8029.73,7986.06,7872.74,7834.45,7483.92,7456.72,6343.46
"metQ",13580.71,13231.51,12168.76,13301.35,12787.13,10316.97,7933.33,6235.09,5267.73,2324.99
"metI",11302.44,10571.45,8668.33,9075.82,8395.03,6953.41,5897.31,5029.11,4037.16,3612.96
"metN",7249.6,6961.34,3729.19,4522.6,4311.58,3326.36,1829.46,1206.91,1228.65,1316.92
"gmhB",5877.32,5886.53,5326.83,5347.53,5531.89,5293.72,5291.28,5149.73,5353.34,4353.41
"rrsH",13733.71,17403.65,14257.21,13666.17,14656.2,14936.21,14451.92,14483.06,15235.04,15424.58
"rrfH",15549.16,18294.72,12637.32,13839.36,13605.85,13862.75,14453.84,14218.57,14001.71,13620.73
"dkgB",3276.42,2807.26,4641.12,5502.33,6546.13,6650.22,5583.69,4185,3212.95,2722.43
"yafC",2264.08,2474.71,2359.9,2305.18,2412.43,2318.94,2436,2659.93,3118.67,4681.56
"yafD",1957.63,2234.61,2319.2,2427.43,2650.48,2801.01,3042.34,2862.18,2787.82,2645.2
"yafE",1408.94,1417.08,1248.41,1504.49,1605.4,1841.02,1788.07,1636.54,1592.67,2069.14
"mltD",8659.21,9845.79,6612.01,6953.2,6560.09,5594.09,5973.15,5340.39,4881.53,3170.84
"gloB",6428.14,5811.34,6871.94,6530.83,6550.98,6424.37,6705.77,6563.85,6159.63,6005.52
"yafS",3160.34,3109.02,3213.11,3125.02,3240.01,2984.01,3022.46,2781.25,2161.58,1499.49
"rnhA",3580.82,3708.96,3081.33,3381.25,3416.77,3236.03,3155.99,2960.18,2367.78,1640.8
"dnaQ",3647.71,3621.27,3311,3427.6,3733.52,3506.72,3477.19,3214.86,2923.86,1765.99
"yafT",1355.63,1379.49,1498.6,1464.68,1397.78,1070.16,786.92,793.69,896.18,1118.07
"yafU",855.83,661.43,494.44,788.87,593.06,604.37,800.25,1151.76,1322.84,2596.35
"yafV",893.15,867.68,1024.1,973.46,961.84,1015.79,1079.63,1075.91,1106.36,908.04
"ivy",2957.03,3368.86,4465.21,3996.9,3805.5,2992.86,2732.31,2453.29,2310.55,2839.81
"fadE",898.78,709.83,1450.23,1417.82,1564.04,1518.99,1337.02,1077.71,1197.98,672.03
"gmhA",2362.96,2160.98,2019.13,1997.11,2134.34,1954.88,1996.97,1826.48,1388.43,915.03
"dpaA",5637.31,6123.38,5555.39,6312.43,6634.83,6956.09,7023.43,6858.24,6896.38,4849.43
"yafQ",4427.11,5063.14,4961.44,5037.77,5537.01,5176.05,4978.42,4646.19,4072.32,3037.25
"dinJ",7026.33,7317.93,7391.21,7646.71,7813.21,8276.11,8160.68,7733.54,7697.66,5253.34
"yafL",506.53,488.26,846.03,808.08,715.66,629.3,624.01,627.68,801.68,844.08
"rayT",1287.33,1310.66,1323.92,1293.47,1214.99,1126.37,1115.53,1132.71,1156.99,1179.83
"lfhA",180.44,224.04,157.94,210.42,164.26,222.49,214.48,262.8,366.96,420.69
"lafU",802.02,556.64,826.88,777.66,701.63,993.06,902.14,922.47,1061.4,1353
"dinB",1631.07,1328.93,1445.97,1294.04,1343.73,1283.01,1256.03,1297.81,1429.85,1750.61
"yafN",2495.04,2657.78,2946.81,3152.3,3326.43,3276.02,3390.89,3127.13,3154.03,3979.33
"yafO",2077.59,1900.06,2314.56,2292.83,2244.56,2123.13,2337.7,2119.67,2172.77,3505.85
"yafP",1215.48,1170.03,1389.64,1246.9,1295.03,1186.43,1042.34,834.63,672.09,687.73
"ykfJ",217.16,94.03,298.32,424.92,282.89,493.48,536.59,697.81,910.79,1639.1
"prfH",190.33,209.49,115.58,198.2,155.92,302.17,359.7,419.83,515.34,740.23
"pepD",6071.53,5443.32,6071.76,5733.16,5970.97,5876.43,5397.98,5122.36,4470.84,2442.6
"gpt",8569.83,8688.06,6685.19,7950.04,8273.51,7428.52,7170.16,6814.43,5743.51,3017.36
"frsA",3069.06,2529.43,3052.65,2835.13,2803.36,2554.33,2662.56,2322.43,2204.32,1810.26
"crl",7021.53,8765.48,7134.38,7591.11,8808.86,9760.26,9742.56,9636.62,10189.9,9721.19
"phoE",1308.66,11377.76,16521.95,16880.81,16614.78,15971.13,14722.4,13230.36,11129.41,2331.76
"proB",4696.2,3689.99,3381.42,3273.56,3188.21,3150.93,3371.38,3287.76,3339.22,1747.89
"proA",3187.52,2659.8,2841.14,2965.42,3032.59,3056.68,2954.5,3120.04,2857.53,1244.09
"ykfI",1058.86,1094.8,911,903.02,1112.12,1058.82,902.67,934.69,927.67,838.66
"yafW",1293.68,1138.73,1198.75,1503.43,1400.52,1839.91,1997.17,3083.85,3370.09,6410.55
"ykfG",306.34,303.25,306.93,424.68,340.51,466.38,446.14,551.83,705.13,954.05
"yafX",1452.06,1393.9,1456.03,1501.49,1615.81,1609.83,1489.12,1342.04,1377.07,1231.43
"ykfF",1766.41,1648.18,1821.42,1832.58,1812.81,1871.07,1969.18,2210.44,2453.42,3683.72
"ykfB",2252.7,2653.13,3079.43,2793.93,2875.23,3267.05,3322.13,2903.33,2382.31,2183.08
"yafY",1597.11,1104.63,1287.74,1103.33,1174.49,1120.24,1040.16,976.45,1094.31,1406.48
"yafZ",761.24,828.59,771.1,823.45,906.53,1104.95,1187.59,1247.16,1404.65,1578.49
"ykfA",1382.15,1250.78,1322.16,1531.05,1579.13,1622.56,1734.22,1694.89,1820.4,1714.33
"perR",1261.82,1063.22,1118.13,1114.94,907.47,1028.85,1222.63,1197.69,1315.42,1800.83
"ykfC",911.91,782.14,887.03,948.37,940.63,878.22,929.47,918.14,1034.14,1679.7
"insH1",11876.66,10213.42,11538.52,11780.64,11524.8,11206.7,11593.02,11334.46,11173.95,13317.85
"mmuP",1459.97,1388.21,664.59,745.73,592.43,759.97,789.12,898.94,962.63,1328.67
"mmuM",1192.79,1164.46,773.78,788.93,785.24,711.01,760.05,692.52,761.34,972.07
"afuC",202.61,209.41,100.2,176.54,136.31,287.47,233.2,326.57,589.77,692.58
"afuB",370.51,271.03,292.15,458.25,390.56,562.17,651.67,760.5,987.19,1686.75
"yagB",5229.98,4449.23,5681.99,6006.58,6285.33,6463.05,7131.59,6932.8,5925.33,3764.93
"yagA",397.67,496.04,397.53,420.88,433.6,474.04,489.33,489.61,476.44,880.98
"yagE",585.27,133.85,254.54,207.33,140.23,288.51,290.08,316.38,478.64,572.76
"yagF",232.19,300.23,163.36,178.82,200.15,218.23,199.85,229.02,337.27,354.68
"yagG",606.69,585.47,649.33,638.79,690.19,690.58,616.91,653.66,645.71,827.83
"yagH",694.42,472.37,845.11,829.11,889.31,865.97,789.33,733.49,769.83,806.8
"xynR",1928.53,1669.76,1064.14,1178.29,1159.63,1051.28,980.42,862.71,862.61,1180.86
"argF",3791.06,3786.12,698.54,908.29,1166.5,942.58,781.94,665.57,713.31,879.97
"yagJ",2032.71,1977.06,1876.5,2020.8,1804.01,2090.16,2262.38,2345.39,2814.43,4013.67
"yagK",1430.16,1449.95,1552.11,1489.35,1348.53,1243.72,1354.22,1196.99,1100.76,1104.34
"yagL",2254.73,2013.56,2483.42,2547.85,2291.84,2045.76,2023.59,1706.69,1446.5,2119.33
"yagM",1299.2,797.62,2173.63,2092.13,2085.8,1583.6,1753.54,1651.17,1521.3,2461.49
"yagN",15974.96,17312.67,17543.69,17721.61,18602.36,18050.65,18511.79,18416.29,18395.12,17869.55
"intF",7005.79,5615.83,6711.13,6693.4,6621.13,6037.08,6372.75,6914.37,7174.11,11166.53
"yagP",1493.07,1674.55,1804.07,1740.79,1902.3,1860.55,1833.01,1632.59,1750.37,2139.12
