"","7200","21600","10800","36000","0","3600","14400","10800 | 1","21600 | 1","36000 | 1","0 | 1","3600 | 1","14400 | 1","0 | 2","10800 | 2","36000 | 2","3600 | 2","21600 | 2","7200 | 1","14400 | 2"
"ccmB",1.584814106,1.234672687,1.587561917,1.268574347,1.539844328,1.556989749,1.557643836,1.935153847,1.459978468,1.547290415,1.771394301,1.405340839,1.438646802,1.834384212,1.590785794,1.406746928,1.679757133,1.403359032,1.817557887,1.594216504
"ccmA",1.727564124,1.335883595,1.910293824,1.586822156,2.266511472,1.953192824,1.579681781,2.546953218,1.716882008,2.22490513,2.396888539,2.041680514,1.880957092,2.122560168,1.937835784,1.879321992,1.946154642,1.720969599,2.142477504,1.84290349
"napC",1.781562803,1.26854288,1.598806635,1.498089452,1.562518702,1.831288957,1.602703338,1.521135302,1.224199374,1.441624238,1.563073044,1.294702216,1.313729456,1.441872094,1.305662468,1.248043111,1.340177564,1.250656685,1.557087977,1.288092463
"napB",3.020674807,1.781041221,2.346676482,2.6111835,2.622701012,3.758589931,3.159721094,1.792346305,1.6911707,2.077988049,1.775469561,1.700575899,1.736495798,1.851659525,1.709986533,1.613339372,1.858248418,1.512450189,2.059677981,1.684476405
"napH",2.181145547,1.514371212,1.854602584,2.116671883,1.946408985,2.248650173,2.278753812,1.846396079,1.747270145,1.934740044,1.77494348,1.644326374,1.630817918,1.887560082,1.598638125,1.594339687,1.885622726,1.58227591,1.943781748,1.736021608
"napG",1.987345436,1.376690551,1.793809322,1.673968232,1.86340303,1.840089104,1.767235496,1.697659146,1.595853148,1.596099956,1.850784281,1.539783269,1.560065224,1.960898845,1.399209991,1.386669066,1.647124722,1.351557056,1.547741794,1.509786959
"napA",3.029719776,1.513689564,2.316509082,2.374499146,2.570057763,2.571165666,2.154773959,1.963954218,1.743497643,1.819390473,1.885108557,1.587014414,1.634614814,1.88426604,1.439426375,1.357834626,1.6582693,1.367271834,1.859762158,1.483030302
"napD",1.383509222,1.131313123,1.267333348,1.175636382,1.328460197,1.256021391,1.235333143,1.264292807,1.220927473,1.318034115,1.456424139,1.315098896,1.244775955,1.390239567,1.186992637,1.163754924,1.346022988,1.207385837,1.230537004,1.279196293
"napF",1.939997921,1.309695919,1.746475706,1.447622636,2.14164712,1.637732335,1.664343865,1.749801592,1.510827147,1.537056612,1.725208414,1.468281146,1.524588844,1.681631942,1.499335035,1.481829118,1.665254001,1.379900849,1.694684018,1.597062924
"eco",5.730984767,2.837926593,6.057094072,4.482853563,9.498357073,6.795714542,4.664723868,6.598659865,2.846918439,3.879986925,7.051809855,3.580186738,2.833321184,5.522403589,4.608870629,3.333339297,4.314219067,2.781949441,6.313608918,2.888224691
"mqo",1.553860092,1.22986862,1.578404705,1.286490418,1.671945029,1.411760364,1.470943249,1.827562485,1.315161617,1.484031774,1.826711852,1.490228208,1.393822591,1.889766811,1.647844195,1.418224808,1.839015616,1.251140407,2.074372189,1.451596981
"yojI",1.58536779,1.28539557,1.573511205,1.293709092,1.759559112,1.497335075,1.484736303,1.847212206,1.480655191,1.525960609,1.822968598,1.504032057,1.488247434,2.225952916,2.114662923,1.670836011,2.10683013,1.862092462,2.568630081,1.899514934
"alkB",1.847547959,1.314604232,2.464286812,1.425789057,3.707799635,2.198680741,1.566284911,5.210608812,1.660322174,1.920806774,5.603987717,2.099217963,1.642874758,3.342369292,2.366317746,1.7250575,2.12084977,1.442193082,3.23482038,1.688662881
"ada",2.003125593,1.293461004,3.17478056,1.539418402,4.832069837,2.503528726,1.622567827,6.785274397,1.749014669,2.313564433,7.523552863,2.717106765,1.779263203,4.413764124,3.175202349,2.010247127,2.680139562,1.550366395,4.122846177,1.793046223
"ftp",1.459547815,1.195928001,1.373752542,1.169502304,1.448037562,1.369845814,1.573149565,1.321496381,1.437522181,1.251995028,1.505118287,1.23984629,1.297556534,1.502299404,1.263549666,1.305293207,1.426576777,1.253435794,1.458285588,1.319606052
"ompC",159.8992237,163.7110717,117.8996456,147.5941922,182.4523177,208.9377982,242.3902519,51.14504265,28.27500356,45.16947513,36.13107643,34.8283387,36.34749866,62.29990561,47.92713572,41.66610513,61.51231423,67.22105183,81.12448595,56.99901212
"rcsD",2.276848631,1.525667643,2.477453413,1.71365791,2.66655096,1.961531914,1.564284834,2.415871209,1.622433729,1.841373473,2.264377717,1.653156794,1.566959476,2.35511717,1.930865836,1.592588503,1.870408092,1.579104092,2.513323083,1.718827225
"rcsB",39.76279296,9.439044529,54.91570812,23.48918542,92.54031081,50.84716027,15.67824056,84.63220715,17.61329057,37.84667757,70.26896089,36.55104385,22.14946305,67.43332214,50.67382504,33.44461078,48.47186329,26.57852613,74.0375721,30.4420497
"rcsC",1.773056829,1.179068813,1.934623916,1.370177954,2.190951814,1.797459607,1.341746541,2.486700331,1.473799706,1.730412486,2.423871548,1.690807298,1.496210417,2.124902991,1.764461315,1.439548031,1.873974238,1.422577457,2.259071175,1.524668841
"atoS",4.51206417,1.839560937,6.273702345,2.681301037,11.73516577,6.39455197,2.431194272,18.86371839,3.884796416,7.144866219,16.26863206,6.914109928,4.525383852,13.6292829,11.56581273,6.59323387,10.5004391,4.76082147,15.68444714,6.650069642
"atoC",12.46369818,3.08940926,16.20223224,6.645449588,19.04665466,19.93752434,4.898026762,21.52963063,4.712645795,7.455737782,17.79262732,7.735193739,4.94858288,10.82137675,8.488777568,4.95933938,7.690398663,3.570940027,12.10427425,4.515994939
"atoD",1.408597608,1.179118864,1.284599187,1.20044051,1.34388794,1.27134926,1.273740584,1.385065646,1.341733983,1.284860946,1.476826953,1.25039729,1.276537184,1.450598924,1.316314729,1.285296553,1.359055643,1.35423673,1.396915263,1.389120284
"atoA",1.406520336,1.220744954,1.169004077,1.175082333,1.25957492,1.224691921,1.283289274,1.285586253,1.330698901,1.347918408,1.490604337,1.250172627,1.258784475,1.44925969,1.258944796,1.256532708,1.383905211,1.3113354,1.429522231,1.290779222
"atoE",1.373889929,1.258823368,1.214119361,1.198609105,1.384934343,1.254989724,1.360831174,1.344338406,1.367787602,1.226385703,1.364587141,1.220019552,1.232797626,1.477117051,1.284865907,1.342524308,1.380789207,1.204333671,1.441730856,1.347362284
"atoB",1.494153304,1.284977368,1.508514243,1.291778745,1.547487391,1.442061434,1.669454798,1.465844623,1.53281473,1.447253852,1.482958116,1.32236859,1.366403716,1.392165629,1.318475141,1.405439511,1.390358612,1.297247253,1.440909248,1.447238229
"yfaP",1.532476357,1.290645127,1.601898263,1.242094972,1.485062583,1.317293503,1.490407639,1.683784933,1.461838382,1.501114889,1.677448495,1.376315354,1.466202699,1.680463043,1.383252423,1.425036893,1.706778492,1.371525862,1.716099658,1.530175937
"yfaQ",1.677570498,1.378845566,1.567695931,1.403179936,1.834213988,1.622366367,1.637063712,1.649167404,1.498286345,1.428669093,1.759034577,1.495245438,1.438497945,1.623937446,1.384434451,1.39352501,1.606363167,1.355395814,1.67295146,1.435821302
"yfaT",1.307994126,1.128464544,1.34056157,1.128192247,1.225629052,1.158847082,1.301745165,1.263410043,1.296849411,1.15798717,1.29712191,1.186194033,1.199921516,1.218644587,1.14792864,1.17693828,1.265298601,1.11634206,1.175169457,1.247236487
"yfaA",1.413228686,1.171061583,1.346355314,1.214854916,1.50685212,1.335858539,1.324542653,1.513147909,1.425858411,1.523320002,1.602270308,1.338839918,1.282894031,1.476030501,1.235973595,1.331660302,1.500257123,1.175112483,1.322864262,1.319151423
"gyrA",3.5640659,2.14701438,3.222162249,2.714294104,4.259780067,3.010984661,2.409508106,1.981163343,1.714124549,1.675209215,2.177777342,1.531064945,1.567448323,2.584269212,1.669610555,1.542446954,2.11112119,1.758356151,2.801346716,1.781337487
"ubiG",5.030539426,2.740619351,5.18639186,3.870784731,7.092245995,4.260424791,3.855338191,2.9022192,2.78558988,2.409178857,2.882111112,2.165461406,2.416485438,4.403051067,2.918954717,2.521730794,3.048742093,2.716674739,4.747238013,2.687584773
"yfaL",3.187280028,1.915858219,3.537050905,2.273902004,4.875378443,3.693928094,2.513647319,4.213399761,2.033279509,2.571596296,4.197083164,2.685843235,2.169364321,3.190344857,2.577955427,2.109069628,2.596502641,1.785060887,3.362553616,1.986151726
"nrdA",4.512443878,2.019155346,4.436584618,3.171360365,5.411214067,3.754473465,2.688800664,2.720373045,2.061693951,2.095942391,3.060756103,1.807340996,1.840851048,3.826844825,2.61334031,2.073923898,3.183675739,2.953412159,3.838371031,2.351514062
