"","0","1800","3600","5400"
"tesB",816.949,1065.61,677.965,620.482
"ybaY",2553.76,1660.71,765.97,1225.97
"ybaZ",288.139,752.292,778.337,651.148
"ffs",7606.39,3960.1,2309.24,3852.32
"ybaA",164.982,699.653,827.757,770.527
"pdeB",299.904,685.95,893.437,893.296
"ylaC",1601.69,1060.57,1133.56,1235.31
"maa",438,619.472,1009.65,969.572
"hha",2523.26,1203.08,1578.8,1853.95
"tomB",1516.19,1986.66,1593.06,2040.62
"acrA",3268.61,838.249,843.287,858.404
"acrR",327.631,485.178,802.501,924.518
"mscK",530.495,490.818,643.622,553.892
"ybaM",422.687,744.826,554.982,526.938
"priC",653.214,807.734,611.564,578.027
"ybaN",561.655,782.637,597.763,402.855
"apt",2717.47,903.631,611.289,595.53
"dnaX",1054.11,936.072,626.51,551.324
"ybaB",5665.49,2041.13,1462.58,1536.21
"recR",2461.94,1171.32,898.31,823.658
"htpG",3482.91,5145.2,2355.05,2194.02
"adk",6116.5,1015.79,795.691,1013.69
"hemH",388.617,1238.71,748.498,654.485
"aes",45.5099,796.903,596.99,560.451
"gsk",604.501,1086.64,719.825,637.167
"ybaL",689.474,1136.49,837.802,730.005
"fsr",204.557,657.2,765.506,716.929
"ushA",1535.45,1339.81,848.95,824.116
"ybaK",981.21,792.711,698.171,606.541
"ybaP",453.763,513.447,534.493,434.549
"ybaQ",1586.4,1139.71,935.57,980.353
"copA",591.834,505.601,521.794,432.078
"glsA",5778.11,5384.82,2817.23,3042.37
"ybaT",3120.54,2325.02,1522.92,1606.53
"cueR",2193.43,1991.97,1443.38,1569.33
"ybbJ",581.287,1188.28,817.305,820.046
"fetA",1058.68,705.883,850.38,805.494
"fetB",593.201,679.404,819.273,827.261
"cnoX",2672.04,1724.42,1261.78,1386.18
"ybbO",1306.82,1107.81,958.643,1092.81
"tesA",1138.85,831.374,835.197,778.52
"ybbA",444.262,648.24,657.517,600.625
"ybbP",204.472,259.057,376.843,308.451
"rhsD",138.917,288.337,527.518,443.969
"ybbC",244.755,262.711,449.027,628.627
"ylbH",100.748,414.374,848.626,885.222
"ylbG",440.189,380.353,657.565,713.878
"selU",181.835,219.743,369.079,407.586
"allS",96.3615,532.836,708.507,734.684
"allA",204.805,404.343,661.087,640.21
"allR",2021.34,599.697,824.148,935.535
"gcl",185.32,345.634,659.466,619.179
"hyi",56.2902,229.946,495.946,540.766
"glxR",37.0033,178.272,442.228,438.395
"allB",124.235,375.386,620.368,691.296
"ybbY",73.6225,226.526,563.676,470.375
"glxK",72.491,185.494,309.959,314.924
"allE",484.747,496.685,939.685,954.877
"allC",44.8718,367.901,669.726,539.015
"allD",16.0369,236.414,563.62,538.755
"fdrA",130.557,357.668,490.98,478.499
"ylbF",39.7014,452.264,470.544,412.445
"ybcF",102.986,577.417,555.441,556.007
"purK",1989.65,817.528,564.772,635.43
"purE",2836.85,555.774,729.709,722.611
"lpxH",443.779,466.462,562.768,527.794
"ppiB",6815.74,1749.4,1989.48,2317.99
"cysS",1574.86,463.6,590.078,636.116
"ybcJ",405.612,574.458,865.418,770.726
"folD",2619.24,634.904,731.225,808.801
"sfmA",77.2874,325.573,650.062,617.838
"sfmC",6.19416,265.728,595.399,747.836
"sfmD",22.7481,171.293,453.476,522.787
"sfmH",13.2194,217.901,440.35,471.64
"sfmF",35.8602,174.635,473.311,426.738
"fimZ",47.6063,321.678,810.354,934.527
"intD",554.787,470.375,626.518,789.401
"exoD",146.078,459.228,672.47,635.338
"renD",108.875,139.142,268.805,323.688
"emrE",251.94,252.848,546.351,616.241
"ybcK",29.8148,228.652,529.543,632.034
"ybcL",134.017,258.368,524.994,723.088
"ybcM",519.918,545.768,639.13,852.747
