"","0","0 | 1","0 | 2","28320","28320 | 1","28320 | 2","53520","53520 | 1","53520 | 2","53520 | 3","53520 | 4","53520 | 5","53520 | 6","53520 | 7","53520 | 8","53520 | 9","53520 | 10","53520 | 11","0 | 3","0 | 4","0 | 5","28320 | 3","28320 | 4","28320 | 5","53520 | 12","53520 | 13","53520 | 14","53520 | 15","53520 | 16","53520 | 17"
"psiF",1016.92671532752,809.002303348098,714.108757171408,948.82617537574,861.077929219804,975.501309996992,699.41261145825,754.825839253044,837.531707963168,770.686334674466,739.291748107518,648.067376112783,621.667780810264,709.176047672794,709.176047672794,709.176047672794,719.075776377855,724.077343935025,675.588050315722,734.185086984103,922.88047371349,657.114059552207,1067.48493910131,734.185086984103,765.362815301089,734.185086984103,724.077343935025,809.002303348098,621.667780810264,776.046882053324
"yidG",613.109096764891,568.099569698737,560.278375045499,548.748012818582,519.147253652495,639.145241037625,572.051014692977,604.66824265192,541.193236767427,580.036549271449,556.408249613341,522.758208362083,491.143229094535,576.02994416067,604.66824265192,530.055641006786,596.34359627185,580.036549271449,584.071022524633,560.278375045499,639.145241037625,533.742469550654,568.099569698737,584.071022524633,580.036549271449,522.758208362083,533.742469550654,541.193236767427,600.491494006722,584.071022524633
"uspC",504.9511447006,474.41308768787,455.087452757284,484.381515123505,501.463192364507,533.742469550654,382.681407650544,396.176638346852,328.557029776103,393.440046409731,352.138705443775,396.176638346852,347.290707826604,445.721888407616,404.501151674049,369.645874053759,372.216964433999,398.932264786176,464.649807522386,451.943934100815,508.463357663762,433.533599929614,451.943934100815,504.9511447006,424.611607456994,398.932264786176,497.99933307509,504.9511447006,407.314679682518,464.649807522386
"eutK",415.873226934392,390.722357493903,374.80593816208,352.138705443775,354.588023836397,448.82212931381,464.649807522386,451.943934100815,439.58550345613,455.087452757284,410.147777325886,380.038034081037,427.565014747325,398.932264786176,382.681407650544,439.58550345613,413.000580721729,393.440046409731,436.549064585194,439.58550345613,436.549064585194,404.501151674049,396.176638346852,364.55685007285,464.649807522386,421.678600840998,427.565014747325,404.501151674049,410.147777325886,390.722357493903
"caiT",105.419650210249,101.125287918512,104.691463495396,93.0542411084999,91.7731358730129,95.0095085202592,100.426764530784,106.891253686831,95.6703519126361,97.6805893734758,97.6805893734758,103.250145180432,119.428222916711,97.0058602566655,90.5096679918781,106.152901864249,93.0542411084999,102.536944331472,111.430472101904,103.250145180432,112.985983525204,101.82866992063,98.3600116024328,103.968306733598,92.4114685134398,97.0058602566655,103.968306733598,103.250145180432,100.426764530784,86.822676956651
"hrpB",556.408249613341,504.9511447006,504.9511447006,533.742469550654,494.559400409521,487.750654998496,508.463357663762,445.721888407616,471.136077119936,491.143229094535,461.440236856745,458.252836315122,430.538964609902,461.440236856745,445.721888407616,471.136077119936,461.440236856745,474.41308768787,541.193236767427,497.99933307509,515.56124162904,544.95753341612,537.454942015011,477.712891666846,515.56124162904,508.463357663762,501.463192364507,515.56124162904,471.136077119936,477.712891666846
"dgcI",213.782507373663,184.82293702688,186.108482217,215.269482304951,207.936613467196,190.019017040518,210.839300420499,190.019017040518,203.657339841259,165.421162321599,181.019335983756,227.543726378642,153.277274191223,206.500290360864,164.278514888052,171.254727012622,166.571757496567,166.571757496567,163.143760296866,195.361178746952,245.571614547268,170.071784204353,195.361178746952,227.543726378642,194.011720513331,173.645353913302,212.305803728497,210.839300420499,178.527189292852,181.019335983756
"yaiP",76.1092553601741,73.5166947198102,75.0614367508403,77.1717009722086,76.6386370956114,83.8651778469352,67.1818677518763,74.0280437699384,50.9143349603148,71.5063768366221,69.5510312016677,72.0037430200838,47.1766149533152,64.8934067065618,62.6828990455633,69.5510312016677,66.2569551258482,71.5063768366221,68.119691677015,69.0706071362834,80.448855969397,78.2489777722924,71.5063768366221,73.0088778155791,70.5219274161031,81.5718801484328,76.1092553601741,103.250145180432,68.119691677015,70.5219274161031
"truC",955.425783333691,1016.92671532752,1038.29450730499,1024,995.998666150181,879.171006912259,1144.10202938595,962.071295195148,910.174905514568,1002.92638472901,1052.78855849581,1002.92638472901,1009.9022894012,935.763405034906,922.88047371349,968.76303024701,1024,989.118800819041,982.28645818907,1052.78855849581,935.763405034906,962.071295195148,1016.92671532752,922.88047371349,968.76303024701,885.286124859253,948.82617537574,891.443776815232,982.28645818907,903.887868201631
"fkpA",6608.00929154766,6295.0407425557,6472.01842678479,6700.25366370535,6841.0402359572,6608.00929154766,6165.49067739573,5752.60621102284,6653.97163095028,6165.49067739573,5996.89501059328,6208.37505642659,6038.60671402435,6295.0407425557,6338.82621354963,6251.55771990245,5996.89501059328,5914.33398486014,6700.25366370535,6382.91623657882,6746.85761345596,6338.82621354963,6700.25366370535,6936.53759887382,6295.0407425557,6295.0407425557,6984.7850333631,6936.53759887382,6165.49067739573,6700.25366370535
"yacL",1031.12248325808,1031.12248325808,935.763405034906,1052.78855849581,1031.12248325808,891.443776815232,1045.51641672417,968.76303024701,1067.48493910131,995.998666150181,968.76303024701,982.28645818907,929.299615044772,1038.29450730499,1016.92671532752,968.76303024701,942.272154239873,968.76303024701,910.174905514568,916.505672630244,916.505672630244,879.171006912259,897.64425862762,968.76303024701,843.357201681995,873.098129170387,1052.78855849581,975.501309996992,814.629359365037,922.88047371349
"rlmD",1978.23760163808,1951.00261999398,1937.52606049402,1978.23760163808,1978.23760163808,1858.59923008954,1758.34201382452,1845.76094742698,1924.1425903903,1758.34201382452,1722.15585843961,2005.85276945803,1884.54430847975,1710.2600589893,1910.85156666738,1858.59923008954,1871.52681006981,1845.76094742698,2019.8045788024,1871.52681006981,1910.85156666738,1937.52606049402,1964.57291637814,1858.59923008954,1746.19625834077,1770.57224971851,2048,2019.8045788024,1746.19625834077,1910.85156666738
"yjbQ",3213.65646498509,2977.73571547199,2592.26950445113,2957.16699243007,3061.45126120435,3147.52037127785,2521.38375853039,2592.26950445113,2836.70419069117,2759.13436542093,2503.96728871335,2503.96728871335,2368.89740063803,2759.13436542093,2610.30016474985,2610.30016474985,2435.49617152557,2503.96728871335,2610.30016474985,2836.70419069117,3061.45126120435,2521.38375853039,2896.3093757401,2817.1096435502,2592.26950445113,2452.43638705957,2721.14854726966,2856.43502868563,2521.38375853039,2556.5809641505
"nadC",2105.57711699162,2076.58901460998,1951.00261999398,2076.58901460998,2164.77294706971,2091.03283344833,2120.22256402714,1991.99733230036,2076.58901460998,1937.52606049402,2076.58901460998,1884.54430847975,2062.24496651616,1991.99733230036,1871.52681006981,1978.23760163808,1924.1425903903,1964.57291637814,2048,2134.96987820262,2179.83013366448,1964.57291637814,2210.25942836107,2019.8045788024,1951.00261999398,1820.34981102914,1884.54430847975,2048,1871.52681006981,1782.88755363046
"tynA",333.143514993135,321.795423877588,266.871234775327,268.727471007505,330.842324643198,261.379104181041,300.245747003361,290.018274635724,315.172969816299,278.204124806671,280.139187522749,286.025507346488,333.143514993135,344.891795677617,292.035511262316,286.025507346488,278.204124806671,321.795423877588,304.437021440697,296.112175079754,294.066778879241,298.171798135925,280.139187522749,302.33412132596,330.842324643198,296.112175079754,278.204124806671,319.572620518813,300.245747003361,270.596618383713
"ydfW",106.152901864249,118.603271921967,121.095378780876,130.689552090521,126.23778617515,139.102062403335,116.162451880597,116.970425629363,106.152901864249,102.536944331472,142.024892424684,127.115839415941,92.4114685134398,136.23938335403,135.298309191857,127.115839415941,124.499833268773,126.23778617515,142.024892424684,120.258911899394,129.786813413124,144.007486040168,182.278425036425,154.343401944417,136.23938335403,146.017755631158,122.785807273634,136.23938335403,151.16706066298,140.069593761375
"pdeD",126.23778617515,128.89031040726,122.785807273634,133.435617387664,120.258911899394,145.009137317862,131.598569811977,126.23778617515,91.7731358730129,124.499833268773,118.603271921967,118.603271921967,82.7105811607995,99.733066196544,115.360059214186,116.162451880597,110.660765607407,103.968306733598,143.012753673244,132.513910251696,141.043854832206,133.435617387664,119.428222916711,120.258911899394,141.043854832206,121.095378780876,144.007486040168,138.141214272567,112.985983525204,133.435617387664
"ydhW",268.727471007505,257.78062081452,278.204124806671,266.871234775327,274.374006409291,290.018274635724,263.197139623953,268.727471007505,257.78062081452,254.231678831881,229.126418157561,268.727471007505,202.250575837025,206.500290360864,247.279700204761,250.731596182253,233.940851258727,247.279700204761,294.066778879241,274.374006409291,259.573626826247,263.197139623953,221.321531214813,274.374006409291,254.231678831881,232.324903761193,296.112175079754,276.282428545133,206.500290360864,256
"yfdT",203.657339841259,178.527189292852,165.421162321599,177.294011918198,162.016844028196,179.768944094464,172.445897838808,160.897711938794,186.108482217,149.085899067962,177.294011918198,171.254727012622,190.019017040518,177.294011918198,171.254727012622,170.071784204353,168.897012578931,163.143760296866,160.897711938794,166.571757496567,181.019335983756,149.085899067962,173.645353913302,178.527189292852,160.897711938794,149.085899067962,167.73035569387,174.853152864563,165.421162321599,156.497955544585
"yicG",235.568038559968,194.011720513331,200.853529061568,210.839300420499,192.671583668617,237.206543843935,215.269482304951,176.069352721887,158.68258559219,176.069352721887,182.278425036425,191.340703825272,132.513910251696,215.269482304951,170.071784204353,178.527189292852,182.278425036425,194.011720513331,171.254727012622,191.340703825272,227.543726378642,181.019335983756,240.517823798787,196.720023204866,192.671583668617,188.706459813261,186.108482217,194.011720513331,199.466132393088,190.019017040518
