"","176400","176400 | 1","176400 | 2","0","0 | 1","0 | 2","0 | 3"
"glk",-0.085364658,0.094973366,0.058520655,0.340446965,0.145966585,-0.049809771,0.2769163
"hyfJ",0.418065749,NA,NA,0.566053197,0.170448069,0.625278358,0.147722415
"yfiH",0.092992721,0.046752795,0.055990254,0.28633575,-0.113122818,0.311333875,0.040668576
"recX",0.498364474,NA,0.474685484,0.144313266,-0.506392604,0.288826534,0.167150966
"amiC",0.094982366,0.424945603,1.100940285,0.030005503,0.047605942,-0.240402147,-0.050904794
"scpB",0.143955471,-0.130495638,-0.07657387,-0.097737319,-0.529858682,0.66452374,-0.659640908
"plsC",0.083909146,0.053076331,0.297062321,0.330989569,0.270552521,-0.134681599,0.475738795
"tdcB",0.531260532,NA,NA,0.509370125,0.007965376,0.580311212,0.33251836
"csdA",0.751257277,NA,0.064511019,0.647213009,-0.143277375,-0.173987255,0.330653098
"yqfE",0.081501184,-0.043709162,0.03557932,0.049593346,-0.817041455,-0.631244403,-0.721169909
"yqhH",0.38899028,0.638877961,0.312834664,0.662367878,0.386877356,0.122495112,0.683336244
"tdcF",-0.065054128,-0.410561075,-0.378975862,-0.172818077,-0.810219264,1.250455182,-0.868313882
"rlmM",0.271343122,-0.88991023,0.872625493,-0.956986368,-0.26276408,0.377767618,0.330653098
"zapA",0.72274412,NA,0.998985817,0.260413743,0.03865912,0.2241837,0.063132865
"yqhC",0.253873713,2.12160735,0.647436,0.560790905,0.274227941,0.35041801,0.179385423
"fucI",0.55083344,0.767077289,0.696534234,0.521483927,0.086225831,0.377767618,0.492314642
"ubiI",0.35318468,0.711863947,1.298594225,0.334097517,0.02001701,1.189087231,0.147578059
"exbB",0.395869619,NA,0.284628569,0.634355159,0.36789244,0.34223644,0.631464691
"yhaI",-0.256582732,-0.114770174,-0.271099976,0.118444036,-0.109042481,0.39823679,-0.276108736
"ygdG",-0.21008807,0.116264309,-0.204204146,0.117207187,-0.010637515,0.08072598,0.013327702
"ygfF",-0.276350711,-0.036556075,-0.237361994,-0.001433543,0.170623469,-0.093484703,0.005696562
"yqhA",0.095581373,0.358594333,0.006690142,0.398279039,0.165613148,0.306411709,-0.001654175
"yqjK",0.104727934,0.052260754,0.094474242,-1.114938905,-0.21313634,0.463474474,-0.32698916
"queF",0.292818235,NA,0.490479751,0.383971574,0.173895187,0.038949061,0.162786161
"ygfZ",0.429964972,NA,NA,0.617205719,-0.112608555,0.218709698,0.355476682
"yghW",-0.058496209,-0.07305279,-0.329498696,0.261250516,-0.247880888,0.396599546,-0.306263627
