"","0","0 | 1","10800","10800 | 1","21600","21600 | 1","36000","36000 | 1","57600","57600 | 1","86400","86400 | 1","0 | 2","0 | 3","10800 | 2","10800 | 3","21600 | 2","21600 | 3","36000 | 2","36000 | 3","61200","61200 | 1","86400 | 2","86400 | 3","0 | 4","0 | 5","3600","3600 | 1","3600 | 2","3600 | 3","7200","7200 | 1","14400","14400 | 1","0 | 6","0 | 7","3600 | 4","3600 | 5","3600 | 6","3600 | 7","7200 | 2","7200 | 3","14400 | 2","14400 | 3"
"ampC",479.6,492.7,385.9,306.7,324.5,264.9,290.7,222.2,421.2,349.7,776.2,402.4,1502.8,77.7,888.5,805,708.7,551,677.5,502.2,594.8,806.9,833.2,933.7,486.8,592.7,311.8,392,413.1,277.7,251.4,214.7,225.7,201.6,1065.6,1118.9,898.9,805.7,496.8,737.5,576.1,428.6,1439.5,1352.4
"ampD",597.7,1188.4,853.8,959.1,1090.3,888.7,1389,1022.6,1270.3,1120.5,212.6,954.7,994.2,120.2,936.3,688.3,1007.2,767.7,687.1,829,538.6,743.1,135.5,486.7,1346.9,1815.2,1444.4,1215.6,901.2,875.4,963.2,740.3,589.6,753.7,677.2,672.5,964.8,998.7,1128.9,772.5,773.7,968.2,804.5,102.2
"ampE",673.9,663.9,1015.5,1098.9,1056.4,926.2,1277.5,1426.5,967.5,783.1,976.9,690.4,1031.5,60.4,1290.6,1466.3,1574.3,1303.8,1092.3,1091.6,939.7,603.9,540.9,282,1275.3,1186.3,1018.4,977.5,1125.7,779.7,1282.1,1164.6,1075,1147.8,974.9,919.9,1648.7,2310.9,1874.8,1219.1,1754,1240.8,577.5,1005
"ampG",681.8,926.7,510.4,421.5,542.7,307.8,519.1,399,415.5,428.1,1229.1,270.7,1465.4,45.2,459.8,503,605.1,579.7,595.5,485.6,658,665,618.3,1080.1,635.7,511.8,360.4,429.8,436.3,270.8,555.7,449.6,482.4,676.1,1285.8,1211.4,739.6,1090.9,675.3,938.3,393.1,570.5,509.5,1366.9
"amtB",21.6,75.9,96.7,147,407.3,298.6,338.8,363.7,249.9,244.6,215.9,216.4,84.5,323.5,2031,1772.8,3834.2,3906.4,5317.2,3860,2309,2624.2,1676.7,1179.2,42.1,60.1,127.8,65,56.9,147.2,211.5,73.1,434.2,224.6,164.1,139.7,407,468,1432.9,1143.8,3982,5364.8,655.3,2020.4
"amyA",2136.1,2361,5970.1,6366.6,4301.5,4665.4,5131.6,3753.9,4102.4,4220.8,3127.1,3532.4,646.4,2057.6,8531.6,8706.2,7484.9,6880.9,9568.7,8370.6,12377.2,11971.2,9282.3,7357.8,1656,1626.1,5212,5480.7,4989.6,4881.7,3986.2,3813.5,3161.2,3425.7,459.7,480.8,739.5,1975,3578.8,3508.2,5779.5,6426.7,7714.1,9890.6
"ansA",2965.6,2598.5,1758,1546.4,3357.7,2953,2393.2,1780.5,1751.3,1912.5,895.6,666.8,803.4,7215.9,846.6,670,604.2,737.4,854.7,877.3,163,466.7,74.1,439.6,1125.3,961.3,880.9,487.8,366.5,339,460.6,558.1,610,528.8,959.9,865.4,324.9,572.4,393.2,457.3,238.2,239.9,224.9,149.9
"ansB",8633.7,9920.3,3875.5,3503.9,992.3,850.6,691.1,767.8,41.3,64.2,518.6,72.5,3974.2,1766.4,1571.1,1656.1,964.9,1144.8,184.8,358.1,57.1,140.2,119,160,29315.4,32784.8,30191.6,27877.5,18665.8,16318.9,13821.1,16076.2,15182.3,18630.3,10514.8,6868.9,26198.1,34184.9,14719,12465.3,7072.5,6102,1318.7,500.7
"ansP",125.9,209.1,124.9,92.9,135,232.5,257.9,124.3,155.3,210.8,80.4,437.5,286.8,550.1,69.1,324.3,190,178.4,154,216.6,398.5,153.7,364.2,108.3,13.8,31.3,35.9,50.9,41.5,145.3,99.5,144.2,206.4,44.1,255.8,236.8,59.5,102.4,185.3,189.7,203.4,60.9,154.9,193.2
"apaG",3253.7,4413,5105.4,5094.9,8439.6,5724.6,8261.4,8471.9,7237.1,8333.6,9506.1,12497.4,3067.2,1249,8978.7,6996,5071.2,6040,6070.3,6937,7056.2,5327.4,8126.9,7876.6,3247.8,4172.7,3777.1,4250.1,5046.1,5296.3,4978.5,6465.8,6487.2,7359.8,6614.6,6776.2,5076.1,7060.2,6813.2,5600.6,6889.3,6139.9,2368.9,3456.2
