"","1770","1770 | 1","1770 | 2","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","270","270 | 1","270 | 2","570","570 | 1","570 | 2","870","870 | 1","870 | 2","1170","1170 | 1","1170 | 2","1470","1470 | 1","1470 | 2","1770 | 3","1770 | 4","1770 | 5","2070","2070 | 1","2070 | 2","2370","2370 | 1","2370 | 2","2670","2670 | 1","2670 | 2","2970","2970 | 1","2970 | 2","3270","3270 | 1","3270 | 2","3570 | 3","3570 | 4","3570 | 5"
"arnD",9.050823878,8.383258912,8.289680035,8.141233138,8.553308707,8.594591536,9.270283714,8.495179937,8.526437598,8.53775693,8.006584807,8.550057411,8.107327233,9.32842241,8.264130029,8.623805892,8.63501302,8.308341397,8.804112979,8.401844556,8.652410215,8.523940546,8.291162204,8.723745404,8.267165572,8.436229331,8.243574827,8.703224716,8.574005753,8.813766695,8.471938795,9.03177165,8.815548199,8.504838566,8.475996665,8.594361884,9.105634237,9.007609064,8.875217065,9.470183668,8.822572849,9.267850346,8.287066116,8.25360251,8.289718674
"arnT",9.669207016,9.410787581,9.068820437,9.055458746,9.145338624,9.704157877,9.281199703,9.379918213,9.190586772,8.64809557,8.661356185,9.027962687,8.744224041,8.638070163,8.723699533,8.885449219,9.5383139,9.082974182,8.773316655,9.292390374,9.998999231,8.35802553,8.4093494,8.465045302,9.232901942,9.564152261,8.991241294,8.533883098,9.241635047,8.49767117,8.479852259,9.454399099,9.390397522,8.719096414,8.624351677,9.567864097,9.722012561,9.278326499,9.034670563,9.198725167,9.101900159,9.146171117,9.973162229,9.274220166,9.412199214
"arnF",11.03988059,10.27969778,8.734684793,8.717768033,8.946632575,9.708208976,9.545155225,9.763268979,9.441312307,8.694626296,9.123558197,9.425826955,9.179609429,9.452707391,9.471998064,9.582263055,10.11084512,8.867788919,9.382408399,9.457249709,10.15132093,9.235490689,9.252001265,9.353462618,9.44251925,9.548009866,9.087768437,9.705399946,9.754665219,9.945858686,9.397308611,9.473187314,9.606680334,9.374012204,9.155179438,9.763749919,9.600518178,9.343026475,9.486903832,9.681946947,9.197354548,9.630419723,9.64344117,8.441982407,9.243633334
"pmrD",12.21421359,12.57207217,12.34939191,12.25957637,12.52841321,12.44865924,12.76668236,12.35783811,12.30807647,12.77442577,12.87094769,12.24334668,12.76654419,12.74797969,12.46576151,12.41108958,12.39201742,12.03696293,11.82107161,12.22670853,11.61116303,11.43355914,11.67165192,11.64812049,11.96244399,11.61779426,11.88614282,11.80218465,10.86644718,11.90980865,12.09570517,11.46493313,11.65088992,11.62215463,11.7831004,11.77033985,11.81097346,11.33668894,11.98274988,11.44708784,11.74197898,11.32561388,11.96621334,11.56145965,12.26643489
"menE",11.0795094,10.7399612,10.91003277,10.88245142,11.09109324,10.51292025,11.57867133,10.57899508,11.12698096,10.0977948,10.26473862,9.590430189,10.42180549,10.5563017,10.69307665,10.69260317,10.46580086,10.51137639,10.42280818,10.52215373,9.727689746,10.88936649,10.7473748,10.7814637,10.63962094,10.83909133,10.56639153,10.87517195,10.44764702,11.20311133,11.05906557,10.89326685,11.18079941,11.08090742,11.05513915,10.86587373,10.9617814,11.51715485,10.71116707,10.94660131,10.75456989,10.91683501,10.60323497,10.49616042,10.40215778
"menC",10.50508492,10.07828806,11.05146079,9.852380133,10.25802455,8.952253424,11.93971716,10.99354235,11.17981208,10.38640576,10.15055379,10.34049136,10.73310853,11.01661359,11.3028264,11.22907884,10.75316875,10.70737614,11.59181711,11.35300324,9.687238679,11.30073288,10.30424395,11.39124501,10.12582709,10.96909543,10.52031855,10.9695696,11.28419249,11.04270992,10.94889254,11.62921504,11.72118098,11.50251432,11.91874775,10.28696012,11.67408544,11.73339531,11.29125295,11.84769803,11.96813708,11.53933428,9.615891435,10.06347414,9.807510872
"menB",12.77578398,12.11956073,12.59332359,11.35219259,12.45653346,11.78156038,13.71700592,12.04232822,12.57970339,12.10778106,11.667834,11.77251048,11.8584712,12.46081593,11.80397815,11.65144514,11.74875015,12.29952851,12.53607944,11.85809797,11.83435823,11.85726672,12.9002051,12.24531425,11.81816033,11.91006887,12.46487556,11.66249087,12.80509136,11.88795687,12.76991154,12.76285502,12.69438564,12.38959345,12.43014097,12.77474532,13.00666729,12.67878639,12.55896579,12.76074265,12.9504639,12.81076444,11.60032649,11.56711815,11.68454059
"menH",11.42741214,11.73836072,11.9095668,12.2347546,11.63897908,11.68222809,11.39638683,10.76612271,11.83562142,10.68378807,11.20028704,11.44202359,9.004450165,10.09186592,10.99671436,10.75278112,11.50240149,11.00718363,10.82043982,10.77156282,9.983182664,10.88770109,11.23627524,10.73919314,11.3056699,11.76516872,11.61196964,10.61643044,11.20842214,9.94207718,9.738267446,11.62672639,10.89368191,11.56090436,11.60171629,11.68814023,11.9200116,11.70976831,11.48677435,11.62119638,11.69002291,11.31767526,12.16090033,12.23651222,11.76305093
"menF",10.9593833,11.42048571,11.0484629,11.47694932,11.01478283,11.25235015,10.02969511,9.487123701,10.1051039,11.25413494,11.23623152,11.5803642,10.99922446,10.3788426,11.10382902,10.99686094,11.25690647,11.5082409,11.21494323,11.22847932,10.86555054,11.42288788,12.19161045,11.20622669,11.74539988,12.01111406,12.14098582,11.53045274,11.48810356,10.96704464,11.58339946,11.68869343,10.31822128,11.0096844,11.37912694,11.85430281,11.67706205,11.70485594,11.33633981,10.76096884,11.65502984,10.93663791,12.14432627,12.36171606,11.67842535
"elaB",8.878245099,9.47828766,10.05564209,9.686408534,9.573829644,9.147561711,9.405766786,9.731976564,9.80945422,11.08731289,10.66672953,10.89518102,12.66819593,11.71349436,12.10131365,12.94956829,12.41516234,11.57657741,13.10564493,13.03478697,11.35411238,13.23207757,13.06735977,12.04372279,11.89858105,12.81626089,11.31467558,11.75493629,11.93069359,11.64533522,11.76861309,11.33601355,11.46838967,11.01340157,11.2466542,9.543767974,10.45989297,10.28777699,10.32988632,9.930853219,10.1196573,9.875681301,9.575881401,9.813335699,9.813872529
