"","0","0 | 1","7200","7200 | 1","0 | 2","0 | 3","7200 | 2","7200 | 3"
"yddE",58.4852128146816,33.1284775629241,38.5858504861043,37.5307183754201,111.430472101904,89.8844720472318,51.6250725902161,39.1244888861462
"fieF",342.509454025245,280.139187522749,319.572620518813,321.795423877588,317.365171184381,537.454942015011,292.035511262316,259.573626826247
"sdhA",26.5382254660621,43.4113384783255,24.2514650641664,21.7056692391628,91.7731358730129,134.363735503753,48.8402946867379,37.5307183754201
"ybfO",14.0256915410566,13.0864329369245,18.000935755021,13.928809012738,23.5883074766576,14.9285278645889,16.564238781462,15.1369223476095
"galF",179.768944094464,142.024892424684,248.999666537545,592.224350159507,230.720118428372,137.187003204645,568.099569698737,625.991822178339
"treR",11.3924015647766,16.564238781462,28.246495881301,92.4114685134398,15.5624791585966,30.2738446952191,36.0018715100419,28.4429657973302
"btuB",16.4498212264971,9.00046787751048,7.41270449512297,3.09512998708478,9.9866443912129,32.6723880226302,3.138336391587,3.36358566101486
"yfbU",148.056087539877,104.691463495396,238.856445833423,1144.10202938595,335.460711387741,103.968306733598,596.34359627185,666.28702998627
"yegJ",2.84810039119414,5.50216727255897,3.86374531569938,3.138336391587,3.45814892523146,5.69620078238829,2.73208051350879,3.24900958542494
"yjfP",26.5382254660621,50.2133822653921,44.0173381804718,50.9143349603148,35.0173984403437,26.5382254660621,57.2816045393902,77.1717009722086
"yjiT",9.38267959385503,22.1617514897748,7.56846117380477,5.06302637588112,5.24157361543345,22.0086690902359,4.95883079975595,5.9380942825162
"csrB",2225.63299845337,2435.49617152557,5330.29623989016,7967.98932920145,4153.17802921996,4870.99234305115,5832.9096011656,5752.60621102284
"rfe",296.112175079754,337.794025157861,99.733066196544,72.0037430200838,203.657339841259,369.645874053759,340.143568408707,424.611607456994
"mobB",118.603271921967,80.448855969397,134.363735503753,163.143760296866,78.7932424540746,68.5935016023227,101.82866992063,98.3600116024328
"hisS",448.82212931381,760.076068162073,430.538964609902,734.185086984103,929.299615044772,101.125287918512,1573.76018563892,1562.88942997561
"mpl",108.383399982403,105.419650210249,94.3532299066304,130.689552090521,79.8931551297032,39.1244888861462,139.102062403335,132.513910251696
"fdx",294.066778879241,398.932264786176,433.533599929614,709.176047672794,680.287136817414,62.2499166343863,580.036549271449,657.114059552207
"ymgD",9.84915530675933,6.49801917084988,11.235559005904,6.36429187003935,5.9380942825162,10.3388226450999,3.55537072466628,4.11245530662427
"sibB",19.4271181503208,10.9283220540352,15.0323639874242,16.564238781462,10.5560632861832,12.7285837400787,9.91766159951189,9.12610972694739
"ftsX",51.9841533667991,58.0812259402983,43.4113384783255,158.68258559219,38.5858504861043,16.3361940113151,84.4485062894653,107.634741152475
"mppA",33.3589043469159,53.8173705762377,67.1818677518763,58.0812259402983,35.753188418311,32,93.70148454052,93.0542411084999
"sibC",34.7755156008339,25.106691132696,21.1121265723663,31.1249583171931,44.0173381804718,38.0546276800871,19.4271181503208,24.5900029006082
"baeR",24.5900029006082,31.7789598539852,56.1027661642262,142.024892424684,82.7105811607995,52.7098251051247,141.043854832206,115.360059214186
"rluF",9.18958683997628,14.4200074017733,7.78123957929828,4.82323131076304,11.712685567565,44.0173381804718,6.82107913414365,3.94493081797344
"ydaS",9.71355907516037,9.91766159951189,10.5560632861832,8.87655577654276,8.75434961008592,38.8542363006415,8.16809700565755,5.69620078238829
"ybfP",17.6304818540258,14.4200074017733,11.235559005904,7.21000370088664,8.16809700565755,24.420147343369,9.00046787751048,7.46426393229446
"ybeL",604.66824265192,556.408249613341,3590.57703451048,2936.74034793641,1530.72563060218,867.067199859228,2538.92136947505,2005.85276945803
"ttdT",31.7789598539852,27.6651914018517,29.2426064073408,9.9866443912129,25.106691132696,26.9086852881189,13.6421582682873,13.928809012738
"cvpA",302.33412132596,354.588023836397,54.1916999912017,67.6491545959284,433.533599929614,643.590847755176,194.011720513331,207.936613467196
"ykgJ",16.3361940113151,18.8958825828725,41.3552905803998,97.0058602566655,9.51365692002177,15.1369223476095,16.564238781462,12.817118041434
"trpC",57.6800296070931,93.70148454052,74.0280437699384,111.430472101904,151.16706066298,80.448855969397,144.007486040168,127.115839415941
"ptsA",9.18958683997628,9.57982963695143,5.8563427837825,7.361501204999,11.0808757448874,5.77571678208998,5.69620078238829,5.50216727255897
"wcaF",9.00046787751048,5.8970768691644,8,5.42641730979069,5.20536742176773,5.8970768691644,5.61777950295199,6.32033049490702
"mokB",55.3303828037034,59.7141114583557,282.087709664412,187.40296908104,89.263594646426,73.0088778155791,33.8245772979642,30.484415937406
"nnr",224.411064656905,235.568038559968,274.374006409291,324.033688056392,415.873226934392,652.575041187462,404.501151674049,352.138705443775
"cueO",20.9662944617338,18.3791736799526,26.172865873849,22.6274169979695,22.471118011808,30.484415937406,13.6421582682873,12.466633274568
"yfaE",68.119691677015,27.6651914018517,28.246495881301,36.0018715100419,52.7098251051247,82.7105811607995,41.3552905803998,50.2133822653921
"yafT",4.46914855228888,4.65893434587382,3.38698124945011,2.80888975147599,4.65893434587382,4.95883079975595,4.62675273562115,2.77021893622185
"yehD",4.75682846001088,7.06162397032524,4.28709385014517,2.44528055538414,4.16986304336449,6.96440450636899,3.2265670368885,3.36358566101486
"slyX",101.125287918512,140.069593761375,580.036549271449,552.564857090267,206.500290360864,121.937663749624,157.586484908149,128.89031040726
"ecpB",19.4271181503208,7.26015324253729,11.6317801385625,6.19025997416956,16,29.2426064073408,16.6794521734579,12.7285837400787
"yjjJ",14.2214828986651,6.36429187003935,6.27667278317401,3.58010028371189,4.85677953758019,14.9285278645889,3.138336391587,3.138336391587
"spf",617.373607777669,786.880092819462,1278.29048207525,2368.89740063803,512,133.435617387664,744.433928867999,604.66824265192
"rplT",132.513910251696,158.68258559219,111.430472101904,254.231678831881,284.049784849368,13.0864329369245,238.856445833423,280.139187522749
"ymcE",34.5353035681417,36.7583473599051,24.933266549136,21.1121265723663,23.1028671283599,26.3549125525623,67.6491545959284,116.970425629363
"ypjC",4.11245530662427,3.116658318642,2.21913894413569,2.07052984768276,2.07052984768276,9.12610972694739,2.18858740252148,2.04202425141439
"bglB",6.32033049490702,3.24900958542494,5.24157361543345,4.89056111076827,5.57897466540162,6.58872813814059,5.13370359025162,5.16941132254997
"bglG",22.7848031295531,13.4543426440594,8.22491061324853,4.08404850282877,6.49801917084988,16,3.138336391587,4.14105969536551
"yciQ",5.5404378724437,8.57418770029035,3.41053956707183,4,6.63455636651553,21.8566441080703,3.94493081797344,3.0314331330208
"csgD",42.2242531447326,25.2813219796281,44.9422360236159,27.6651914018517,29.6508179804919,38.0546276800871,36.7583473599051,33.3589043469159
"thiP",27.0958499956009,26.9086852881189,8.93829710457776,8.28211939073102,17.0299229192538,10.4107348435355,16.1112888009075,14.3204011348476
"yjhP",6.36429187003935,14.3204011348476,11.235559005904,5.65685424949238,9.84915530675933,32.222577601815,8.22491061324853,8.81524092701289
"mutT",93.70148454052,89.8844720472318,58.4852128146816,101.82866992063,122.785807273634,54.5686330731492,178.527189292852,172.445897838808
"norV",11.6317801385625,4.19886673449227,8.11167583832023,5.77571678208998,4.14105969536551,7.6211039843515,3.18214593501967,3.60500185044332
"fruB",286.025507346488,233.940851258727,47.1766149533152,2368.89740063803,903.887868201631,572.051014692977,625.991822178339,544.95753341612
"ysaA",48.5029301283327,59.3016359609837,69.0706071362834,103.250145180432,35.506223106171,67.6491545959284,120.258911899394,112.985983525204
"yrbL",49.866533098272,73.5166947198102,199.466132393088,1152.05988832134,151.16706066298,90.5096679918781,430.538964609902,407.314679682518
"ynaJ",188.706459813261,205.073888662943,458.252836315122,342.509454025245,584.071022524633,512,149.085899067962,128
"chbR",20.5348143610065,16.1112888009075,19.8353231990238,31.3414495227817,17.8765942091555,11.235559005904,25.9920766833995,21.7056692391628
"cyoE",24.5900029006082,34.2967508011614,35.506223106171,52.7098251051247,117.784019279984,40.504211007049,27.0958499956009,16.7954669379691
"yidB",25.6342360828679,28.246495881301,14.8254089902459,22.7848031295531,20.2521055035245,34.2967508011614,10.8528346195814,8.28211939073102
"eamB",8.75434961008592,16.2233516766405,14.8254089902459,7.6211039843515,14.2214828986651,10.4831472308669,6.45313407377701,5.46416102701758
"sgcA",4.34693945010423,3.83705647730106,3.78423058690238,3.78423058690238,6.233316637284,4.19886673449227,3.58010028371189,3.38698124945011
"rydB",7.41270449512297,6.45313407377701,118.603271921967,102.536944331472,191.340703825272,390.722357493903,24.0839479585771,19.8353231990238
"ileS",82.1392574440259,90.5096679918781,90.5096679918781,136.23938335403,98.3600116024328,24.420147343369,147.03338943962,150.122873501681
"pfkB",107.634741152475,225.971967050408,1016.92671532752,1552.09376410665,820.295554651773,96.3357918343083,1192.6871925437,989.118800819041
"quuD",46.85074227026,23.917587978159,40.504211007049,19.2929252430522,38.5858504861043,61.3929036368169,20.6776452901999,18.5070109424846
"ybeY",333.143514993135,481.035647597574,1652.00232288691,2336.28409009853,652.575041187462,173.645353913302,1499.22375264832,1408.5548217751
"amiB",40.7859400742164,44.3235029795496,38.5858504861043,136.23938335403,44.0173381804718,107.634741152475,150.122873501681,146.017755631158
"yraN",259.573626826247,242.190757561753,250.731596182253,243.875327499248,290.018274635724,243.875327499248,380.038034081037,330.842324643198
"yejE",2.60268371088387,3.81055199217575,2.53151318794056,2.82842712474619,3.18214593501967,6.96440450636899,2.20381023175322,2.2657677705916
"gstA",19.8353231990238,38.5858504861043,125.365798091127,430.538964609902,42.2242531447326,20.6776452901999,54.1916999912017,60.5476893904381
"ycgJ",135.298309191857,182.278425036425,147.03338943962,173.645353913302,182.278425036425,138.141214272567,207.936613467196,278.204124806671
"mdtF",448.82212931381,436.549064585194,170.071784204353,240.517823798787,36.5044389077896,51.9841533667991,1370.03781610098,1458.2274002914
"paoB",24.0839479585771,17.6304818540258,17.3877578004169,20.9662944617338,22.3158986616065,27.0958499956009,16.1112888009075,17.3877578004169
"kbp",129.786813413124,59.3016359609837,786.880092819462,1192.6871925437,292.035511262316,38.3193185478057,666.28702998627,564.175419328825
"viaA",113.771863189321,73.5166947198102,84.4485062894653,72.5045686589311,107.634741152475,50.5626439592561,137.187003204645,182.278425036425
"kbaY",11.3924015647766,6.45313407377701,9.06307108236639,12.1257325320832,9.12610972694739,7.11074144933256,9.12610972694739,10.1964850185541
"bfr",13.8325957009258,12.2100736716845,14.6213032036704,9.12610972694739,11.712685567565,60.968831874812,7.01284577052828,9.44794129143624
"cbrC",14.5203064850746,7.361501204999,18.3791736799526,9.31786869174765,6.32033049490702,10.0561069961746,8.39773346898454,7.78123957929828
"glnE",10.4107348435355,20.5348143610065,13.4543426440594,10.7778686149255,12.2950014503041,18.3791736799526,8,10.4831472308669
"sibD",455.087452757284,541.193236767427,1314.22811910441,1296.13475222557,709.176047672794,210.839300420499,600.491494006722,504.9511447006
"gshB",16.3361940113151,13.0864329369245,24.7610398966782,14.723002409998,15.1369223476095,25.4571674801574,13.3614067108539,11.712685567565
"rhsB",4.02782220022687,3.63007662126864,5.69620078238829,2.14354692507259,4.37717480504296,12.2950014503041,2.51402674904366,2.53151318794056
"mazG",342.509454025245,294.066778879241,219.792751728065,481.035647597574,340.143568408707,94.3532299066304,436.549064585194,418.765853981584
"omrA",97.6805893734758,73.5166947198102,112.985983525204,74.0280437699384,121.937663749624,77.708472601283,64.8934067065618,66.2569551258482
"msrB",102.536944331472,225.971967050408,167.73035569387,729.113700145701,413.000580721729,77.708472601283,347.290707826604,324.033688056392
"rcdB",4.40762046350644,15.0323639874242,28.8400148035466,43.1114744597021,25.2813219796281,12.7285837400787,19.4271181503208,22.7848031295531
"setB",30.9099625255951,30.6964518184085,12.7285837400787,12.906268147554,47.5047542601296,16,118.603271921967,148.056087539877
"yiiR",168.897012578931,172.445897838808,252.4755723503,210.839300420499,139.102062403335,245.571614547268,99.733066196544,83.8651778469352
"alsA",7.94473996349629,7.5161819937121,8.22491061324853,6.72717132202972,8.69387890020847,6.36429187003935,4.50023393875524,5.81589006928124
"citT",7.56846117380477,7.5161819937121,8.87655577654276,7.01284577052828,14.1232479406505,9.44794129143624,5.65685424949238,6.54321646846225
"lpxL",114.56320907878,115.360059214186,167.73035569387,290.018274635724,364.55685007285,28.8400148035466,221.321531214813,186.108482217
"yfdI",2.9485384345822,7.5161819937121,3.36358566101486,2.71320865489534,3.24900958542494,4.92457765337966,2.39495740923786,2.31337636781057
