"","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","570","570 | 1","570 | 2","1770","1770 | 1","1770 | 2","3570 | 3","3570 | 4","3570 | 5","7170","7170 | 1","7170 | 2"
"ydcH",8.829632461,7.531538443,7.663354407,9.921010739,9.650732272,9.954815144,10.03358691,9.542174891,9.845830272,8.290570772,8.385762545,8.528063578,7.097335851,9.222797346,8.189195649,8.467607336,7.306197596,7.53633677
"rimL",9.080750796,8.259064514,8.490291994,9.080301401,9.892143349,9.494193372,10.09673952,10.45832055,10.59276672,9.891104741,9.740939695,9.583302176,9.109003532,9.738892847,9.175595535,9.324731249,8.487740841,8.654255927
"ydcK",8.04892254,7.578666925,7.529078349,7.866218223,8.500419514,8.061118338,9.102011381,9.971662343,10.13546909,8.886355003,8.885593885,9.239654105,7.726858063,7.702497079,7.223044355,8.063790331,7.585067143,7.854085844
"tehA",8.66820883,9.011255828,8.896346437,8.395405335,9.164207402,9.28763367,8.762023194,9.64437193,8.860483518,8.096746142,9.028130175,8.175517442,7.52177126,9.616710065,9.366646073,8.601693202,9.196836578,9.154243028
"tehB",9.049780237,9.15317741,7.811795149,8.828656769,8.592148939,8.427319195,9.290174211,9.377377551,8.649171746,9.30427256,9.325777636,8.167012703,8.02357611,9.657118869,10.06914167,7.452595482,9.829228526,9.341896713
"ydcL",10.38349444,10.2104836,10.39676474,10.23845911,8.892619569,10.39866403,10.04926727,9.357001325,9.577508163,9.920285179,9.743385513,10.48217142,8.3039483,9.684091112,9.433323558,9.898254867,9.584182754,10.03568835
"sutR",8.395032088,7.864829839,8.440281615,8.687729667,8.654675209,8.302021098,8.94690552,8.853316838,8.585892555,9.409904733,9.506548586,8.787887829,8.749934977,8.80115762,8.752627441,9.310201749,8.6085428,9.217108265
"ydcO",8.401139698,9.483388418,10.57746626,8.090056152,9.064653864,9.038180273,7.838130241,8.52040881,7.921083271,8.486133477,8.55994187,9.273598751,8.22027438,9.158856306,9.178374613,8.33409622,9.058499446,9.375748279
"rlhA",7.806236697,7.258771742,7.022765486,7.996453402,8.030742195,7.694943989,7.852502443,7.947151074,7.983625926,7.99861094,8.250905303,7.875032421,7.809274428,8.210665151,7.82691636,8.690074619,7.828502738,8.006830838
"yncJ",7.635958992,7.442580309,6.788540375,7.495764011,6.867058694,7.258743221,7.500479821,7.549645864,7.233842109,7.194977244,7.193319853,7.393214977,6.904164645,6.948322,8.063984164,7.167430292,8.147805637,8.869850786
"hicB",8.555283359,8.065001022,8.242489145,8.693758776,8.237281928,8.313704279,8.888927469,8.566704305,8.289137146,9.18998216,9.027551649,9.370915009,7.434740241,8.549621801,8.362548793,8.756947178,7.946244832,8.338023967
"ydcR",8.954978299,8.433034423,8.810179751,8.871667722,9.021465218,8.840261228,8.952730609,8.868017628,8.620416667,9.613639242,9.530924389,9.13046498,8.481912581,8.58878398,8.890048961,9.276696922,8.292819964,8.964880178
"ydcS",8.084294882,8.113282589,7.985336641,7.878917801,7.676076995,7.890805483,7.697262587,7.875557744,7.602522736,6.929044225,7.206261328,7.342843965,6.932959902,7.390880482,7.37379492,7.748344047,7.472061803,7.596657553
"ydcU",8.77609845,8.360370321,7.318036836,8.529973097,8.373029575,8.518354406,8.545983285,7.941980945,8.688867475,8.245706376,8.009837528,8.480400048,7.780489623,7.998082926,7.812457504,8.227142134,7.913366453,7.101394952
"ydcV",8.249077889,8.089847385,7.966754203,7.734668234,6.803352613,6.897207974,8.333395317,7.280954726,7.605361745,7.520232862,6.730427963,7.356897008,6.999514356,7.279997888,7.296662298,7.423478326,7.036580377,6.736434029
"patD",7.804987656,7.718102346,7.742984974,7.964806571,8.043556551,7.610722846,8.278171711,8.066797046,7.950993837,8.197067978,7.629245761,7.811967351,7.873560382,8.0396209,7.787476938,7.923755218,7.556291061,7.19320328
"ortT",7.986782313,8.126331033,8.13415571,8.109824872,8.296009992,7.672137386,8.180916627,8.141623718,8.069463371,8.506873707,7.765813232,8.296248412,7.778621906,8.014069795,7.351568111,8.195838045,7.530169298,6.980129948
