"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"ribE",1154117,752803,1002597,428664,1642156,1019679,1379133,1025200,1072698,996197,1227288,302383,1627822,601064,1079036,419288,1932553,1172099,651683,766623,886808,556709,1234113,1212380,886698,1034363,474800,657370,1500864,789012,831597,1049448,534103,389306
"ybbW",240973,49530,158635,51018,163393,63570,135264,48990,144913,51718,88555,19949,81736,37235,100012,28429,210671,78326,192514,71588,170665,37959,163293,51247,103092,49010,74510,27250,114548,39280,124098,56078,101335,35389
"citG",239283,64105,134210,45636,131364,34343,100300,29494,151100,52981,47156,15037,148705,79734,94239,39036,183932,60501,164723,53188,136903,39922,127697,40372,73318,39469,98393,56507,92711,48795,97372,62516,118302,41006
"gltA",4536352,2151888,3025568,2458366,3798999,2906194,4059083,3732249,2634609,3334396,4011797,1056065,4717083,2036230,2951367,1908982,4466808,3480610,3438185,3338055,4003824,3744919,4197810,4009788,3086659,3376110,822850,1322929,4608243,1953288,2352425,1958575,682448,716128
"ybjJ",189788,69718,139053,52671,165817,80791,137339,63997,150701,60444,77687,28113,138916,79091,83660,41649,259641,107870,213974,114228,148120,70472,174983,164201,133553,77939,162104,135858,326513,144652,246572,149580,206082,140831
"ycbU",222324,91825,270511,149663,129488,88991,97496,73569,173171,109469,73790,26533,119852,63666,64512,39094,501394,263759,245624,203865,306791,197619,114119,77477,120510,145991,237196,224742,593553,346822,334369,296268,646258,489351
"csgC",131686,42640,121238,32742,93353,43323,67181,34869,101993,30566,42478,17166,56475,28420,65136,13928,118877,60217,154350,59400,111956,31579,130746,35302,66744,31763,71249,21798,63589,36789,71334,26054,77264,48826
"xisE",154296,57417,134233,77605,135558,77587,130559,81073,131615,54530,74667,28400,71303,49757,90032,29617,178091,71489,172789,84060,128677,49211,149332,72010,90237,75415,76666,60547,167260,77673,85742,57845,98891,54267
"ybjG",245075,134572,287307,95097,245019,281195,449599,163393,262904,235352,234064,42043,382163,129790,132551,240134,802849,105589,187664,79960,177075,110067,166059,316507,196819,72805,62130,79950,358600,72213,172244,308604,121445,40789
"elfA",136304,29949,64635,26884,66018,41145,51614,28970,73794,28969,33306,9514,41414,24080,47209,13675,132028,48719,105500,27592,77866,24820,94654,46820,46458,23932,30969,15248,95936,53689,73240,56103,41975,32061
"csgF",306244,125184,207259,77440,238861,25767,73514,122211,306958,58837,76865,64088,83339,118199,134665,22237,203322,348031,310115,222184,243844,254732,439898,32976,83577,226726,147558,51671,113536,283645,181784,70749,118700,187640
"ymfD",130814,31912,86714,35701,66826,22800,56245,20268,79550,52590,131412,54676,80046,30011,55417,31128,295594,257225,145354,49976,118652,76155,96264,32068,83617,60517,64109,59436,88655,51807,85531,73144,74529,50968
"yliI",220718,67871,154791,52492,162773,84926,201379,53120,151071,112667,93720,19095,113170,44414,98872,38722,240775,107182,230103,84323,148859,117694,155354,112054,141787,80297,125888,118169,220329,96351,124938,92748,125159,101257
"ssuB",159013,45233,124770,34729,91213,33896,77184,34167,118837,43000,100212,35800,63028,35144,72578,22393,211236,124189,152367,62409,104554,45514,116560,68448,82843,53608,81328,92486,127512,56035,68109,60241,94005,72456
"ycdX",374836,221773,346816,102489,473422,177061,370697,256921,449070,363689,211152,69196,276947,181150,238352,82927,604286,459603,335423,263011,267864,262878,345310,322634,251570,272983,192636,205005,425965,255612,342731,233046,191090,185269
"mnmA",515757,453460,699165,183449,849590,498405,704015,525488,912308,647307,538893,207708,601244,357095,348158,170507,1137421,551432,330936,311111,398999,282730,434002,638429,511973,363828,284054,442433,878370,388399,440273,323826,354407,325736
"pdeI",117785,32733,78852,19708,77800,18227,60933,38368,91599,54200,73631,16374,45996,13467,75926,21355,118737,51668,96393,40960,180898,31877,108514,58415,51374,31203,74058,61031,79950,46208,61748,33108,88900,38130
"ompF",2818005,2555865,4332095,4029754,4902381,1071144,735468,4494221,4301131,984405,367091,4229147,409824,4282716,3276750,122443,840547,5461690,6151035,5639975,5771849,5456435,3669960,1148300,649451,5783357,7211118,330432,518949,8270620,6160290,188111,217935,7299077
"phoQ",458776,275340,371963,170645,583606,282769,266631,341638,563003,204330,172796,114736,177934,197653,338857,67933,321038,282360,309928,181792,311386,239475,419930,258709,192652,263464,265015,158492,187231,194031,329070,105353,68366,98590
"gsiA",740572,144165,200464,291017,577432,276788,394506,510537,438619,766882,563118,95240,629673,186527,306490,112141,536436,325995,252279,233265,352235,192930,860189,441995,293668,620976,212019,143104,557756,484749,301046,408592,173051,92656
"ldtD",314797,212855,241218,146425,222784,462386,489503,190626,300835,399994,404407,79579,583941,172074,183566,216926,746256,239929,342827,202484,208426,205808,240995,567864,286204,150870,102415,189405,487742,166554,181026,311707,199497,123361
"pgaA",278720,79488,143340,77624,146781,25549,49093,109146,226085,28997,54856,80516,38630,131197,216428,13039,139469,273466,543725,353650,381203,286801,553255,56682,56839,322267,449841,26998,81505,448302,521392,26365,61230,466667
"potB",287525,413314,602960,135163,697443,629586,524438,564542,801291,704731,556988,173409,788165,399195,295528,168768,676549,369400,214831,204167,251218,127497,310423,541831,361943,182274,73514,120707,422324,108781,189104,167744,147590,103078
"ybiY",74359,28117,56532,22677,36507,25128,47656,25047,49858,20715,29713,11712,37491,30734,31997,19461,199846,113250,62784,32783,44496,18702,50433,31422,45907,32325,16143,17382,66156,44913,61545,65090,76510,67023
"cmoM",1376581,685750,1244908,666054,1525361,1056959,1193938,1210575,1356849,853679,850934,303044,1174080,684693,815089,447139,1556423,1024055,1099112,729571,1190283,901987,1774923,1379926,798217,1056210,318539,250699,1143222,776900,916761,607821,307181,344858
"phoH",551362,238724,378990,234093,440890,122950,165966,262479,354724,98437,109133,83349,235552,226777,394845,149949,619066,513188,597210,397690,571040,446138,698172,277011,193202,401204,463036,317508,595026,480376,783263,340836,566952,704395
"ycfZ",77541,43844,68096,15912,71859,29231,41778,19166,67098,30065,30703,10787,36442,17273,37750,15153,107577,26968,107126,62618,80023,27939,63800,31362,87697,57854,14085,12514,51716,24599,34552,19068,55919,32485
"tdk",118768,60149,146404,33295,115283,97022,399295,99644,309470,371985,164817,37493,224685,79123,90036,40702,350027,259696,160476,90200,112516,97824,136524,168096,185824,55088,76613,206953,361378,106823,139725,101927,95445,118588
"abgB",122816,29060,82782,28917,81047,16926,67748,22829,77649,24911,48846,15443,51235,14797,46971,13833,128076,41926,141671,40358,88625,30651,124598,28732,64451,26962,73930,82988,85022,41490,56530,26633,80186,51184
"sutR",177523,122650,169569,99270,144330,63615,171269,105977,194863,138278,82437,49494,86217,45048,216639,114878,355008,304402,154952,80144,157627,122811,123360,92738,101632,90227,59098,78033,129369,106930,99802,97492,71558,94671
"marR",265832,153552,283155,82600,263145,559738,1158230,129807,424699,1216146,615140,77494,876432,139797,145327,55514,411000,375695,242300,118768,160664,120238,245784,1215341,541263,116154,80736,601288,960953,152903,165671,127864,109582,111388
"rssA",725427,412901,594006,296874,613024,317737,582138,392119,682025,283885,181781,127043,243818,286315,373757,94997,669124,942331,588359,495442,452018,614189,687171,431704,224816,365882,166125,154722,320035,317709,339066,126779,123269,248447
"uspE",337917,109388,233079,137408,219292,103094,195364,116722,236793,146753,186995,68755,131237,83065,226370,78651,569637,392643,569888,280558,410060,539986,440898,242567,222053,371633,181117,124468,252909,292362,194550,183279,188391,162734
"tehB",456460,248307,329857,149967,414022,173656,235250,231740,383507,182300,203524,86703,233831,173547,273485,56031,411594,340953,336886,212308,297073,221416,443098,241869,194423,249252,129587,115719,233101,204160,185331,81578,114523,120009
"yneJ",90516,42588,82236,31873,73338,37411,54383,25788,83940,48873,191239,63746,29198,18843,45812,15844,147947,50197,116382,44099,87601,35398,103750,43128,58699,27880,47348,46398,51853,23581,51806,30872,54191,30865
"purU",433905,597105,696249,196540,973076,770422,714765,758552,946978,933689,619725,250388,798258,515203,600715,211108,1002621,722636,360926,415325,472764,369047,520398,900407,451497,317184,130238,205554,521703,215719,399516,239318,152446,152278
"pgrR",201079,89550,155743,53145,151251,122092,145727,67959,153944,86181,49368,22801,80364,54626,96263,24966,178995,102839,126394,55334,117902,81819,147159,70561,108339,70043,49321,26693,74194,56010,90612,41812,54131,31737
