"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"phoA",408194,100807,571641,198997,289214,56334,255184,92768,328722,83773,196387,41610,173457,91167,251145,51165,467473,202568,300092,70928,273618,50930,614938,186035,177590,85925,153370,70205,268058,104619,146693,49424,170342,75120
"ilvI",1297420,350624,1293278,499680,1642975,389201,853470,498405,915296,452886,1108408,216709,748281,289018,1202275,295711,2270441,865729,777391,310340,1050805,208024,2835260,990583,843513,430753,1852163,837134,2291271,1071834,876299,500315,1169334,479904
"pyrH",1103201,187768,873197,209308,1686538,211174,754785,212416,872275,678644,1841442,193733,2434692,268752,1415831,421169,4540938,1065822,901654,431793,1056178,136295,2409392,414566,1026073,677290,538195,233872,1243330,620589,906464,712216,1531432,586031
"yagN",1754435,459679,1312619,290695,1595791,557876,1520299,145055,1755353,818911,1306378,349270,1481206,395544,1356426,503944,3597112,1320787,1446596,550297,1403974,350442,2224628,389457,1070565,850118,690015,338843,1108020,991812,668272,483661,685995,436706
"yaiY",323525,55479,143682,33745,149367,32586,77386,18299,113925,60228,173727,17100,184486,19239,131187,54139,508980,72628,224585,46844,204613,55190,255229,33309,160103,56422,38672,22850,138781,57751,124546,94357,218147,52314
"leuB",5969179,2494173,4864839,1457002,5770618,786872,2884021,585571,5307931,2849858,5205971,917945,4554932,842043,4995130,837915,5024259,5073047,3750730,2455875,5303737,762276,5190741,1738335,4658060,2517318,4189350,2414173,8313936,2911342,3362509,1775375,3711837,1562802
"glnD",580589,120318,269147,70353,438832,53394,218622,34316,424864,172795,150688,19664,340688,57049,364453,89754,1167790,350127,315391,110852,415554,72634,471788,75418,289346,170842,275683,131113,424972,250852,256481,172904,364639,147057
"yagJ",259330,45892,108031,27227,152967,29952,118140,15721,199046,40216,54780,9367,87436,13204,120634,18147,302274,81565,219522,33608,168453,30037,212745,34717,140036,53568,99901,42729,149761,45946,92006,44459,120834,36832
"iprA",201321,87094,176432,69623,100543,31500,52166,10694,142710,35873,52278,10446,65216,12686,74922,23972,280497,44268,162820,26332,136674,24239,138850,17640,115653,40179,91694,43371,131971,45086,95311,39647,109191,55512
"sgrR",371490,83514,198305,28196,317516,42440,101724,15237,252307,76403,57701,9419,153093,23104,237512,55585,530911,147886,255723,46394,208334,38191,233714,32758,174823,55644,134805,53484,169876,49143,164954,69896,178907,22547
"yaeI",266963,50981,346041,203341,146378,52872,359729,176584,429115,167760,75700,13518,142280,41107,132555,36524,418027,102974,209333,30554,129418,18942,185510,25466,105805,42685,146611,60299,193437,56886,887230,376648,550414,238486
"yagG",128835,27368,96046,23462,18927,10210,90796,87743,115978,27584,55621,11667,1582136,265771,71776,20838,175181,27936,131936,37153,124120,26808,109007,14417,70527,26655,66452,45055,47157,14996,40408,16042,44564,27858
"yabI",318373,50127,143665,36391,180781,174281,313857,43357,167046,166325,336251,22398,2170321,716035,150970,71536,579915,74404,276218,59717,253311,80750,299192,133994,554512,98277,257652,244065,655253,106043,216260,228813,467058,137379
"dgt",276937,92341,212230,41097,287666,115081,196929,70823,234276,93523,164764,34680,1190310,304694,213707,57432,428617,142805,192438,65074,188996,35293,271225,67395,143213,64325,105245,61117,164499,68361,123714,70557,125133,91695
"yagB",445637,157951,361804,59333,536386,200423,437591,132263,506361,142045,269141,74506,547503,294120,394384,91545,668862,246581,339156,107114,376617,97790,462722,85032,311126,133955,230154,136284,314697,155907,213404,95308,195293,168528
"tauA",203658,50136,142393,29558,187691,73984,155199,34925,167588,61684,163012,28175,1067826,55946,134171,22192,283014,83982,253163,42495,179327,32615,184924,46309,157734,46694,70452,39396,126723,33898,49878,20934,90006,51370
"cueR",1106654,276442,696553,170631,820546,409324,817287,133759,770521,276089,709942,116266,739114,226005,639730,196457,1431625,412654,899353,269994,846387,226778,1038641,357235,857284,322434,649645,396084,1213671,395421,726136,391025,845463,490471
"fepE",276070,35825,193662,36144,192899,61710,170863,50442,174591,26990,98636,17680,67524,17212,158227,43088,335323,63033,296132,37450,229806,21591,191049,24978,161130,27339,138002,52983,101671,20510,96530,29463,162796,37355
"ybfG",169397,29814,117270,18074,107485,28343,124067,17676,127473,24838,110899,14170,77265,11504,107143,16899,266414,48213,200044,37734,163735,23748,190748,31268,140924,22359,84727,33152,116583,29727,66231,19453,127660,41224
"ybiA",677721,187290,704721,188210,708928,211424,561814,137242,734746,267383,466847,119002,400845,129695,630944,121438,1190204,340209,793907,205402,802168,175421,776353,197004,348489,239659,648793,242189,536310,324788,393275,163858,332418,176012
"ybaQ",529198,123810,505483,75766,590464,116242,431739,61258,609919,132312,279943,87679,277177,86090,555174,99483,1011154,366874,537968,109952,634175,119129,581523,119334,329404,215119,408437,139472,374364,266279,428919,167528,352596,263240
"entD",209371,25856,124434,24138,111929,23333,90455,14792,156091,21786,70776,15929,56490,14659,224203,34124,331251,60166,197849,29148,180349,22736,179907,26009,97495,25037,216214,47596,111959,62347,177231,31242,103555,42305
"seqA",3230291,898942,1705345,365458,2089147,605475,2099603,113839,2100632,1152669,1669596,347307,1895038,350341,1237067,330104,4269326,1381816,1594021,453635,1241243,342806,2246975,420554,1273874,867696,506721,288356,1819993,1038098,845581,503709,1036898,617973
"ybhF",394420,82502,210951,37012,237775,45007,192769,27229,291089,66641,193040,40363,125811,31357,236115,48593,553694,133246,282500,44479,254461,37371,339680,61023,207450,58803,188370,69418,337307,125375,159656,51950,232132,103573
"fsr",389387,115563,168486,27231,304087,43595,136029,24443,289507,41734,104005,32715,75568,29098,180975,21573,245297,108366,219354,36688,205515,34379,244413,27772,124496,65989,82739,33580,124878,78726,148537,28340,90633,60709
"nfsB",1824748,437056,647080,116694,1852546,243490,921429,107226,1889122,801825,321451,48195,2053760,300601,1177730,375016,3229633,932287,927563,200428,781538,183343,1328587,218260,668257,306258,801517,264841,1885140,761160,833303,370701,810841,384942
"fur",4514984,1641101,2681212,585669,3635708,716951,2968903,271165,4021555,1462629,65795,15409,3547600,772381,3995378,1248631,6346063,3642714,3842414,991177,3448669,994970,3630396,570007,3001618,1707984,2199281,1148684,4859312,1824718,3128421,1603795,3250262,1676362
"ybhP",334885,88117,201076,36375,147502,24925,184305,22601,250184,38059,42956,10210,69089,34222,174860,19533,314542,129027,283034,54505,191646,60940,165123,18924,120227,50021,114490,56162,132769,47523,197714,37852,84802,51761
"hemH",331689,98716,240550,52754,376009,209110,213046,80836,297748,87270,165999,49586,437456,60184,218533,47942,436976,164528,349196,61109,286352,72472,324985,127727,206385,146431,286074,158162,257275,150406,223180,73066,172252,144581
"cusB",126881,31629,82212,25637,57230,221384,275447,23420,120975,1806101,3195735,21685,252941,16225,122591,1253604,3669960,88074,131569,19798,119424,24650,111422,191120,499129,28400,90313,741644,2144274,33657,104879,2270321,4153398,75624
"nagB",468907,88834,273039,94422,175677,40380,217654,146842,317444,98050,164807,50225,2743019,232956,250226,53999,383317,144355,335266,69951,330052,93851,376966,54684,187307,137692,134943,65874,179632,93898,218303,47309,110267,99942
"ybhL",1381366,250533,647206,215369,1267755,388305,799129,338791,792414,282987,513095,128596,2291415,566822,703244,182609,1291900,443332,1025397,232546,792216,353684,1031215,210353,591994,272745,527479,250573,630426,380550,547039,251051,451138,349616
"ybaB",2175793,578470,1582572,527379,2593398,811147,1457557,861669,2035520,1223398,2393029,315786,801715,198320,1733448,598908,4134949,1095441,1167414,580706,2336214,500124,4133048,1467314,2185222,753802,1820506,1124813,3464784,996739,1929636,1436890,3058422,1264168
"cusS",218116,54267,144717,20863,164078,83741,227775,25512,211090,511542,841787,21783,1999171,88543,120614,319162,3001634,92483,157067,41624,161141,30422,168517,85448,305578,52903,104056,200016,550443,37215,79619,409353,814159,42433
"asnB",579487,141239,423224,81823,745119,147608,314960,101915,490666,173772,387800,61825,957108,256759,430127,106898,821856,260728,353977,78332,417805,87889,544138,117102,430596,141066,330356,127628,506713,175943,397363,181315,362040,176265
"moaA",752721,300016,807254,127659,1056854,946048,1913219,185409,769813,633999,1449189,147749,476009,88495,552425,177509,1549777,398929,528130,175666,452377,129076,595313,491263,1417052,192849,272870,463710,1485607,184017,322138,160911,346052,168814
"priC",404832,96635,368524,59983,379239,116556,285263,60465,326964,106400,342959,68635,392057,126418,373921,84104,899835,281536,506319,122208,458736,93105,552198,142525,385165,135050,266584,112127,418049,144050,256921,107478,427597,177646
"envY",199328,29986,161726,25008,164466,47062,155666,24964,163513,36799,152276,22878,128171,23072,123787,36627,509618,50726,230007,40758,170751,29075,191368,52288,146313,45621,180830,65583,155759,41323,113372,45230,177801,41315
"ubiF",602554,148092,1605261,519550,946293,307399,658016,230785,765344,252730,414980,98435,322088,112704,441697,80790,1029141,320489,435941,80558,548801,140511,684474,254027,433316,153107,1170216,431569,589659,203540,527468,151385,371137,208997
"bioC",648208,83961,217512,50998,446268,60984,226500,40828,254092,170479,692559,41268,779926,46910,463478,194318,2422628,356391,292894,98116,381037,41146,646143,125842,376880,158264,423219,172732,597316,175659,324811,456845,1148965,176885
"ycaC",1892135,507533,1153148,238521,1559672,209757,653107,86020,1261135,261978,560456,227304,642170,243527,536502,62338,1105908,585495,1229639,256086,996684,342150,1321926,246055,655939,410260,514701,136170,664779,601935,929477,114435,339047,565035
"torT",292045,37121,198831,32012,178616,39264,182882,54587,220577,48108,137322,21104,116211,26319,171699,23734,410533,83077,313999,64251,284084,55902,251513,33662,188466,57284,110437,30689,216325,87876,137220,33890,152286,51912
"acpP",6164852,4747959,4944594,1782238,5948995,2663475,4929541,787631,6205365,4357115,6033844,2375693,5518372,2928682,6394602,2408894,5504930,6364471,6607993,3322989,6586135,2393740,5092878,1566900,6418239,4443983,7417586,3092035,1e+07,5583525,9486663,4291679,11200000,5733926
"ldcA",327968,118836,158563,21002,270691,61923,221386,20352,331245,92453,204578,53218,171912,36938,230335,52633,634637,179068,247245,49407,249392,50247,334154,69139,191555,79539,80296,37483,255961,117402,275916,98823,249098,149995
"serS",335088,93214,296305,69196,288341,42100,246021,67534,293951,116616,165682,20107,195358,40049,185908,49495,608338,169178,335892,52936,262959,42286,339506,46281,263929,88671,182899,95501,347249,99838,397940,163786,348935,148253
"cspG",277651,33626,130855,24530,128527,22202,141083,12858,173492,20389,106215,30165,64838,20620,121573,16070,300996,77859,275391,28093,173223,21903,206005,18360,150240,39327,123306,39471,78186,56197,125778,27591,99897,44012
"plsX",2686392,780306,1811005,611762,3165644,1365454,1494984,938991,2238516,1289752,2326820,326314,251211,41573,2336842,636240,4154610,1334637,1525172,629683,2216103,514827,3416267,965182,1805255,1399531,1186074,802774,2335743,823811,1289422,1062836,2036776,908492
"ycgB",1421967,222866,478920,218521,558031,344086,410499,148935,495918,50446,123459,73994,140470,35190,621088,85712,362549,263437,1390112,203641,777932,568417,758738,88849,196547,381252,471837,83286,225012,277720,482577,46068,117685,277464
"lrp",980526,188185,414291,114659,1091673,352793,433608,274015,567314,242135,500936,104581,1966809,594965,1216756,184127,2090747,896537,785433,201704,1008333,299601,1284216,227279,719505,466887,528554,248687,790916,376884,708586,169270,415864,445297
"gfcC",264726,55103,168439,29007,174376,63502,154285,43657,170012,35729,81303,18191,256341,137630,162837,41934,244794,82395,196673,28384,173830,30000,178391,36428,110335,23932,152271,82341,110664,41528,93148,31550,106480,53764
"rluC",764555,335171,936237,190508,1278549,664617,1418283,410073,1725023,360658,674330,241304,331880,161123,734605,167251,1336056,496361,681607,199373,881306,211898,1187428,477414,977809,265188,843475,521412,1411132,485983,1164691,343124,781748,735841
"umuC",268993,78324,186160,44924,208520,81426,174594,49232,243312,49274,101714,29386,241682,124101,178944,31279,297658,87178,237512,31881,228366,48184,238850,46838,115071,53549,117051,44727,111233,66184,73746,29337,89225,51009
"aat",322253,66282,210407,38008,127519,36179,195282,37364,221109,84520,187564,28554,1626545,358556,187401,50586,456515,128248,282706,51873,292767,88643,366991,62019,188797,91393,171549,89530,236434,96622,163610,92395,211657,90117
"etk",221818,34440,147049,23792,151138,30021,92375,21889,132828,20862,82325,18056,669148,127499,131973,18848,228771,82182,237528,38574,240244,66948,213892,30876,104867,40968,105690,22103,83221,63964,102453,21559,102677,58730
"flgK",282435,35593,162198,34418,98494,22360,91317,20925,169732,35518,132908,40309,265143,30827,236420,36400,340442,112601,390956,75448,233215,53260,445496,54307,180879,89798,142118,23979,175563,149199,183330,39415,143302,145126
"ycgM",538116,138167,652100,110959,900225,139006,535434,111348,660504,188549,389397,104302,444131,141338,531523,91036,955629,375472,781603,211361,711155,208342,738714,161419,426878,217724,382146,135548,496513,264316,563949,151792,370799,230482
"cspD",4975373,2080020,4939756,1842033,5041633,1783411,4344495,1060656,3211215,2033119,3011827,900017,3667016,1342756,4383576,631461,3407820,3262526,5550182,2274001,5157297,3063708,4266722,1321944,3652359,2817782,3859964,1082934,3628585,2979246,3628892,983858,1810424,1694172
"hyaF",197385,37596,126227,22873,127111,21485,83622,13995,160790,35249,85176,14226,72923,14938,121553,22723,258508,48865,181806,23956,136240,20875,175756,33961,102916,27540,136511,50401,74841,30186,89508,32113,116461,24548
"flgG",254402,39343,143504,35954,139497,32469,105229,19778,240606,36024,90795,19928,95389,19220,89386,17589,301007,91255,280703,50541,183407,35201,253109,53459,222215,96465,129661,57926,144397,56551,112914,29099,142010,61722
"minC",7161415,2096581,3662710,854514,4693197,1021648,3378972,392248,4662409,1546762,2899039,951975,3138732,832418,3685479,805685,7463899,3521117,3402858,977839,3272885,893082,5345258,1089893,2275987,2194830,2325229,959244,2877180,2331053,1844739,659325,1444797,1495893
"ybjD",318788,36505,161913,30474,230414,40906,143187,23872,329955,98953,128762,22535,97897,21939,246881,71965,423886,115672,314628,57664,254095,61972,198434,19847,152529,65670,227623,66922,132992,65327,107816,28191,172134,43621
"hyaB",257705,50865,158388,47596,140739,40683,54491,11174,189752,36300,98829,18900,75956,19362,138853,19273,339072,105561,244621,24280,190278,32922,158092,27514,125546,34862,237726,78324,137410,60559,164263,45478,147605,62224
"flgC",248151,41418,151074,27699,147298,24478,122919,21013,193126,34760,103913,11970,93099,12747,183856,21717,374468,76545,244724,23429,203132,19663,177778,31114,196857,29418,135202,77059,185441,35142,127560,33244,163608,40530
"ymgD",276792,65888,168804,29947,201928,50443,236790,23292,284248,335493,343236,21392,521362,18662,131030,32061,459193,96187,195416,24910,170076,32494,141484,30057,185417,36021,134291,101017,202562,37799,122407,84517,162519,38198
"fabI",558749,191265,752250,192773,1063204,490219,535034,323139,737105,395501,587165,108662,446342,143149,577322,169405,926974,281319,622679,197290,697368,201690,817515,274192,695634,435296,336484,237678,709960,237238,572329,263011,546148,338224
"paaZ",465373,142999,527513,287004,902050,533468,358640,410662,663325,239586,599940,116568,257130,131543,509664,159616,1000682,516143,418473,158163,392863,132626,1597283,886694,371839,175304,440045,278677,843977,312222,435433,207514,2110778,1138700
"ddpB",286236,64454,182497,32549,241583,85545,154721,40137,222612,30145,83013,26801,281799,149284,134608,18323,250825,53301,302960,30575,241668,57321,204099,36312,144929,52765,106632,36463,115215,36323,146276,30353,97749,56153
"ynfG",247887,37701,159990,57620,169476,38801,127433,30887,174587,44024,133487,26597,946008,449257,224444,54271,333597,85946,230098,24158,175797,34963,229039,52428,132905,38421,96642,43997,144464,70564,72262,29603,89757,38983
"yciT",396458,128804,241431,43676,314503,126200,267969,81370,286853,111483,226098,77977,162526,72614,252699,64889,448692,171642,442681,91588,265112,76013,441536,80232,249993,142653,161968,82754,292639,256322,219743,64943,177798,246810
"ydbL",620451,161663,610617,307547,1045066,515852,270897,162179,529793,219320,519207,107486,445713,226589,484309,116901,965286,703041,423611,174368,425148,129120,1659734,641828,334452,176295,1153875,545738,1805612,843066,279992,178500,674919,443882
"osmC",1154516,249984,705210,182174,1050462,272221,568008,180122,682302,155338,388684,130455,923961,566613,594144,73353,721165,363212,1027713,233455,843376,304100,981585,160509,476416,252837,461314,118953,428045,313214,597747,97471,246558,348278
"ynfC",548442,142445,377990,71168,489622,159915,395435,91480,383739,77958,203063,66883,145642,171832,420480,94480,593355,240195,479445,108380,483466,151685,443457,87846,263113,132457,178203,77552,235113,127538,226994,74361,174749,111429
"lapB",576052,163651,851241,306835,778212,306579,352292,121426,524451,218370,569463,91091,600438,160264,901449,233992,1134961,528470,616241,172973,466831,168764,946147,383117,465623,164973,442907,153693,2373147,918287,432490,160785,691650,378695
"hslJ",241800,40532,265748,83283,282905,130698,371640,40760,299661,143245,287573,41378,198341,53384,273425,74729,735555,187902,384938,62979,361260,98267,365659,131395,316414,99513,160020,91774,331461,93733,193991,116643,249583,65746
"adhP",1228397,216603,939333,194434,1495761,233810,724619,143356,791532,194411,536572,144841,226402,71119,548117,76219,784947,474441,962637,110499,1133157,401190,1456715,250646,560597,354494,597811,118700,557692,377815,711470,85823,230973,354645
"rspA",191970,22475,133935,34591,117577,20030,81832,17417,149119,45860,87157,9783,77652,12103,168276,37951,217109,44163,173037,28884,159663,25979,196289,37399,92148,22213,140312,76674,77560,14605,54565,24542,94696,32967
"acnA",2309475,586758,1447591,295856,2001264,348014,1263535,142160,1456268,305977,507350,179637,397599,164709,445067,50036,1338228,656336,1060126,186519,1184659,367704,1576208,326406,809383,435551,1108383,333370,908672,539916,905321,142553,366339,305795
"ynaE",817434,277302,388746,68549,492451,109106,540563,34012,574362,172751,654401,232184,657011,179302,567660,104406,1136583,521227,1182233,260017,574472,157889,1124498,202298,504905,409436,222547,79730,472864,504657,259029,67730,225426,352190
"yddG",311975,141513,592886,196163,441530,136945,323689,43197,604146,149714,173388,57621,146346,71581,219257,40982,488900,222720,288291,53258,185763,43735,160342,33843,157409,62081,217224,105406,397217,147876,227680,70141,130279,118445
"ydfE",262532,46127,202771,43185,148836,31065,120265,17794,199471,43428,98789,15551,80511,16836,126390,22505,353948,82661,244149,32241,164730,38392,142916,13913,118179,35216,117924,31744,182198,65702,112210,25841,180432,69599
"sohB",788273,302241,961234,273754,643661,110723,294003,90817,707311,229364,265385,42413,604461,152674,388014,85748,1570367,393740,547151,108106,449740,86113,703139,94699,442300,150447,832127,344152,1218184,310222,1349961,455468,1551056,659858
"narU",135960,33226,93678,21617,53647,27023,108239,22462,70480,28797,51541,12424,11979,6696,51805,12598,164802,41850,172564,25279,122283,32487,108257,27758,77850,31120,120356,81096,77561,22347,57282,13569,52255,30057
"dicC",213770,36956,119073,21014,118624,22844,103172,29860,129272,35632,72842,14643,29547,11773,88451,12922,235754,42716,204921,22492,154671,43747,162989,23275,89752,34915,71130,37531,76642,28642,81693,47311,47620,11736
"yciQ",166300,25602,117795,20575,117889,15386,205294,106723,110016,18166,52167,9405,120355,18503,68483,14286,200182,33955,166548,14881,120656,23659,111556,13594,128514,53746,82589,41368,74276,26797,73324,28733,74310,28366
"narV",209285,26632,130279,17299,113098,20166,115697,26775,116452,23458,74071,11708,38351,18250,73004,12295,239141,42766,172760,15802,119224,16276,129049,15753,87574,13138,99450,64273,92716,28058,71958,20923,120942,63580
"ydfV",177231,29432,100197,17211,126555,39951,69480,18051,111305,26534,70059,11307,18856,10712,75107,9723,196639,47651,193777,26867,138300,26194,131598,19300,87178,18414,60002,33764,82131,56200,68246,27916,95057,33310
"ydiJ",1132114,148001,416070,186141,1048373,146373,302547,219081,455825,212593,569205,75775,1205055,100163,608476,127731,1200333,437755,632826,217298,741569,146412,1226822,264487,551416,349953,880247,292711,1167314,643352,853777,535305,1195012,500379
"yeaE",418852,111689,363796,55792,454869,127033,354000,85479,329835,81980,239463,48392,873956,73147,356233,70578,643007,186982,464232,116703,485170,86864,445715,112934,311780,122559,259960,106239,398325,142505,342186,129600,283871,100420
"cheY",365002,60085,268782,38838,247378,32562,172859,25910,284755,56384,162567,31790,322726,48354,205868,27374,469078,112591,366207,54884,314502,53335,324005,63620,219430,61631,221565,59292,261956,99718,273937,64366,339031,110248
"ldtA",271653,44618,237644,37235,99333,32082,183125,42341,266039,84102,166526,32928,1235869,423107,689395,172577,492793,145872,408369,90831,307367,84538,330367,89590,205686,93971,212663,84722,235862,110129,216357,72821,229468,109304
"sufB",813047,186752,656491,111868,739907,119795,445004,117594,526076,79589,165060,69240,369636,228720,483446,141640,1598307,363343,519534,72311,555938,167828,569374,108577,296803,153781,277704,60292,253141,178630,342062,111985,356845,215691
"yeaC",3145680,1887354,3995221,1277463,4065564,684789,2790837,565807,4115104,1129447,1662857,623338,2004399,2685012,4023237,810023,3801030,3974354,4236231,1673255,4781373,1608982,4142615,1122120,1496838,2101930,3398994,866964,2917717,3291193,2857400,1091621,2347822,1820985
"flhE",350512,84697,475052,179081,236013,43268,263870,55572,314946,130053,481834,85944,2047489,856173,279701,75247,1130016,358665,374971,89369,261218,53856,858572,251268,470097,155739,547545,288439,1457211,447904,939209,570859,2153775,810017
"yeeN",333267,85580,342082,108195,298367,28917,221707,51015,378448,160284,237122,34851,337627,78238,279530,65121,632515,241161,251496,62425,257459,39578,812420,310418,225025,90439,200486,67532,344757,153785,196220,52019,249991,125933
"sufE",471568,93611,212670,33355,467726,51107,192312,25893,412927,83251,177413,50447,138350,39327,355497,90261,1014228,259471,354184,63216,388649,84168,376747,24796,190092,132686,297940,93953,273030,166879,232304,63409,324094,122941
"ydjI",364496,82801,174516,29043,226909,28863,106557,13695,269689,71775,116477,19843,105877,25135,201379,22973,357847,152619,313321,52430,233145,38644,296337,23659,150982,60054,305228,89553,149745,89435,210006,37915,129439,86046
"torY",332584,66536,212620,26078,217881,31185,165223,21532,267796,69562,122378,15524,176588,35932,178663,31423,486590,141102,297963,58375,341945,70530,303513,22879,181736,71673,125132,62674,338968,115941,145019,31265,120674,63519
"fumD",250030,45043,168774,45219,210861,70487,135669,43866,186590,40421,90783,17246,22782,13112,143195,14355,340323,77496,290844,36553,209980,44015,228303,47552,124472,81983,93231,46967,128228,54089,108946,29273,109710,70853
"ydjE",236836,37732,150570,36292,137228,31082,120154,27365,157392,31487,79775,15911,17224,8027,95098,16306,233323,51630,223110,27360,164782,39638,188358,36500,115793,59429,89236,25759,101940,75149,110319,25575,97428,57210
"yecN",2066405,617243,1311585,358989,2190067,1405450,1922476,607890,1703946,492925,951026,305812,323126,149745,1485391,394878,1959652,834297,1510090,428521,1304588,557473,1921326,484376,1113091,761539,791085,411459,1289262,777043,1029044,475191,642129,646754
"zinT",6103429,5299710,5729612,3969435,4194240,959406,1038915,4973776,4915125,277356,388447,5105185,48794,29155,4652985,46413,428890,6376548,5797962,5161396,6523909,5567669,6267755,795908,1182208,6382682,8382900,153333,518754,9543133,9323349,47519,201941,10600000
"ydhX",464762,96184,254738,45761,311902,68437,193937,71241,410932,126443,174606,51716,61777,31363,239732,37598,441004,113263,415836,81040,328355,88256,369773,68222,207801,75347,209676,71500,294254,137247,306869,56555,209828,194998
"ydjA",2794951,778369,1621190,425473,2680210,989245,1779240,683322,2350738,568548,1237951,366130,123032,42697,2251983,631696,4345770,1341787,1622659,496676,1726545,449373,3079644,619099,1454567,793016,1413872,497649,1895059,1234288,1543275,838612,1383764,928760
"nudB",2697121,532135,1284462,406980,2135529,694778,1279746,458458,1292855,867624,1967533,282735,904962,228339,1568016,359968,2646882,916841,1504899,487472,1970727,487747,3050749,700785,1802081,966037,1542308,682755,2419615,1345690,1445558,1027715,1760131,886512
"hprR",360380,89905,340766,66699,349898,222026,478128,44225,360937,123775,266892,60407,587304,190291,247972,114246,896532,158789,392230,74066,344684,70247,401590,122896,325823,102751,182936,147249,459404,119078,243944,175479,356529,112111
"ydhR",3203999,767441,2973909,638272,4346922,1119553,2184667,358651,3710914,1215459,1641975,512924,22419,9413,2367976,389128,3551541,1520889,2631087,874453,3088882,852661,2417167,583480,1665155,1189060,1822501,562238,1950842,1427559,2229585,673104,1134526,879571
"gdhA",1228788,368320,2111881,797632,2569526,926256,2266606,782399,1944480,1087423,1959742,313084,2079975,500728,1402272,150873,1364640,1138778,1250204,445060,1559794,351491,3271202,1401270,2144656,628487,1365128,586393,2937856,1178574,1895709,284899,710784,856340
"ruvA",1001996,298859,789132,135237,898758,268733,874467,112300,835447,262856,634268,156247,488075,113428,655828,140089,1689991,553717,791191,197439,777994,205766,921837,346540,711483,253288,533936,270293,999319,405460,731266,296259,754660,498415
"gatA",3364750,3395958,4125605,2731861,3790540,2173683,3569531,1312424,5439517,4095789,5260680,3703316,5063872,4075928,4886234,2277105,6167773,5979846,6142570,5104801,6140796,5672127,4694432,3926140,5976046,6023426,8173081,7169238,9134133,8623345,9120597,3414867,8280774,9761626
"nuoC",2845281,933471,945524,271613,3248120,486346,1226306,191156,2853600,912703,1557296,464738,2175104,508757,3190332,508875,5169382,3434878,2907425,1021437,4386394,1059845,3411058,654079,2919638,2162163,1976286,756635,2619665,1763197,2155045,716436,1670293,1416253
"fryA",278099,32317,168982,28836,200241,17247,130898,16943,219234,28822,93509,10514,79042,12443,127154,18021,336250,49104,258218,29391,208439,23402,185735,15385,148006,37200,129299,41663,76516,27962,94629,21027,115487,53324
"yejK",927397,267457,631736,134917,830511,127046,640952,147103,1046853,342330,361401,81014,676009,125222,559810,142314,1865270,511871,665798,162031,864012,160346,645723,112236,653189,189068,752821,355923,1094180,223476,1005762,355033,711756,303782
"nuoH",1882343,417091,1149373,559106,1965305,977870,1073129,592426,983755,536331,933769,185654,537338,205015,1238005,242341,1424138,710820,1643297,579904,1682834,611432,1916564,625907,1310926,1287198,1429363,634786,1800895,853751,1329690,586318,880999,748048
"alaC",316910,120723,422907,93852,465955,345892,375534,143131,418144,136380,243925,61689,548410,183957,402670,101400,639460,196953,357278,84275,389198,106394,419493,135765,271469,176028,166621,104737,259037,103489,231405,81433,164274,146049
"bcr",263395,98070,256642,46422,331460,136155,220298,93855,311162,107809,168343,52427,109285,45214,213854,49316,376121,104101,278400,63349,239051,73594,238565,55176,183632,56857,77095,27873,139282,57875,139720,47618,101496,78482
"nuoL",1018793,213491,604976,135160,717574,179814,507036,183398,583272,211744,682655,87627,277251,103851,778803,107360,1019298,398929,1002088,234652,1045753,304190,1142101,203274,830916,308119,612695,299620,1311924,383888,1011167,241997,568700,504140
"yfdX",93814,18725,64066,19645,82533,35248,52022,25931,81391,27300,81550,11214,28727,16414,77591,18483,202065,43846,154817,25982,128176,21899,128047,40035,101439,23107,76999,57680,117183,37487,68661,44654,94745,65239
"yegP",1129424,259287,684812,159900,1061687,312140,619750,191714,804365,197287,408435,161278,803796,278553,554357,59436,454782,385119,823825,245359,947808,469602,1058932,194059,532465,358545,453518,97478,365623,336156,711023,64282,124253,402276
"yejB",244144,35078,174242,30645,189670,44503,100032,26612,184151,71990,113303,21486,73371,15202,151867,25056,247472,87790,177724,38199,188670,26481,226784,38194,166157,70598,61012,20263,105054,52999,110960,47887,160174,47099
"yfbO",385776,76575,514208,186759,444477,186355,257312,106699,362168,144006,242655,58289,759583,222424,338915,60109,512097,228961,380354,108446,296506,69522,651120,205383,251206,145475,198579,71022,1124435,578535,265079,109022,385816,299812
"yfdE",131371,23115,138747,24989,115371,24876,81547,21463,180717,27555,69200,12042,312222,37082,102321,18263,214026,47166,256025,43412,178228,38897,229046,31843,128167,37294,139043,47528,108918,45100,128303,27187,121968,33355
"mdtC",119927,23378,81429,21478,62760,17291,72582,11577,107384,48838,167150,11076,270119,33683,71432,25919,419008,37776,272425,69655,166899,23662,174725,26015,152604,27719,55439,48401,203330,27084,103435,85514,300250,54128
"lpxT",124697,26570,107215,15970,93166,28808,74571,13253,175394,34372,140957,21801,391243,34774,175947,31880,321830,83847,215318,31382,183234,34645,204444,49381,173842,41579,135532,48745,159481,47076,126131,39926,153428,61213
