"","0","7200","14400","21600","28800","0 | 1","7200 | 1","14400 | 1","21600 | 1","28800 | 1","0 | 2","7200 | 2","14400 | 2","21600 | 2","28800 | 2"
"minD",1523.02565653903,2070.54565675699,1678.93741821103,1575.2163657408,1685.70837679032,2309.99947753282,2483.88836551316,2144.33280921253,2024.66614397857,1785.44391395115,1382.77725212874,1549.22169016359,1277.21086014978,1375.07631187827,1276.96589592951
"ldtB",1319.16614153716,1724.02468967068,1539.45304613031,1423.7368978091,1465.11762622653,1485.33659021053,1914.08222367049,2016.81826000523,2043.85362087731,1892.4051804495,1508.33361965654,1746.70917995992,1632.367537356,1809.8996953252,1742.17669862418
"yffN",60.3179226117647,57.5279029550644,65.6484100703742,55.3677484031684,60.4806080982262,44.5182900304185,42.2158952855078,48.0539296734672,48.2583688948049,47.8887175200487,81.2682728123514,71.4589539939807,80.7420744867749,62.0108575679403,61.5785825117177
"yegH",612.055028495152,784.764984485261,625.52403845454,580.930992077807,601.76237574249,952.574382680835,600.895736327578,440.713468868246,374.346651891262,409.657289685145,520.692607471959,421.212985087738,226.555028452013,268.83280628035,260.903679813632
"cpxR",1956.24011947443,1662.44392116535,1646.37743638975,1704.33659391348,1608.92944851853,1746.07938882684,1688.65476161881,1476.30580519055,1591.33350942008,1493.75563484857,2059.6801189316,1804.42189285432,1666.27724567367,1578.06613168771,1603.85955537596
"sxy",123.683923925953,160.695165490367,130.651397485261,136.072322768369,110.014364307532,129.509800136651,156.362241377275,151.719298080516,146.789703470714,149.058800603756,176.791622236437,154.28171029647,168.647853610839,158.268191968266,153.705446700808
"truA",1281.7109336972,1522.22169329608,1473.96097254158,1444.15830484366,1373.80743300672,2367.58244599545,1925.57311672367,2135.68101935152,2076.8679423565,2033.70652489508,1436.63809359172,1458.84468453945,1282.17052173022,1419.58924090431,1289.65146753307
"trpA",378.378152800807,358.319898397188,367.118094384881,382.409614333633,410.62762816269,480.416750310151,407.257228931616,383.169210239898,339.786071123399,356.036609288831,458.450705040227,428.479758376082,392.418931208748,380.252387226492,351.147434844372
"nagK",495.555028512175,592.166025690646,507.399755856158,537.024477008381,540.471361790049,609.834851850412,555.820243657704,492.292223507499,459.555028413333,548.818781661145,512.777250642379,478.361855626383,392.318231902178,439.332806117557,403.679276076672
"suhB",854.250807991339,983.160044682331,895.948317473205,772.499472687342,653.8883615504,469.864409886979,622.610584118416,614.330053688635,671.777250586189,585.931439938423,772.770942936917,801.458729168201,774.741488031869,743.347817324762,693.046922207843
"yhfK",350.813402151434,312.185061342269,309.246292101261,336.777250598582,417.631705658941,232.911440570503,245.61058394712,213.29230294186,223.096041166871,226.113280129418,321.24756037996,245.975911386085,287.40890712434,277.407811361607,275.885623296856
"yagG",41.1787650464951,35.3463043958837,44.4143328349267,42.8947653353886,42.9890724690783,51.8802508077722,40.4200907022264,61.4264640775927,43.6226792772425,40.9382492838723,39.9639709775133,41.928072394892,33.8534055327114,39.7163465114383,37.7022890090285
"hemX",911.416536215921,824.093135698316,853.84099124187,824.904105136664,855.643793450939,1197.10310514724,1204.89038684621,1022.6156061817,987.393205265998,1140.65145959139,929.221695237245,1070.78576520188,903.00340591803,945.286782849308,902.991258255687
"yhgH",165.350042600814,258.110583980199,222.489357346976,209.845004341214,249.541439859783,327.46434174628,354.70325272176,277.411579393129,286.837495946631,301.910382957165,258.793956700226,278.711218346667,242.110584048132,259.910443159059,273.250708049481
"elyC",33.7015118954736,43.5557573284119,41.501957535811,31.9855514879357,29.8790850740682,34.9724846726938,47.0432243501421,34.1573584563415,38.7493798396807,32.9599413675473,35.672248653591,23.1565435961629,22.1198707717259,32.6119247253308,20.2151145131937
"rcdB",212.273496655459,233.907971689077,204.943917379029,223.338089760382,210.03921476138,316.672984610909,294.45260912878,243.452210020892,264.72169517013,265.443917305113,291.90468384484,257.046137608675,234.003393241703,231.053077770315,292.596329225852
"paaC",43.3090213736225,39.7713800002581,45.019577364884,40.4342970411356,60.2001386241096,47.6689188576044,44.9746124938382,47.8752036225322,51.5419696145879,49.8040693314129,37.3791059146447,45.0636676947841,39.4564250646649,42.0275279830306,33.2365898319401
